variant,threshold,smoothing,breadth_gate,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months
corr0.7_smooth3_breadthnone,0.7,3,,sp500,1,5.0,1.1839090745690832,1.2833090745690832,0.0994,999,1988,1054,573,481,0.8398406374501992,1.0,198.8,107,84,0.32277552013638733,0.04935417836819968,SNDK,0.18820903690170276,0.9957000376673805,0,1,0.019731817909484726,0.0016688629229650517,30,21,9,0.2624028079959032,2025-02-18,2025-04-04,82,0.0,12,0.07359034324002615,0.06542953089495081,9,3,0,15,0.05383892269012907,0.06403690083967468,10,5,0,18,0.050569547288725265,0.06280510209219309,12,6,0
corr0.7_smooth3_breadthnone,0.7,3,,sp500,1,10.0,1.0845090745690835,1.2833090745690832,0.1988,999,1988,1054,573,481,0.8398406374501992,1.0,198.8,103,88,0.33146269621144653,0.04961653519449876,SNDK,0.18815903690170277,0.8963500376673808,0,1,0.01807515124281806,0.0008688629229650462,30,21,9,0.2784055537342198,2025-02-18,2025-04-04,82,0.0,12,0.07170700990669282,0.06352953089495081,9,3,0,15,0.0519522560234624,0.062036900839674725,10,5,0,18,0.04874176951094749,0.060805102092193114,12,6,0
corr0.7_smooth3_breadth0.5,0.7,3,0.5,sp500,1,2.0,0.7996879349895015,0.8348079349895013,0.035120000000000005,883,1756,758,411,368,0.6039840637450199,1.0,175.60000000000002,88,82,0.3728465852667621,0.0590884679603853,SNDK,0.18170533537251538,0.6179825996169861,0,0,0.013328132249825021,0.0,27,16,17,0.2581543395308739,2024-06-18,2024-08-02,69,0.0,12,0.0699929272153662,0.06656953089495081,9,3,0,15,0.043408909823353756,0.0416031625165662,9,5,1,18,0.040452555730878505,0.03464277877983372,11,6,1
corr0.7_smooth3_breadth0.5,0.7,3,0.5,sp500,1,5.0,0.7470079349895016,0.8348079349895013,0.0878,883,1756,758,409,370,0.6039840637450199,1.0,175.60000000000002,86,84,0.3793980838042148,0.059286190128094815,SNDK,0.18155533537251536,0.5654525996169862,0,0,0.012450132249825023,0.0,27,16,17,0.2654001414042236,2024-05-24,2024-08-02,69,0.0,12,0.0686979272153662,0.06542953089495081,9,3,0,15,0.04221690982335376,0.04004316251656619,9,5,1,18,0.03927588906421184,0.032962778779833724,11,6,1
corr0.7_smooth3_breadth0.5,0.7,3,0.5,sp500,1,10.0,0.6592079349895015,0.8348079349895013,0.1756,883,1756,758,408,371,0.6039840637450199,1.0,175.60000000000002,84,86,0.3906062196848629,0.05961377938350019,SNDK,0.1813053353725154,0.4779025996169861,0,0,0.01098679891649169,0.0,26,17,17,0.27904348265849566,2024-05-24,2024-08-02,78,0.0,12,0.06653959388203286,0.06352953089495081,9,3,0,15,0.0402302431566871,0.037443162516566195,9,5,1,18,0.03731477795310073,0.03016277877983372,10,7,1
corr0.7_smooth3_breadth0.6,0.7,3,0.6,sp500,1,2.0,0.3905197318205935,0.4235997318205937,0.033080000000000005,827,1654,524,287,273,0.41752988047808764,1.0,165.40000000000003,68,76,0.37957959059847846,0.07752209780853446,SNDK,0.11934377492549166,0.2711759568951019,0,0,0.006508662197009893,0.0,19,18,23,0.2957978693730753,2024-06-18,2024-08-02,88,0.06916850718292997,12,0.04218148738397052,0.03820249342111129,8,3,1,15,0.03028316375536825,0.0025620232410379367,8,4,3,18,0.028651250364193234,0.0012810116205189683,9,6,3
corr0.7_smooth3_breadth0.6,0.7,3,0.6,sp500,1,5.0,0.34089973182059385,0.4235997318205937,0.0827,827,1654,524,286,274,0.41752988047808764,1.0,165.40000000000003,68,76,0.38659935043464294,0.07787063000235195,SNDK,0.11910377492549169,0.22179595689510218,0,0,0.005681662197009896,0.0,19,18,23,0.3126133241482688,2021-05-03,2024-08-02,288,0.07273916945385368,12,0.04081148738397053,0.0359524934211113,8,3,1,15,0.02899516375536825,0.001962023241037937,8,4,3,18,0.027381250364193237,0.0009810116205189684,9,6,3
corr0.7_smooth3_breadth0.6,0.7,3,0.6,sp500,1,10.0,0.25819973182059375,0.4235997318205937,0.1654,827,1654,524,284,276,0.41752988047808764,1.0,165.40000000000003,66,78,0.39905717742151947,0.07844690720436542,SNDK,0.11870377492549171,0.13949595689510202,0,0,0.00430332886367656,0.0,18,19,23,0.3491133241482691,2021-05-03,2024-08-02,307,0.07924493101326895,12,0.03852815405063719,0.03220249342111129,8,3,1,15,0.026848497088701583,0.0009620232410379368,8,4,3,18,0.02526458369752656,0.0004810116205189684,9,6,3
corr0.7_smooth5_breadthnone,0.7,5,,sp500,1,2.0,1.3474916435658488,1.381971643565849,0.034480000000000004,867,1724,1054,586,468,0.8398406374501992,1.0,172.4,112,74,0.29178598610616535,0.04955421329973125,SNDK,0.18823903690170277,1.159252606664146,0,1,0.022458194059430815,0.005883837215044379,30,21,9,0.24410431812643113,2025-02-18,2025-04-04,82,0.0,12,0.07475265622020577,0.06155417510709901,9,3,0,15,0.055372388373951205,0.05382987716124792,10,5,0,18,0.05359216181636384,0.048087975415882764,12,6,0
corr0.7_smooth5_breadthnone,0.7,5,,sp500,1,5.0,1.2957716435658488,1.381971643565849,0.0862,867,1724,1054,586,468,0.8398406374501992,1.0,172.4,111,75,0.2956248990354944,0.04968315582812365,SNDK,0.18820903690170276,1.1075626066641462,0,1,0.021596194059430817,0.0053438372150443805,30,21,9,0.2511827454769983,2025-02-18,2025-04-04,107,0.0,12,0.07377265622020578,0.060474175107099015,9,3,0,15,0.0543603883739512,0.05292987716124791,10,5,0,18,0.05261216181636384,0.04718797541588275,12,6,0
corr0.7_smooth5_breadthnone,0.7,5,,sp500,1,10.0,1.2095716435658486,1.381971643565849,0.1724,867,1724,1054,583,471,0.8398406374501992,1.0,172.4,108,78,0.30219092941690073,0.0498982839482221,SNDK,0.18815903690170277,1.0214126066641458,0,1,0.020159527392764148,0.0044438372150443824,30,21,9,0.2637412650527173,2025-02-18,2025-04-04,107,0.0,12,0.07213932288687246,0.05867417510709901,9,3,0,15,0.05267372170728454,0.05142987716124792,10,5,0,18,0.05097882848303051,0.04568797541588276,12,6,0
corr0.7_smooth5_breadth0.5,0.7,5,0.5,sp500,1,2.0,0.8714200461999358,0.9023800461999356,0.03096,779,1548,758,421,358,0.6039840637450199,1.0,154.8,97,68,0.3454715267122095,0.05800758015688282,SNDK,0.18170533537251538,0.6897147108274204,0,0,0.014523667436665595,0.0,27,16,17,0.25082482503979914,2024-06-18,2024-08-02,69,0.0,12,0.07035973755809362,0.06155417510709901,9,3,0,15,0.043582825240975676,0.025513528084957104,9,5,1,18,0.042188878370016884,0.02498104555708313,11,6,1
corr0.7_smooth5_breadth0.5,0.7,5,0.5,sp500,1,5.0,0.8249800461999358,0.9023800461999356,0.0774,779,1548,758,421,358,0.6039840637450199,1.0,154.8,95,70,0.35104647005006734,0.05816109068411585,SNDK,0.18155533537251536,0.6434247108274205,0,0,0.013749667436665598,0.0,27,16,17,0.25670246285894993,2024-06-18,2024-08-02,69,0.0,12,0.06919973755809362,0.060474175107099015,9,3,0,15,0.04249482524097568,0.024133528084957098,9,5,1,18,0.04111554503668356,0.02357104555708313,11,6,1
corr0.7_smooth5_breadth0.5,0.7,5,0.5,sp500,1,10.0,0.7475800461999358,0.9023800461999356,0.1548,779,1548,758,418,361,0.6039840637450199,1.0,154.8,89,76,0.36029989870973383,0.058412818120098645,SNDK,0.1813053353725154,0.5662747108274204,0,0,0.012459667436665598,0.0,27,16,17,0.2670146626663656,2024-06-18,2024-08-02,69,0.0,12,0.06726640422476031,0.05867417510709901,9,3,0,15,0.040681491907642336,0.021833528084957105,9,5,1,18,0.039326656147794674,0.02122104555708313,11,6,1
corr0.7_smooth5_breadth0.6,0.7,5,0.6,sp500,1,2.0,0.4484805725593623,0.4788005725593623,0.030320000000000003,758,1516,524,295,265,0.41752988047808764,1.0,151.60000000000002,74,67,0.34848778619169846,0.07701678121502095,SNDK,0.11934377492549166,0.32913679763387066,0,0,0.0074746762093227,0.0,18,19,23,0.29423267741195397,2024-06-18,2024-08-02,79,0.06649004579928784,12,0.04277875919931096,0.03378840276465252,7,4,1,15,0.031113709199519855,0.0,7,5,3,18,0.031209641686606417,0.0,8,7,3
corr0.7_smooth5_breadth0.6,0.7,5,0.6,sp500,1,5.0,0.4030005725593622,0.4788005725593623,0.0758,758,1516,524,295,265,0.41752988047808764,1.0,151.60000000000002,71,70,0.35369939869699174,0.07729606758634347,SNDK,0.11910377492549169,0.28389679763387055,0,0,0.006716676209322705,0.0,17,20,23,0.3039113675688814,2021-05-03,2024-08-02,87,0.06960966070852843,12,0.041498759199310974,0.031658402764652524,7,4,1,15,0.02989770919951987,0.0,7,5,3,18,0.030012975019939755,0.0,8,7,3
corr0.7_smooth5_breadth0.6,0.7,5,0.6,sp500,1,10.0,0.3272005725593622,0.4788005725593623,0.1516,758,1516,524,292,268,0.41752988047808764,1.0,151.60000000000002,68,73,0.3625628446831246,0.07775552807767408,SNDK,0.11870377492549171,0.20849679763387047,0,0,0.00545334287598937,0.0,17,20,23,0.33621136756888137,2021-05-03,2024-08-02,291,0.07523100465388055,12,0.03936542586597764,0.02810840276465252,7,4,1,15,0.0278710425328532,0.0,7,5,3,18,0.02801853057549531,0.0,8,7,3
corr0.8_smooth1_breadthnone,0.8,1,,sp500,1,2.0,1.5266358191664644,1.5790358191664644,0.0524,1315,2620,1054,574,480,0.8398406374501992,1.0000000000000002,262.0,118,76,0.3083299205178282,0.04882874084976705,SNDK,0.18823903690170277,1.3383967822647616,0,0,0.025443930319441074,0.005421122315282424,31,20,9,0.23938229896187455,2025-02-18,2025-04-04,70,0.0013057868812079907,12,0.08192812607391015,0.07521514880920052,9,3,0,15,0.06026651629843755,0.07361325794599725,10,5,0,18,0.05834002304196557,0.06578096148512859,12,6,0
corr0.8_smooth1_breadthnone,0.8,1,,sp500,1,5.0,1.4480358191664644,1.5790358191664644,0.131,1315,2620,1054,572,482,0.8398406374501992,1.0000000000000002,262.0,112,82,0.31408342125665867,0.04902820561599643,SNDK,0.18820903690170276,1.2598267822647617,0,0,0.024133930319441072,0.004041122315282427,31,20,9,0.24999950633722254,2025-02-18,2025-04-04,74,0.0014454199123425094,12,0.08078312607391015,0.07389514880920053,9,3,0,15,0.05905051629843756,0.07205325794599726,10,5,0,18,0.05713335637529889,0.0641909614851286,12,6,0
corr0.8_smooth1_breadthnone,0.8,1,,sp500,1,10.0,1.3170358191664642,1.5790358191664644,0.262,1315,2620,1054,565,489,0.8398406374501992,1.0000000000000002,262.0,106,88,0.32359002085529026,0.0493595257006237,SNDK,0.18815903690170277,1.1288767822647614,0,0,0.02195059698610774,0.0017411223152824233,31,20,9,0.2695500096449057,2025-02-18,2025-04-04,76,0.0016990937904552347,12,0.07887479274057681,0.07169514880920053,9,3,0,15,0.05702384963177088,0.06945325794599724,10,5,0,18,0.055122245264187776,0.06154096148512858,12,6,0
corr0.8_smooth1_breadth0.5,0.8,1,0.5,sp500,1,2.0,1.0495466155191535,1.0924666155191538,0.04292000000000001,1078,2146,758,412,367,0.6039840637450199,1.0000000000000002,214.60000000000002,103,72,0.35983061572280395,0.06393878213038995,SNDK,0.18170533537251538,0.8678412801466382,0,0,0.017492443591985894,0.0,27,16,17,0.24989801596013447,2024-06-18,2024-08-02,37,0.0016092560920719656,12,0.07777222719470217,0.07521514880920052,9,3,0,15,0.048392597867546905,0.041326606331354876,9,5,1,18,0.046850820648696584,0.04009211064807294,11,6,1
corr0.8_smooth1_breadth0.5,0.8,1,0.5,sp500,1,5.0,0.9851666155191536,1.0924666155191538,0.1073,1078,2146,758,410,369,0.6039840637450199,1.0000000000000002,214.60000000000002,100,75,0.3667776907127796,0.06422073122501845,SNDK,0.18155533537251536,0.8036112801466383,0,0,0.016419443591985897,0.0,27,16,17,0.2578066315490579,2024-06-18,2024-08-02,67,0.0017818391510239888,12,0.07649222719470218,0.07389514880920053,9,3,0,15,0.04718059786754691,0.039706606331354866,9,5,1,18,0.045620820648696575,0.03838211064807294,11,6,1
corr0.8_smooth1_breadth0.5,0.8,1,0.5,sp500,1,10.0,0.8778666155191538,1.0924666155191538,0.2146,1078,2146,758,404,375,0.6039840637450199,1.0000000000000002,214.60000000000002,93,82,0.37868873580697604,0.0646880624154373,SNDK,0.1813053353725154,0.6965612801466384,0,0,0.014631110258652562,0.0,27,16,17,0.2720254545071393,2024-06-18,2024-08-02,68,0.0020956213870896474,12,0.07435889386136885,0.07169514880920053,9,3,0,15,0.0451605978675469,0.03700660633135487,9,5,1,18,0.043570820648696586,0.03553211064807295,11,6,1
corr0.8_smooth1_breadth0.6,0.8,1,0.6,sp500,1,2.0,0.5942076066000996,0.6325676066000995,0.038360000000000005,959,1918,524,288,272,0.41752988047808764,1.0000000000000002,191.8,76,72,0.36510018297089114,0.08570502501885127,SNDK,0.11934377492549166,0.474863831674608,0,0,0.009903460110001658,0.0,17,20,23,0.2971325529991383,2024-06-18,2024-08-02,77,0.06526724683438045,12,0.050317261015579255,0.03854504260184182,7,4,1,15,0.036406204277770055,0.0,7,5,3,18,0.03630878092560294,0.0,8,7,3
corr0.8_smooth1_breadth0.6,0.8,1,0.6,sp500,1,5.0,0.5366676066000997,0.6325676066000995,0.09590000000000001,959,1918,524,286,274,0.41752988047808764,1.0000000000000002,191.8,75,73,0.3718763359440274,0.0861416044035291,SNDK,0.11910377492549169,0.41756383167460803,0,0,0.008944460110001658,0.0,17,20,23,0.3055434591185559,2024-06-18,2024-08-02,79,0.06849568227245234,12,0.04895226101557926,0.03635504260184182,7,4,1,15,0.035130204277770055,0.0,7,5,3,18,0.03501878092560294,0.0,8,7,3
corr0.8_smooth1_breadth0.6,0.8,1,0.6,sp500,1,10.0,0.44076760660009956,0.6325676066000995,0.19180000000000003,959,1918,524,279,281,0.41752988047808764,1.0000000000000002,191.8,69,79,0.38323377315961177,0.08685156748440571,SNDK,0.11870377492549171,0.32206383167460784,0,0,0.007346126776668326,0.0,16,21,23,0.32267439101744844,2021-05-03,2024-08-02,88,0.07439133302444183,12,0.046677261015579265,0.032705042601841816,7,4,1,15,0.03300353761110338,0.0,7,5,3,18,0.03286878092560294,0.0,8,7,3
corr0.8_smooth3_breadthnone,0.8,3,,sp500,1,2.0,1.512800105647906,1.548160105647906,0.03536,889,1768,1054,572,482,0.8398406374501992,1.0,176.8,112,74,0.3050085454907208,0.05029289710655307,SNDK,0.18823903690170277,1.324561068746203,0,0,0.02521333509413176,0.008597809119339382,32,19,9,0.2500434247929386,2025-02-18,2025-04-04,57,0.0,12,0.0875182881468628,0.07488214784611694,10,2,0,15,0.0661114085791842,0.07112464456165322,11,4,0,18,0.06321030119592329,0.06887504573931667,13,5,0
corr0.8_smooth3_breadthnone,0.8,3,,sp500,1,5.0,1.459760105647906,1.548160105647906,0.0884,889,1768,1054,569,485,0.8398406374501992,1.0,176.8,110,76,0.3086479611735975,0.05042179928115079,SNDK,0.18820903690170276,1.271551068746203,0,0,0.024329335094131765,0.00781780911933938,31,20,9,0.25802123232690544,2025-02-18,2025-04-04,67,0.0,12,0.0867832881468628,0.07404214784611693,10,2,0,15,0.06529540857918419,0.07004464456165321,11,4,0,18,0.06240363452925663,0.06821504573931667,13,5,0
corr0.8_smooth3_breadthnone,0.8,3,,sp500,1,10.0,1.371360105647906,1.548160105647906,0.1768,889,1768,1054,569,485,0.8398406374501992,1.0,176.8,102,84,0.3147354702498231,0.05063746363792897,SNDK,0.18815903690170277,1.1832010687462031,0,0,0.022856001760798432,0.006517809119339387,31,20,9,0.27228583952524554,2025-02-18,2025-04-04,70,0.0,12,0.0855582881468628,0.07264214784611693,10,2,0,15,0.06393540857918419,0.06824464456165322,11,4,0,18,0.061059190084812184,0.06711504573931668,13,5,0
corr0.8_smooth3_breadth0.5,0.8,3,0.5,sp500,1,2.0,1.041028262477989,1.071708262477989,0.030680000000000006,772,1534,758,414,365,0.6039840637450199,1.0,153.4,98,70,0.3519035968719938,0.06474720250701765,SNDK,0.18170533537251538,0.8593229271054736,0,0,0.017350471041299817,0.0,27,16,17,0.2709421335320923,2024-06-18,2024-08-02,78,0.0,12,0.08269837859997226,0.07263254902378039,9,3,0,15,0.05232846970343074,0.0401319973010318,9,5,1,18,0.05020763038553266,0.03849142890273773,11,6,1
corr0.8_smooth3_breadth0.5,0.8,3,0.5,sp500,1,5.0,0.995008262477989,1.071708262477989,0.0767,772,1534,758,411,368,0.6039840637450199,1.0,153.4,97,71,0.35679112242197586,0.06491548700439356,SNDK,0.18155533537251536,0.8134529271054737,0,0,0.016583471041299817,0.0,27,16,17,0.277239382123749,2024-06-18,2024-08-02,78,0.0,12,0.08179837859997223,0.07221254902378038,9,3,0,15,0.05144446970343073,0.03869199730103179,9,5,1,18,0.04931429705219932,0.037261428902737724,11,6,1
corr0.8_smooth3_breadth0.5,0.8,3,0.5,sp500,1,10.0,0.9183082624779889,1.071708262477989,0.1534,772,1534,758,411,368,0.6039840637450199,1.0,153.4,88,80,0.3647676930725487,0.06519651819178711,SNDK,0.1813053353725154,0.7370029271054735,0,0,0.015305137707966482,0.0,27,16,17,0.2883342319859291,2024-06-18,2024-08-02,79,0.0,12,0.08029837859997226,0.07151254902378039,9,3,0,15,0.049971136370097397,0.03629199730103179,9,5,1,18,0.04782540816331043,0.03521142890273772,11,6,1
corr0.8_smooth3_breadth0.6,0.8,3,0.6,sp500,1,2.0,0.6030214602638394,0.6334214602638394,0.030400000000000007,760,1520,524,292,268,0.41752988047808764,1.0,152.0,76,63,0.33952970039054664,0.08451588955242176,SNDK,0.11934377492549166,0.48367768533834776,0,0,0.010050357671063988,0.0,19,18,23,0.31305658230131256,2024-06-18,2024-08-02,134,0.06468033049784291,12,0.05381425846389231,0.035641104325545944,7,4,1,15,0.03925869745999741,0.0,7,5,3,18,0.03852504859521402,0.0013355516252909524,9,6,3
corr0.8_smooth3_breadth0.6,0.8,3,0.6,sp500,1,5.0,0.5574214602638395,0.6334214602638394,0.076,760,1520,524,290,270,0.41752988047808764,1.0,152.0,74,65,0.34406582867145674,0.08479562481490802,SNDK,0.11910377492549169,0.43831768533834786,0,0,0.00929035767106399,0.0,18,19,23,0.3197481583308029,2024-06-18,2024-08-02,135,0.06735393549428918,12,0.0526792584638923,0.03393110432554595,7,4,1,15,0.03815469745999741,0.0,7,5,3,18,0.037418381928547365,0.000765551625290949,9,6,3
corr0.8_smooth3_breadth0.6,0.8,3,0.6,sp500,1,10.0,0.48142146026383925,0.6334214602638394,0.152,760,1520,524,289,271,0.41752988047808764,1.0,152.0,70,69,0.3518344603442517,0.08525473245732736,SNDK,0.11870377492549171,0.36271768533834753,0,0,0.008023691004397326,0.0,16,21,23,0.3314785339304791,2024-06-18,2024-08-02,291,0.07213726571301529,12,0.05078759179722564,0.03108110432554595,7,4,1,15,0.036314697459997415,0.0,7,5,3,18,0.035573937484102924,0.0,8,7,3
corr0.8_smooth5_breadthnone,0.8,5,,sp500,1,2.0,1.6389139298566757,1.6687939298566756,0.029880000000000004,752,1494,1054,580,474,0.8398406374501992,1.0,149.4,115,67,0.2891494287978816,0.049706872833500906,SNDK,0.18823903690170277,1.4506748929549729,0,0,0.027315232164277926,0.011361420215187061,30,21,9,0.23646737539200163,2025-02-18,2025-04-04,67,0.0,12,0.09011979076236293,0.07432331834547856,9,3,0,15,0.06815222639248346,0.06526096447182803,10,5,0,18,0.06510515163055937,0.06277297059201525,12,6,0
corr0.8_smooth5_breadthnone,0.8,5,,sp500,1,5.0,1.5940939298566759,1.6687939298566756,0.07470000000000002,752,1494,1054,579,475,0.8398406374501992,1.0,149.4,114,68,0.29229563729585206,0.049823813533259445,SNDK,0.18820903690170276,1.405884892954973,0,0,0.026568232164277936,0.010971420215187058,30,21,9,0.2425425153475216,2025-02-18,2025-04-04,70,0.0,12,0.08950479076236295,0.07387331834547856,9,3,0,15,0.06744022639248345,0.06502096447182804,10,5,0,18,0.06440848496389272,0.06241297059201527,12,6,0
corr0.8_smooth5_breadthnone,0.8,5,,sp500,1,10.0,1.5193939298566757,1.6687939298566756,0.14940000000000003,752,1494,1054,577,477,0.8398406374501992,1.0,149.4,112,70,0.2976903832682592,0.05001953585732127,SNDK,0.18815903690170277,1.3312348929549729,0,0,0.025323232164277933,0.010321420215187059,30,21,9,0.2532386585369522,2025-02-18,2025-04-04,74,0.0,12,0.08847979076236294,0.07312331834547856,9,3,0,15,0.0662535597258168,0.06462096447182802,10,5,0,18,0.0632473738527816,0.06181297059201525,12,6,0
