variant,threshold,smoothing,breadth_gate,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months
corr0.7_smooth1_breadthnone,0.7,1,,sp500,1,2.0,1.25834576120284,1.3140657612028397,0.055720000000000006,1398,2786,1054,578,476,0.8398406374501992,1.0000000000000002,278.6,116,86,0.3068241804993867,0.04903221132805386,SNDK,0.18823903690170277,1.070106724301137,0,1,0.020972429353380662,0.006817581708504626,30,21,9,0.23995403168668117,2025-02-18,2025-04-04,74,0.0,12,0.06879947031777091,0.07380044490627462,9,3,0,15,0.04966948925071158,0.06194376231046107,10,5,0,18,0.04922914203935985,0.05878326160828132,12,6,0
corr0.7_smooth1_breadthnone,0.7,1,,sp500,1,5.0,1.1747657612028397,1.3140657612028397,0.1393,1398,2786,1054,576,478,0.8398406374501992,1.0000000000000002,278.6,113,89,0.3142331225109116,0.04927189010795578,SNDK,0.18820903690170276,0.986556724301137,0,1,0.01957942935338067,0.006007581708504626,30,21,9,0.2513836435936361,2025-02-18,2025-04-04,77,0.0,12,0.06730947031777092,0.07248044490627462,9,3,0,15,0.048161489250711585,0.06026376231046107,10,5,0,18,0.04776580870602653,0.057133261608281326,12,6,0
corr0.7_smooth1_breadthnone,0.7,1,,sp500,1,10.0,1.0354657612028397,1.3140657612028397,0.2786,1398,2786,1054,571,483,0.8398406374501992,1.0000000000000002,278.6,111,91,0.3272892875116697,0.04967407693696631,SNDK,0.18815903690170277,0.847306724301137,0,1,0.017257762686713994,0.004657581708504626,30,21,9,0.2726015845709131,2025-02-18,2025-04-04,82,0.0,12,0.06482613698443757,0.07012947364278023,9,3,0,15,0.04564815591737824,0.05746376231046107,10,5,0,18,0.04532691981713763,0.05438326160828131,12,6,0
corr0.7_smooth1_breadth0.5,0.7,1,0.5,sp500,1,2.0,0.8219042225168544,0.8685442225168541,0.04664000000000001,1171,2332,758,412,367,0.6039840637450199,1.0000000000000002,233.2,99,80,0.35897358963316256,0.0608477997076071,SNDK,0.18170533537251538,0.6401988871443389,0,0,0.01369840370861424,0.0,26,17,17,0.2438904035069212,2024-06-18,2024-08-02,38,0.0,12,0.06409594299560539,0.07380044490627462,9,3,0,15,0.03878095412335758,0.043233188935928715,9,5,1,18,0.038576715264364195,0.03806335153069508,11,6,1
corr0.7_smooth1_breadth0.5,0.7,1,0.5,sp500,1,5.0,0.7519442225168543,0.8685442225168541,0.11660000000000001,1171,2332,758,410,369,0.6039840637450199,1.0000000000000002,233.2,96,83,0.368283530359709,0.06116987833837053,SNDK,0.18155533537251536,0.570388887144339,0,0,0.012532403708614241,0.0,26,17,17,0.25288446853628666,2024-06-18,2024-08-02,67,0.0,12,0.0624609429956054,0.07248044490627462,9,3,0,15,0.03727695412335759,0.04137318893592872,9,5,1,18,0.0370867152643642,0.035903351530695085,11,6,1
corr0.7_smooth1_breadth0.5,0.7,1,0.5,sp500,1,10.0,0.6353442225168543,0.8685442225168541,0.23320000000000002,1171,2332,758,405,374,0.6039840637450199,1.0000000000000002,233.2,91,88,0.3843707945855549,0.061709352837637545,SNDK,0.1813053353725154,0.45403888714433893,0,0,0.010589070375280904,0.0,26,17,17,0.26917475850923345,2024-06-18,2024-08-02,67,0.0,12,0.05973594299560539,0.07012947364278023,9,3,0,15,0.03477028745669091,0.03827318893592872,9,5,1,18,0.034603381931030866,0.03230335153069508,11,6,1
corr0.7_smooth1_breadth0.6,0.7,1,0.6,sp500,1,2.0,0.4012044789493989,0.4422844789493989,0.041080000000000005,1027,2054,524,288,272,0.41752988047808764,1.0000000000000002,205.4,73,80,0.38240623515423927,0.08112013942204373,SNDK,0.11934377492549166,0.2818607040239073,0,0,0.006686741315823314,0.0,19,18,23,0.3052812712564452,2021-05-03,2024-08-02,69,0.0688329699362967,12,0.039514313763442624,0.04424373241338085,8,3,1,15,0.028178242758001192,0.0025620232410379367,8,4,3,18,0.02905027036506886,0.0012810116205189683,9,6,3
corr0.7_smooth1_breadth0.6,0.7,1,0.6,sp500,1,5.0,0.339584478949399,0.4422844789493989,0.10270000000000001,1027,2054,524,285,275,0.41752988047808764,1.0000000000000002,205.4,72,81,0.3918868848345128,0.08163371159966026,SNDK,0.11910377492549169,0.22048070402390735,0,0,0.005659741315823318,0.0,18,19,23,0.333121271256445,2021-05-03,2024-08-02,88,0.07308224675745482,12,0.03789431376344262,0.04169373241338085,8,3,1,15,0.026690242758001193,0.001962023241037937,8,4,3,18,0.027570270365068858,0.0009810116205189684,9,6,3
corr0.7_smooth1_breadth0.6,0.7,1,0.6,sp500,1,10.0,0.23688447894939874,0.4422844789493989,0.20540000000000003,1027,2054,524,280,280,0.41752988047808764,1.0000000000000002,205.4,69,84,0.4088443394281219,0.08247758988427467,SNDK,0.11870377492549171,0.11818070402390703,0,0,0.003948074649156649,0.0,18,19,23,0.3795212712564451,2021-05-03,2024-08-02,311,0.08100039964505971,12,0.03519431376344262,0.03744373241338085,8,3,1,15,0.02421024275800119,0.0009620232410379368,8,4,3,18,0.025103603698402185,0.0004810116205189684,9,6,3
corr0.7_smooth3_breadthnone,0.7,3,,sp500,1,2.0,1.2435490745690836,1.2833090745690832,0.039760000000000004,999,1988,1054,575,479,0.8398406374501992,1.0,198.8,107,84,0.3176759022264472,0.04919806372441346,SNDK,0.18823903690170277,1.0553100376673807,0,1,0.020725817909484724,0.002148862922965048,30,21,9,0.2535249065952247,2025-02-18,2025-04-04,76,0.0,12,0.07472034324002615,0.06656953089495081,9,3,0,15,0.05497092269012906,0.06523690083967472,10,5,0,18,0.051666213955391935,0.06400510209219312,12,6,0
