variant,threshold,smoothing,breadth_gate,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,net_10bps,score
corr0.7_smooth1_breadthnone,0.7,1,,sp500,1,2.0,1.25834576120284,1.3140657612028397,0.055720000000000006,1398,2786,1054,578,476,0.8398406374501992,1.0000000000000002,278.6,116,86,0.3068241804993867,0.04903221132805386,SNDK,0.18823903690170277,1.070106724301137,0,1,0.020972429353380662,0.006817581708504626,30,21,9,0.23995403168668117,2025-02-18,2025-04-04,74,0.0,12,0.06879947031777091,0.07380044490627462,9,3,0,15,0.04966948925071158,0.06194376231046107,10,5,0,18,0.04922914203935985,0.05878326160828132,12,6,0,1.0354657612028397,1.4047901404694716
corr0.7_smooth1_breadth0.5,0.7,1,0.5,sp500,1,2.0,0.8219042225168544,0.8685442225168541,0.04664000000000001,1171,2332,758,412,367,0.6039840637450199,1.0000000000000002,233.2,99,80,0.35897358963316256,0.0608477997076071,SNDK,0.18170533537251538,0.6401988871443389,0,0,0.01369840370861424,0.0,26,17,17,0.2438904035069212,2024-06-18,2024-08-02,38,0.0,12,0.06409594299560539,0.07380044490627462,9,3,0,15,0.03878095412335758,0.043233188935928715,9,5,1,18,0.038576715264364195,0.03806335153069508,11,6,1,0.6353442225168543,0.9503016479967492
corr0.7_smooth1_breadth0.6,0.7,1,0.6,sp500,1,2.0,0.4012044789493989,0.4422844789493989,0.041080000000000005,1027,2054,524,288,272,0.41752988047808764,1.0000000000000002,205.4,73,80,0.38240623515423927,0.08112013942204373,SNDK,0.11934377492549166,0.2818607040239073,0,0,0.006686741315823314,0.0,19,18,23,0.3052812712564452,2021-05-03,2024-08-02,69,0.0688329699362967,12,0.039514313763442624,0.04424373241338085,8,3,1,15,0.028178242758001192,0.0025620232410379367,8,4,3,18,0.02905027036506886,0.0012810116205189683,9,6,3,0.23688447894939874,0.37446614898328157
corr0.7_smooth3_breadthnone,0.7,3,,sp500,1,2.0,1.2435490745690836,1.2833090745690832,0.039760000000000004,999,1988,1054,575,479,0.8398406374501992,1.0,198.8,107,84,0.3176759022264472,0.04919806372441346,SNDK,0.18823903690170277,1.0553100376673807,0,1,0.020725817909484724,0.002148862922965048,30,21,9,0.2535249065952247,2025-02-18,2025-04-04,76,0.0,12,0.07472034324002615,0.06656953089495081,9,3,0,15,0.05497092269012906,0.06523690083967472,10,5,0,18,0.051666213955391935,0.06400510209219312,12,6,0,1.0845090745690835,1.3941851976939372
corr0.7_smooth3_breadth0.5,0.7,3,0.5,sp500,1,2.0,0.7996879349895015,0.8348079349895013,0.035120000000000005,883,1756,758,411,368,0.6039840637450199,1.0,175.60000000000002,88,82,0.3728465852667621,0.0590884679603853,SNDK,0.18170533537251538,0.6179825996169861,0,0,0.013328132249825021,0.0,27,16,17,0.2581543395308739,2024-06-18,2024-08-02,69,0.0,12,0.0699929272153662,0.06656953089495081,9,3,0,15,0.043408909823353756,0.0416031625165662,9,5,1,18,0.040452555730878505,0.03464277877983372,11,6,1,0.6592079349895015,0.931512377104726
corr0.7_smooth3_breadth0.6,0.7,3,0.6,sp500,1,2.0,0.3905197318205935,0.4235997318205937,0.033080000000000005,827,1654,524,287,273,0.41752988047808764,1.0,165.40000000000003,68,76,0.37957959059847846,0.07752209780853446,SNDK,0.11934377492549166,0.2711759568951019,0,0,0.006508662197009893,0.0,19,18,23,0.2957978693730753,2024-06-18,2024-08-02,88,0.06916850718292997,12,0.04218148738397052,0.03820249342111129,8,3,1,15,0.03028316375536825,0.0025620232410379367,8,4,3,18,0.028651250364193234,0.0012810116205189683,9,6,3,0.25819973182059375,0.3812663245994298
corr0.7_smooth5_breadthnone,0.7,5,,sp500,1,2.0,1.3474916435658488,1.381971643565849,0.034480000000000004,867,1724,1054,586,468,0.8398406374501992,1.0,172.4,112,74,0.29178598610616535,0.04955421329973125,SNDK,0.18823903690170277,1.159252606664146,0,1,0.022458194059430815,0.005883837215044379,30,21,9,0.24410431812643113,2025-02-18,2025-04-04,82,0.0,12,0.07475265622020577,0.06155417510709901,9,3,0,15,0.055372388373951205,0.05382987716124792,10,5,0,18,0.05359216181636384,0.048087975415882764,12,6,0,1.2095716435658486,1.507645294100035
corr0.7_smooth5_breadth0.5,0.7,5,0.5,sp500,1,2.0,0.8714200461999358,0.9023800461999356,0.03096,779,1548,758,421,358,0.6039840637450199,1.0,154.8,97,68,0.3454715267122095,0.05800758015688282,SNDK,0.18170533537251538,0.6897147108274204,0,0,0.014523667436665595,0.0,27,16,17,0.25082482503979914,2024-06-18,2024-08-02,69,0.0,12,0.07035973755809362,0.06155417510709901,9,3,0,15,0.043582825240975676,0.025513528084957104,9,5,1,18,0.042188878370016884,0.02498104555708313,11,6,1,0.7475800461999358,1.0116744338344175
corr0.7_smooth5_breadth0.6,0.7,5,0.6,sp500,1,2.0,0.4484805725593623,0.4788005725593623,0.030320000000000003,758,1516,524,295,265,0.41752988047808764,1.0,151.60000000000002,74,67,0.34848778619169846,0.07701678121502095,SNDK,0.11934377492549166,0.32913679763387066,0,0,0.0074746762093227,0.0,18,19,23,0.29423267741195397,2024-06-18,2024-08-02,79,0.06649004579928784,12,0.04277875919931096,0.03378840276465252,7,4,1,15,0.031113709199519855,0.0,7,5,3,18,0.031209641686606417,0.0,8,7,3,0.3272005725593622,0.4225841727453412
corr0.8_smooth1_breadthnone,0.8,1,,sp500,1,2.0,1.5266358191664644,1.5790358191664644,0.0524,1315,2620,1054,574,480,0.8398406374501992,1.0000000000000002,262.0,118,76,0.3083299205178282,0.04882874084976705,SNDK,0.18823903690170277,1.3383967822647616,0,0,0.025443930319441074,0.005421122315282424,31,20,9,0.23938229896187455,2025-02-18,2025-04-04,70,0.0013057868812079907,12,0.08192812607391015,0.07521514880920052,9,3,0,15,0.06026651629843755,0.07361325794599725,10,5,0,18,0.05834002304196557,0.06578096148512859,12,6,0,1.3170358191664642,1.7130378984263201
