variant,filter_name,trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,require_all_funds_positive,require_qqq_positive_lookback,require_sma_rising,require_orderly_volatility,require_trend_efficiency,full_net,full_max_dd,full_recovery_days,full_decisions,full_decision_attrition_vs_parent,full_utilization,full_beta,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions
sma20_baseline,baseline,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,False,False,False,3.975305593033899,0.2851133827512367,599,141,0,0.7654723127035831,3.2040232763940657,0.692123826466549,0.03845132369258606,0.012811456173691423,8,0.9025659224406348,319,29,0.8360665490290091,0.05573776993526727,0.06134829316133182,6,0.7703365881605053,174,24,1.4867505919208246,0.12389588266006869,0.13754576589359013,3,0.13857551065856663,78,20
sma20_all_funds_positive,all_funds_positive,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,True,False,False,False,False,4.041961655103602,0.2870891092588348,617,132,9,0.7166123778501629,3.2035899773501555,0.5829442485180315,0.0323857915843351,-0.005306202527441153,9,0.9274035485637218,328,28,0.745675935848509,0.049711729056567275,0.06134829316133182,6,0.7822731556120062,208,23,1.4070581513311784,0.11725484594426488,0.12693751762543548,3,0.13857551065856663,78,19
sma20_qqq_positive,qqq_positive,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,True,False,False,False,3.8033892633359514,0.3024350288725053,804,139,2,0.754614549402823,3.159164581805491,0.692123826466549,0.03845132369258606,0.012811456173691423,8,0.9025659224406348,319,29,0.8360665490290091,0.05573776993526727,0.06134829316133182,6,0.7703365881605053,174,24,1.4867505919208246,0.12389588266006869,0.13754576589359013,3,0.13857551065856663,78,20
sma20_participation_and_qqq,participation_and_qqq,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,True,True,False,False,False,4.041961655103602,0.2870891092588348,617,132,9,0.7166123778501629,3.2035899773501555,0.5829442485180315,0.0323857915843351,-0.005306202527441153,9,0.9274035485637218,328,28,0.745675935848509,0.049711729056567275,0.06134829316133182,6,0.7822731556120062,208,23,1.4070581513311784,0.11725484594426488,0.12693751762543548,3,0.13857551065856663,78,19
sma20_sma_rising,sma_rising,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,True,False,False,3.7379897667071695,0.2583008505067076,434,122,19,0.6623235613463626,3.2123095522172243,1.103118226557752,0.06128434591987512,0.012644968938298893,5,0.34018596678796326,187,25,1.2887839776050631,0.08591893184033755,0.02245166559856991,3,0.12704990787040957,85,20,1.2663323120064933,0.10552769266720778,0.112424869400546,3,0.12847106283759877,85,19
sma20_orderly_volatility,orderly_volatility,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,False,True,False,1.9102292107933652,0.25396320688563007,573,83,58,0.4505971769815418,3.393498011397053,0.3230763823450801,0.017948687908060007,0.0,8,0.3763718452552852,226,19,0.4578099398700976,0.030520662658006514,0.0,6,0.2663600958993677,127,18,0.6125674905975038,0.05104729088312531,0.006249133448873519,5,0.17812727458432187,91,17
sma20_trend_efficiency,trend_efficiency,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,False,False,False,True,2.121726269817454,0.3947448841844258,335,83,58,0.4505971769815418,3.2048001855195687,1.1030539790741327,0.061280776615229585,0.0,6,0.16465430296993394,84,17,1.1175142037667052,0.07450094691778035,0.0,5,0.16112879714457423,84,14,1.1641521840154008,0.09701268200128342,0.06133914104831269,4,0.11109681118314506,84,13
sma20_participation_and_efficiency,participation_and_efficiency,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,True,False,False,False,True,2.390953832815174,0.24057980794829367,498,76,65,0.41259500542888167,3.3031155751844827,0.9128876513550026,0.050715980630833477,0.0,6,0.18968569541603886,185,16,0.9787924608899358,0.0652528307259957,0.003280289139555862,3,0.16112879714457423,168,13,1.0254304411386315,0.08545253676155262,0.028408099720957584,2,0.11109681118314506,168,12
sma20_qqq_and_orderly,qqq_and_orderly,"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,False,True,False,True,False,2.1149846730586277,0.20274601141265616,573,81,60,0.43973941368078173,3.3613501712995983,0.2181513993831391,0.012119522187952175,0.0,8,0.3763718452552852,226,18,0.35288495690815674,0.023525663793877116,0.0,6,0.2663600958993677,127,17,0.5076425076355628,0.042303542302963563,0.006249133448873519,5,0.18269183090813412,105,16
sma50_baseline,baseline,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,False,False,False,False,3.3034777916938256,0.3688021914757212,821,133,0,0.7220412595005429,3.237387385447646,1.1893550548745555,0.06607528082636421,0.017053146518343873,6,0.31550651032647914,104,28,1.2156551792096455,0.08104367861397638,0.05382423095470161,5,0.3083510705424661,83,23,1.36935830932197,0.11411319244349749,0.12035421934597171,3,0.15181624541522293,79,21
sma50_all_funds_positive,all_funds_positive,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,True,False,False,False,False,3.1023524986838042,0.3599819232344492,793,125,8,0.6786102062975027,3.2708764078381503,0.9917887914236202,0.05509937730131223,0.001821585547248419,8,0.47911970254203745,229,27,1.1545204787540975,0.07696803191693984,0.06968293084555303,5,0.3411782009072126,105,22,1.3774550652497801,0.11478792210414834,0.11883743303606539,3,0.1428620133317488,85,20
sma50_qqq_positive,qqq_positive,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,True,False,False,False,3.2292918805034816,0.3531185414511901,823,129,4,0.7003257328990228,3.1749004540197117,1.100345328047669,0.061130296002648285,0.017053146518343873,6,0.31550651032647914,104,27,1.1266454523827587,0.07510969682551724,0.06968293084555303,5,0.3083510705424661,83,22,1.280348582495083,0.10669571520792358,0.11883743303606539,3,0.1581840409841878,79,20
sma50_participation_and_qqq,participation_and_qqq,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,True,True,False,False,False,2.948550646068334,0.38095489264949545,793,125,8,0.6786102062975027,3.2692254485845273,0.9917887914236202,0.05509937730131223,0.001821585547248419,8,0.47911970254203745,229,27,1.1545204787540975,0.07696803191693984,0.06968293084555303,5,0.3411782009072126,105,22,1.3774550652497801,0.11478792210414834,0.11883743303606539,3,0.1428620133317488,85,20
sma50_sma_rising,sma_rising,"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,False,False,True,False,False,2.5724242837936586,0.3835781520529808,588,122,11,0.6623235613463626,3.1813439069789693,0.6531352137022821,0.0362852896501268,0.00243553143950323,6,0.4091384157242427,245,25,0.7457948261911798,0.049719655079411985,0.0,5,0.37092604328015905,140,20,0.8994979563035039,0.074958163025292,0.03727699686227975,3,0.14144495320361056,92,18
