toxicity_quantile,spread_cents,order_size,latency_ms,ttl_s,queue_model,exit_horizon_s,slippage_bp,candidate_orders,fills,net,first_block,second_block,positive_day_fraction,mean_trade_bp,stop_rate
0.05,1,1.0,250,1,base,5,1,341,10,-0.0001466497322080122,-7.42015309113301e-05,-7.244820129668212e-05,0.0,-2.9329946441602446,0.0
0.05,1,1.0,250,1,base,5,2,341,10,-0.0001966407141355636,-0.00010419956076633771,-9.24411533692259e-05,0.0,-3.9328142827112718,0.0
0.05,1,1.0,250,1,base,15,1,341,10,-0.00014820270357661787,-7.608750838653379e-05,-7.211519519008408e-05,0.0,-2.9640540715323573,0.0
0.05,1,1.0,250,1,base,15,2,341,10,-0.00019818895200430446,-0.00010608215186515117,-9.210680013915329e-05,0.0,-3.9637790400860884,0.0
0.05,1,1.0,250,1,conservative,5,1,341,5,-3.6906845760520445e-05,-3.7722009283858745e-05,8.151635233383018e-07,0.16666666666666666,-1.4762738304208178,0.0
0.05,1,1.0,250,1,conservative,5,2,341,5,-6.190394429676563e-05,-5.272063716530782e-05,-9.183307131457799e-06,0.0,-2.476157771870625,0.0
0.05,1,1.0,250,1,conservative,15,1,341,5,-3.8606629517133337e-05,-4.632393007056017e-05,7.717300553426833e-06,0.16666666666666666,-1.5442651806853334,0.0
0.05,1,1.0,250,1,conservative,15,2,341,5,-6.360155567784322e-05,-6.132107572115402e-05,-2.2804799566892046e-06,0.0,-2.544062227113729,0.0
0.05,1,1.0,250,5,base,5,1,341,45,-0.0004893323088073593,-0.00029704260438899666,-0.0001922897044183626,0.0,-2.174810261366041,0.0
0.05,1,1.0,250,5,base,5,2,341,45,-0.0007143481929509796,-0.0004220573925990957,-0.00029229080035188384,0.0,-3.174880857559909,0.0
0.05,1,1.0,250,5,base,15,1,341,45,-0.0002541363460857425,-6.316046072911839e-05,-0.00019097588535662408,0.3333333333333333,-1.1294948714921889,0.022222222222222223
0.05,1,1.0,250,5,base,15,2,341,45,-0.00047917341629431337,-0.0001881877546747283,-0.0002909856616195851,0.16666666666666666,-2.129659627974726,0.022222222222222223
0.05,1,1.0,250,5,conservative,5,1,341,37,-0.0005411353616462548,-0.0003170913823125601,-0.00022404397933369476,0.0,-2.925056008898675,0.0
0.05,1,1.0,250,5,conservative,5,2,341,37,-0.0007261488165416082,-0.0004221017816260998,-0.0003040470349155084,0.0,-3.9251287380627478,0.0
0.05,1,1.0,250,5,conservative,15,1,341,37,-0.00032167392212129433,-0.00015103143399031134,-0.00017064248813098296,0.16666666666666666,-1.738777957412402,0.02702702702702703
0.05,1,1.0,250,5,conservative,15,2,341,37,-0.0005067022833840089,-0.0002560492701876108,-0.00025065301319639806,0.16666666666666666,-2.7389312615351824,0.02702702702702703
0.05,1,1.0,250,15,base,5,1,341,92,-0.0012012546222147915,-0.0005508012942185105,-0.000650453327996281,0.0,-2.611423091771286,0.0
0.05,1,1.0,250,15,base,5,2,341,92,-0.0016612935046336117,-0.0007808237318176353,-0.0008804697728159764,0.0,-3.611507618768721,0.0
0.05,1,1.0,250,15,base,15,1,341,92,-0.0008835333582826698,-0.00023519456082106283,-0.000648338797461607,0.16666666666666666,-1.9207246919188472,0.03260869565217391
0.05,1,1.0,250,15,base,15,2,341,92,-0.0013436408839722384,-0.0004652468304990261,-0.0008783940534732124,0.16666666666666666,-2.9209584434179097,0.03260869565217391
0.05,1,1.0,250,15,conservative,5,1,341,76,-0.0012263953629970173,-0.000591520936843479,-0.0006348744261535384,0.0,-3.227356218413204,0.013157894736842105
0.05,1,1.0,250,15,conservative,5,2,341,76,-0.0016064341190489238,-0.0007765371160144535,-0.0008298970030344703,0.0,-4.227458208023484,0.013157894736842105
0.05,1,1.0,250,15,conservative,15,1,341,76,-0.0009701800397553527,-0.0003177513110282221,-0.0006524287287271306,0.16666666666666666,-2.5531053677772446,0.039473684210526314
0.05,1,1.0,250,15,conservative,15,2,341,76,-0.0013502478592436816,-0.0005027742098054199,-0.0008474736494382616,0.0,-3.553283840114951,0.039473684210526314
0.05,1,1.0,500,1,base,5,1,341,13,-5.214482441058414e-05,1.015310146906822e-05,-6.229792587965236e-05,0.16666666666666666,-0.8022280678551406,0.0
0.05,1,1.0,500,1,base,5,2,341,13,-0.00011714520551627696,-1.4852606291368635e-05,-0.00010229259922490833,0.16666666666666666,-1.8022339310196456,0.0
0.05,1,1.0,500,1,base,15,1,341,13,1.479596090373442e-05,0.00010009269450533759,-8.529673360160316e-05,0.16666666666666666,0.22763016774976016,0.0
0.05,1,1.0,500,1,base,15,2,341,13,-5.020948147543128e-05,7.507908584806492e-05,-0.00012528856732349622,0.16666666666666666,-0.7724535611604814,0.0
0.05,1,1.0,500,1,conservative,5,1,341,10,-4.5391518663982354e-05,1.6990070470214257e-05,-6.238158913419661e-05,0.16666666666666666,-0.9078303732796468,0.0
0.05,1,1.0,500,1,conservative,5,2,341,10,-9.539274417543633e-05,-3.015637290224662e-06,-9.237710688521167e-05,0.16666666666666666,-1.9078548835087266,0.0
0.05,1,1.0,500,1,conservative,15,1,341,10,4.2425787413997233e-05,0.00010692966350648362,-6.450387609248639e-05,0.16666666666666666,0.8485157482799442,0.0
0.05,1,1.0,500,1,conservative,15,2,341,10,-7.581746316962661e-06,8.69160548492089e-05,-9.449780116617156e-05,0.16666666666666666,-0.15163492633925285,0.0
0.05,1,1.0,500,5,base,5,1,341,47,-0.0005130431678645757,-0.0003223802065544219,-0.0001906629613101538,0.0,-2.183162416445003,0.0
0.05,1,1.0,500,5,base,5,2,341,47,-0.0007480642121366034,-0.00045240043435348985,-0.0002956637777831136,0.0,-3.1832519665387387,0.0
0.05,1,1.0,500,5,base,15,1,341,47,-0.0003090829752847356,-6.418464766973185e-05,-0.00024489832761500377,0.16666666666666666,-1.3152467033393005,0.02127659574468085
0.05,1,1.0,500,5,base,15,2,341,47,-0.0005441391257997346,-0.00019422746219786792,-0.00034991166360186666,0.16666666666666666,-2.3154856417009984,0.02127659574468085
0.05,1,1.0,500,5,conservative,5,1,341,38,-0.0005353682250350299,-0.0003238800284359783,-0.00021148819659905167,0.0,-2.817727500184368,0.0
0.05,1,1.0,500,5,conservative,5,2,341,38,-0.0007253899461239875,-0.00041889537127577853,-0.000306494574848209,0.0,-3.817841821705198,0.0
0.05,1,1.0,500,5,conservative,15,1,341,38,-0.00042196245505050705,-0.00018986032542720035,-0.00023210212962330664,0.16666666666666666,-2.2208550265816163,0.02631578947368421
0.05,1,1.0,500,5,conservative,15,2,341,38,-0.0006120040688459787,-0.0002848892664997643,-0.00032711480234621436,0.16666666666666666,-3.2210740465577827,0.02631578947368421
0.05,1,1.0,500,15,base,5,1,341,91,-0.0012308407010004174,-0.0005717355515712343,-0.0006591051494291833,0.0,-2.705144397803115,0.0
0.05,1,1.0,500,15,base,5,2,341,91,-0.0016858966137388957,-0.0007917675680599461,-0.0008941290456789498,0.0,-3.705267282942628,0.0
0.05,1,1.0,500,15,base,15,1,341,91,-0.0010182557226237512,-0.00031450439535704144,-0.0007037513272667099,0.16666666666666666,-2.237924665107146,0.03296703296703297
0.05,1,1.0,500,15,base,15,2,341,91,-0.0014733785760573537,-0.0005345674852361773,-0.0009388110908211765,0.0,-3.2381946726535253,0.03296703296703297
0.05,1,1.0,500,15,conservative,5,1,341,76,-0.0012074461139745547,-0.0005104784594196087,-0.000696967654554946,0.0,-3.177489773617249,0.013157894736842105
0.05,1,1.0,500,15,conservative,5,2,341,76,-0.001587504897136641,-0.0006855123125461321,-0.0009019925845905089,0.0,-4.177644466149055,0.013157894736842105
0.05,1,1.0,500,15,conservative,15,1,341,76,-0.0010865860228410312,-0.0003913523365576309,-0.0006952336862834002,0.16666666666666666,-2.8594369022132398,0.039473684210526314
0.05,1,1.0,500,15,conservative,15,2,341,76,-0.0014666805413852226,-0.0005663954006253523,-0.0009002851407598704,0.0,-3.859685635224269,0.039473684210526314
0.05,1,10.0,250,1,base,5,1,341,10,-0.0001466497322080122,-7.42015309113301e-05,-7.244820129668212e-05,0.0,-2.9329946441602446,0.0
0.05,1,10.0,250,1,base,5,2,341,10,-0.0001966407141355636,-0.00010419956076633771,-9.24411533692259e-05,0.0,-3.9328142827112718,0.0
0.05,1,10.0,250,1,base,15,1,341,10,-0.00014820270357661787,-7.608750838653379e-05,-7.211519519008408e-05,0.0,-2.9640540715323573,0.0
0.05,1,10.0,250,1,base,15,2,341,10,-0.00019818895200430446,-0.00010608215186515117,-9.210680013915329e-05,0.0,-3.9637790400860884,0.0
0.05,1,10.0,250,1,conservative,5,1,341,5,-3.6906845760520445e-05,-3.7722009283858745e-05,8.151635233383018e-07,0.16666666666666666,-1.4762738304208178,0.0
0.05,1,10.0,250,1,conservative,5,2,341,5,-6.190394429676563e-05,-5.272063716530782e-05,-9.183307131457799e-06,0.0,-2.476157771870625,0.0
0.05,1,10.0,250,1,conservative,15,1,341,5,-3.8606629517133337e-05,-4.632393007056017e-05,7.717300553426833e-06,0.16666666666666666,-1.5442651806853334,0.0
