ret5_threshold,qualifying_name_events,independent_weeks,positive_weeks,win_rate,mean_next_week,median_next_week,worst_next_week,best_next_week
0.1,100,80,48,0.6,0.0131844311010758,0.01000619560538174,-0.20245478987293652,0.17801322338276515
0.15,45,41,25,0.6097560975609756,0.014423398527165227,0.010896729203027533,-0.20245478987293652,0.17801322338276515
0.2,18,18,9,0.5,0.002411107652094476,0.0008831183657936337,-0.20245478987293652,0.15061836892166158
0.25,7,7,2,0.2857142857142857,-0.029018062299923004,-0.03124192634733014,-0.20245478987293652,0.15061836892166158
0.3,5,5,2,0.4,-0.022066284709164698,-0.017560281877092798,-0.20245478987293652,0.15061836892166158
0.35,1,1,0,0.0,-0.20245478987293652,-0.20245478987293652,-0.20245478987293652,-0.20245478987293652
