variant,block,net_pnl,event_count
all_state_marketable_nbbo_slip0,block_1,-0.0024807942852127507,75
all_state_marketable_nbbo_slip0,block_2,0.515180554171859,77
all_state_marketable_nbbo_slip0,block_3,0.14607630934372284,80
all_state_marketable_nbbo_slip2,block_1,-0.03248079428521268,75
all_state_marketable_nbbo_slip2,block_2,0.48438055417185905,77
all_state_marketable_nbbo_slip2,block_3,0.1140763093437229,80
all_state_marketable_nbbo_slip5,block_1,-0.07748079428521282,75
all_state_marketable_nbbo_slip5,block_2,0.43818055417185897,77
all_state_marketable_nbbo_slip5,block_3,0.06607630934372277,80
vol_high_marketable_nbbo_slip0,block_1,0.24384080174539213,46
vol_high_marketable_nbbo_slip0,block_2,0.2657606994387558,26
vol_high_marketable_nbbo_slip0,block_3,0.2625219164915914,50
vol_high_marketable_nbbo_slip2,block_1,0.2254408017453921,46
vol_high_marketable_nbbo_slip2,block_2,0.2553606994387558,26
vol_high_marketable_nbbo_slip2,block_3,0.24252191649159144,50
vol_high_marketable_nbbo_slip5,block_1,0.1978408017453921,46
vol_high_marketable_nbbo_slip5,block_2,0.23976069943875578,26
vol_high_marketable_nbbo_slip5,block_3,0.21252191649159136,50
