tier,post_tier_beta,discovery_return,discovery_max_drawdown,discovery_recent12_return,discovery_positive_months,discovery_negative_months,discovery_worst_month,discovery_worst_year,ending_cash_discovery,ending_gross_discovery,observed_return,observed_max_drawdown,observed_monthly,ending_equity,ending_cash,ending_gross,minimum_cash,maximum_rebalance_target_gross,quote_role_coverage
2.0,0.0,6.548358998267199,0.26452881658636274,0.45986144005119534,47,26,-0.09789122118676064,-0.07825873921506865,5.465785817412675,2.0825731808545247,0.1311104860646224,0.12157755834265138,"{'2026-05': 0.11195903048884603, '2026-06': 0.057323007031312434, '2026-07': -0.08734845834782878, '2026-08': 0.05415280374815423}",8.538028015520277,6.2043148417004765,2.3337131738198003,0.0,1.9999947203105906,1.0
2.0,0.25,8.371968584028295,0.3032002713988692,0.7058918102594227,47,26,-0.11192053306586991,-0.10137577411721954,5.411114404873386,3.960854179154909,0.20158299369099142,0.19338154268281438,"{'2026-05': 0.1775633157328933, '2026-06': 0.09072377403865306, '2026-07': -0.13929424342303953, '2026-08': 0.08692610204148576}",11.26119806797464,6.427428198036528,4.833769869938111,0.0,4.590183260124496,1.0
2.0,0.5,10.625525606282167,0.3416286500674578,1.0339880055038568,46,27,-0.12584285048395472,-0.1268328750401484,4.674788973931412,6.950736632350754,0.2835910438588294,0.27633239610169247,"{'2026-05': 0.2597731766356013, '2026-06': 0.12998743910164046, '2026-07': -0.20000135910725958, '2026-08': 0.12712337377554528}",14.922420548375277,5.809558373860732,9.112862174514545,0.0,9.636618016166505,1.0
3.0,0.0,8.655796190478707,0.37204896759754014,0.5857360895496349,46,27,-0.14377734271022735,-0.15294267035102915,6.531936419196917,3.123859771281789,0.15374221831063895,0.1387487479170486,"{'2026-05': 0.13128492025252436, '2026-06': 0.0660695681496235, '2026-07': -0.09985041730756083, '2026-08': 0.06276331794496381}",11.14029971635832,7.639729955628621,3.5005697607297,0.0,2.9999920804658857,1.0
3.0,0.25,10.205975542066234,0.38636404329139296,0.8345335686541446,46,27,-0.1478426057343155,-0.16522734180472365,5.999555672534992,5.206419869531242,0.22160797189930848,0.2076907502234666,"{'2026-05': 0.19520221206557786, '2026-06': 0.09826423475159918, '2026-07': -0.1498357601252719, '2026-08': 0.09466389854940571}",13.689309055096786,7.335468606227549,6.353840448869237,0.0,6.0336534114469345,1.0
3.0,0.5,11.992162351470709,0.3977933053047076,1.145418643060483,45,28,-0.14972293893570732,-0.1728683372941755,4.8341424776819135,8.158019873788795,0.2978362774619172,0.2856102859487165,"{'2026-05': 0.2728220005146518, '2026-06': 0.13511736130107876, '2026-07': -0.20695482888938366, '2026-08': 0.13269646446121586}",16.861699622413614,6.166011573930479,10.695688048483134,0.0,11.310415780407649,1.0
5.0,0.0,10.967489947903003,0.42371426633607434,0.986934778210794,45,28,-0.15158844438561514,-0.1818318158506418,6.76105699576669,5.206432952136312,0.20674114237014374,0.17557627623452954,"{'2026-05': 0.1765422321026966, '2026-06': 0.08542789673311924, '2026-07': -0.12680392514801198, '2026-08': 0.08216590001970991}",14.441662491035682,8.607379556486183,5.8342829345495,0.0,4.999978249773486,1.0
5.0,0.25,11.993019033727258,0.42406684388815385,1.1907493751412797,45,28,-0.15158844438561492,-0.18183181585064156,5.7801324199656605,7.212886613761598,0.2647859221426614,0.2364056558673986,"{'2026-05': 0.23323528157893247, '2026-06': 0.11378904060361683, '2026-07': -0.17108988542441683, '2026-08': 0.1108635141074863}",16.43338755998988,7.630883753520623,8.80250380646926,0.0,8.358922064313061,1.0
5.0,0.5,13.125225588273452,0.42441696276733154,1.4228903624985243,45,28,-0.15158844438561514,-0.1818318158506418,4.368948293759857,9.756277294513595,0.3276144267821346,0.30408465137913576,"{'2026-05': 0.3000991822548935, '2026-06': 0.14550829989575687, '2026-07': -0.2208486258210154, '2026-08': 0.1441300618033161}",18.752853272543998,5.961747088568312,12.791106183975685,0.0,13.52626671386756,1.0
