hold_minutes,cost_bps_per_side,net,events,clusters,max_drawdown,recovery_days,unresolved,positive_event_fraction,windows.18m.net,windows.18m.avg_month,windows.18m.median_month,windows.18m.negative_months,windows.18m.zero_months,windows.18m.events,windows.15m.net,windows.15m.avg_month,windows.15m.median_month,windows.15m.negative_months,windows.15m.zero_months,windows.15m.events,windows.12m.net,windows.12m.avg_month,windows.12m.median_month,windows.12m.negative_months,windows.12m.zero_months,windows.12m.events,monthly.2024-11,monthly.2024-12,monthly.2025-01,monthly.2025-02,monthly.2025-03,monthly.2025-04,monthly.2025-05,monthly.2025-06,monthly.2025-07,monthly.2025-08,monthly.2025-09,monthly.2025-10,monthly.2025-11,monthly.2025-12,monthly.2026-01,monthly.2026-02,monthly.2026-03,monthly.2026-04
30,10.0,-0.47477833645014483,147,144,0.5014305929245447,520,True,0.3945578231292517,-0.4747783364501448,-0.026376574247230264,-0.02638457841762452,14,0,147,-0.4123503702778781,-0.02749002468519187,-0.019213732889426162,12,0,127,-0.2835227039801952,-0.023626891998349598,-0.013613674691695318,9,0,99,0.024969635839997457,-0.03612903656556787,-0.05126856544669633,-0.04109731553759432,-0.0541749268142656,-0.03355542394582288,-0.11522700195518182,0.008961962137758246,-0.00840773068779432,-0.049336400936597795,-0.011191934617032816,-0.0357536936105448,0.007784186891316339,0.001343194061334877,-0.0024016964003881133,-0.01603541476635782,-0.019213732889426162,-0.044044441207281
30,20.0,-0.7627783364501448,147,144,0.7693129144817944,520,True,0.35374149659863946,-0.7627783364501448,-0.042376574247230264,-0.04708222566596283,17,0,147,-0.660350370277878,-0.0440233580185252,-0.04603541476635781,15,0,127,-0.47752270398019514,-0.039793558665016264,-0.03720283375322949,12,0,99,0.012969635839997457,-0.04812903656556786,-0.06726856544669632,-0.059097315537594314,-0.0681749268142656,-0.055555423945822885,-0.12922700195518183,-0.0010380378622417523,-0.01240773068779432,-0.06933640093659779,-0.029191934617032813,-0.0577536936105448,-0.008215813108683662,-0.002656805938665123,-0.01440169640038811,-0.04603541476635781,-0.045213732889426164,-0.062044441207281004
30,40.0,-1.3387783364501449,147,144,1.335980763055516,520,True,0.2585034013605442,-1.3387783364501447,-0.07437657424723026,-0.09563612117592996,18,0,147,-1.156350370277878,-0.07709002468519185,-0.0961749268142656,15,0,127,-0.8655227039801952,-0.0721268919983496,-0.0812028337532295,12,0,99,-0.01103036416000254,-0.07212903656556786,-0.09926856544669632,-0.09509731553759432,-0.0961749268142656,-0.09955542394582288,-0.1572270019551818,-0.021038037862241753,-0.02040773068779432,-0.10933640093659779,-0.06519193461703282,-0.10175369361054479,-0.04021581310868366,-0.010656805938665123,-0.03840169640038811,-0.1060354147663578,-0.09721373288942617,-0.09804444120728101
60,10.0,-0.21605211537847394,137,135,0.33168732764509884,520,True,0.46715328467153283,-0.21605211537847382,-0.0120028952988041,-0.014181884983936013,13,0,137,-0.1572390513777354,-0.01048260342518236,-0.013468207897215694,11,0,117,-0.14698132500682223,-0.01224844375056852,-0.010202412500567075,9,0,93,0.03578594304182337,-0.06720829364559844,-0.027390713396963404,0.08078041476432597,-0.013468207897215694,-0.0775699332380234,-0.12481288485582726,-0.015072357836354739,-0.005509262930477817,-0.030622743485430585,-0.014895562070656333,0.008126805220257558,-0.020801456385417635,0.03891269040348777,0.03740605608739723,-0.015946934889584083,-0.002040834923006534,-0.001724839341209804
60,20.0,-0.4860521153784739,137,135,0.5366182359495106,520,True,0.43795620437956206,-0.4860521153784737,-0.027002895298804095,-0.02775452141011111,14,0,137,-0.3872390513777353,-0.025815936758515685,-0.027468207897215692,12,0,117,-0.32898132500682215,-0.02741511041723518,-0.026556596379680632,10,0,93,0.02378594304182337,-0.07920829364559843,-0.043390713396963404,0.06478041476432596,-0.027468207897215692,-0.0955699332380234,-0.13881288485582727,-0.025072357836354735,-0.009509262930477817,-0.04862274348543058,-0.03289556207065633,-0.011873194779742434,-0.03480145638541763,0.03491269040348777,0.02540605608739723,-0.039946934889584076,-0.02804083492300653,-0.0197248393412098
60,40.0,-1.0260521153784739,137,135,1.025470045012264,520,True,0.31386861313868614,-1.0260521153784739,-0.057002895298804104,-0.059263147863313714,15,0,137,-0.8472390513777351,-0.05648260342518234,-0.0557248393412098,12,0,117,-0.6929813250068221,-0.05774844375056851,-0.059263147863313714,10,0,93,-0.00021405695817663245,-0.10320829364559844,-0.0753907133969634,0.03278041476432597,-0.05546820789721569,-0.1315699332380234,-0.16681288485582724,-0.045072357836354736,-0.017509262930477817,-0.08462274348543058,-0.06889556207065634,-0.051873194779742435,-0.06280145638541762,0.026912690403487774,0.001406056087397231,-0.08794693488958408,-0.08004083492300654,-0.0557248393412098
