index,net_pnl
TSLA,0.7216333005244976
NVDA,0.6203860480668343
PLTR,0.3781877960810463
ZM,0.34740067556009613
WDC,0.3337098208663745
MRNA,0.2873306506055289
MU,0.23200966396306735
META,0.18048782221159576
CRWD,0.16718626251697966
PDD,0.15352664352436146
MSTR,0.1116009157410746
APP,0.09346109914655638
MELI,0.09136847013850946
NFLX,0.09096290135601016
AMD,0.08542723876843816
LRCX,0.07305108306657634
STX,0.06793568634906164
ASML,0.06480475826862293
WBD,0.058952506773010005
GILD,0.05094011632420225
CEG,0.041226210042445255
AMAT,0.035154227158673494
DDOG,0.03224076173554077
ADBE,0.02912451734437496
SBUX,0.02561775059414348
SNDK,0.024477770872439353
VRTX,0.02223493177808973
DOCU,0.02160063275458415
GOOG,0.018287522511485403
REGN,0.015778041396563736
AZN,0.014337989752389254
INTU,0.012781498701284102
XLNX,0.012722815585162977
PANW,0.006985148065835689
AAPL,0.005561834084118594
BIIB,0.005021487429886629
ISRG,0.004389138774442734
ADP,0.003123364360012198
LULU,0.0028922615453351045
ATVI,0.0019092136240946537
GOOGL,0.0005363264286506141
WDAY,0.0
WBA,0.0
CDW,0.0
CHTR,0.0
AXON,0.0
CCEP,0.0
VSNT,0.0
SIRI,0.0
RIVN,0.0
CHKP,0.0
CERN,0.0
CELG,0.0
ADI,0.0
ADSK,0.0
ALNY,0.0
AMZN,0.0
AEP,0.0
ALGN,0.0
ALXN,0.0
ABNB,0.0
AAL,0.0
QQQ,0.0
CDNS,0.0
BMRN,0.0
BKR,0.0
ANSS,0.0
CTAS,0.0
EA,0.0
MSFT,0.0
MDB,0.0
KHC,0.0
LBTYA,0.0
JD,0.0
GFS,0.0
FTNT,0.0
HAS,0.0
KDP,0.0
INSM,0.0
JBHT,0.0
HON,0.0
ILMN,0.0
INCY,0.0
HSIC,0.0
CMCSA,0.0
GEHC,0.0
FI,0.0
FAST,0.0
FOX,0.0
FER,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
FOXA,0.0
DLTR,0.0
CTXS,0.0
CTSH,0.0
EBAY,0.0
CSGP,0.0
CPRT,0.0
CSCO,0.0
WYNN,0.0
WTW,0.0
XEL,0.0
TTWO,0.0
TTD,0.0
SHOP,0.0
SGEN,0.0
ROST,0.0
UAL,0.0
TEAM,0.0
MCHP,0.0
LIN,0.0
LBTYK,0.0
MAR,0.0
MNST,0.0
MPWR,0.0
IDXX,0.0
ON,0.0
OKTA,0.0
ODFL,0.0
PYPL,0.0
ROP,0.0
PCAR,0.0
PAYX,0.0
ORLY,0.0
NLOK,0.0
NXPI,0.0
NTES,0.0
NTAP,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
WMT,0.0
SPLK,0.0
TRI,0.0
SOLS,0.0
SWKS,0.0
VRSN,0.0
VRSK,0.0
ULTA,0.0
TCOM,0.0
SNPS,0.0
CSX,-0.0013239408434260515
INTC,-0.002871930107865641
PEP,-0.005534925398990803
MDLZ,-0.00571128607963929
BKNG,-0.0067679900878111435
TXN,-0.009405713987880737
TMUS,-0.015114835669294634
DASH,-0.01879620648823442
MRVL,-0.02224694660987205
KLAC,-0.022843195948807963
AMGN,-0.02327722255314378
QCOM,-0.023572063168770238
DXCM,-0.02480873981741642
AVGO,-0.025175817200488677
LCID,-0.03297515276493207
ARM,-0.04209298446032457
COST,-0.04726425277058746
ZS,-0.08218490438092707
ENPH,-0.1041839964616188
PTON,-0.11452032535217259
BIDU,-0.1392674442388137
SMCI,-0.14813067264223356
