index,net_pnl
TSLA,0.7864150468988836
NVDA,0.5569720671383521
PLTR,0.37372905894398417
ZM,0.3729352449905758
MRNA,0.3678380167151555
MU,0.36303770746203273
WDC,0.3404316193988975
PDD,0.18382760672950244
CRWD,0.17927848880258457
APP,0.16376863799854455
DOCU,0.13573474399928068
MSTR,0.1307474617307543
WBD,0.12812191472841725
META,0.12732511679459757
NFLX,0.10161707349830568
MELI,0.09407548058518904
GILD,0.07755665527268069
AMAT,0.0568888536072745
SNDK,0.05681441466306496
ASML,0.04527594339374963
REGN,0.029940502330475644
INTU,0.029645441223446985
VRTX,0.023691653848218953
PANW,0.02121798730194372
SBUX,0.02073942000625911
DXCM,0.018935714341462486
AMD,0.01781652871342243
ADBE,0.014848372811842559
GOOG,0.008239285999456782
BIIB,0.007520423862119311
STX,0.0058699411593227365
ADP,0.004949289669888487
PYPL,0.004169818315377444
CEG,0.004049226748693988
AMZN,0.003626477614951833
CELG,0.0
ABNB,0.0
WDAY,0.0
WBA,0.0
WTW,0.0
SIRI,0.0
RIVN,0.0
SHOP,0.0
SGEN,0.0
SOLS,0.0
UAL,0.0
BMRN,0.0
CDNS,0.0
CCEP,0.0
CHTR,0.0
CHKP,0.0
CERN,0.0
CDW,0.0
ADI,0.0
ADSK,0.0
BKR,0.0
AXON,0.0
AEP,0.0
ALGN,0.0
ALNY,0.0
ANSS,0.0
QQQ,0.0
AAL,0.0
CTSH,0.0
EA,0.0
DLTR,0.0
CSGP,0.0
CTAS,0.0
CTXS,0.0
MSFT,0.0
MPWR,0.0
MNST,0.0
LBTYK,0.0
MDB,0.0
LIN,0.0
HSIC,0.0
HON,0.0
LBTYA,0.0
JBHT,0.0
JD,0.0
KDP,0.0
KHC,0.0
INCY,0.0
INSM,0.0
CMCSA,0.0
GEHC,0.0
FI,0.0
FOX,0.0
FOXA,0.0
FER,0.0
FAST,0.0
EXPE,0.0
FANG,0.0
GFS,0.0
FTNT,0.0
HAS,0.0
ILMN,0.0
EXC,0.0
EBAY,0.0
CPRT,0.0
CSCO,0.0
WYNN,0.0
XEL,0.0
WMT,0.0
TTWO,0.0
VRSN,0.0
VSNT,0.0
VRSK,0.0
ULTA,0.0
TCOM,0.0
TEAM,0.0
TRI,0.0
TTD,0.0
SWKS,0.0
SPLK,0.0
MAR,0.0
MCHP,0.0
IDXX,0.0
ORLY,0.0
OKTA,0.0
ODFL,0.0
NTES,0.0
ROP,0.0
PCAR,0.0
PAYX,0.0
ROST,0.0
ON,0.0
NXPI,0.0
NLOK,0.0
NTAP,0.0
MYL,0.0
MXIM,0.0
MTCH,0.0
SNPS,0.0
ISRG,-0.0005216798358376318
GOOGL,-0.0007667413702544233
TMUS,-0.001490722999052323
BKNG,-0.0019189189468200552
XLNX,-0.00265034684725697
ATVI,-0.003292640481815089
KLAC,-0.003961054258282398
TXN,-0.007384136520849528
AAPL,-0.007650319813479689
AVGO,-0.00928436970020854
ALXN,-0.010136693135707895
DDOG,-0.013494892269188088
LULU,-0.013684174146035837
PEP,-0.013697457576294545
COST,-0.013770581481814738
CSX,-0.014252077787116513
AZN,-0.014935774265787963
MRVL,-0.016406193314970896
ARM,-0.018866085125953513
QCOM,-0.020777324359031665
MDLZ,-0.022636639279125695
AMGN,-0.025065806991393054
INTC,-0.0326207130070144
LRCX,-0.03461831756901448
DASH,-0.047324605946743724
BIDU,-0.07295492721382824
ZS,-0.0790923384708732
PTON,-0.09825895203496385
ENPH,-0.11381999700032358
LCID,-0.11659364024424688
SMCI,-0.16902180027544292
