variant,threshold,additional_slippage_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,trade_count,quote_coverage_fraction,trade_evidence_fraction,median_entry_spread_bps,median_exit_spread_bps,median_entry_delay_ms,median_exit_delay_ms,median_entry_ask_size_raw,median_exit_bid_size_raw,top_5_day_profit_share,average_month_18m,negative_months_18m,average_month_15m,negative_months_15m,average_month_12m,negative_months_12m
q50_marketable_nbbo_slip0,q50,0,1.1398210729613547,0.2320631630273107,11,False,134,1.0,1.0,4.776689754001223,14.906865423226844,2.3810000000000002,2.1929999999999996,1774.0,100.0,0.5414114082850024,0.0633233929422975,6,0.08169372290123054,4,0.06015191258967708,3
q50_marketable_nbbo_slip2,q50,2,1.0862210729613546,0.24076601623453375,11,False,134,1.0,1.0,4.776689754001223,14.906865423226844,2.3810000000000002,2.1929999999999996,1774.0,100.0,0.5662863183347704,0.060345615164519716,7,0.07849372290123056,4,0.05701857925634374,3
q50_marketable_nbbo_slip5,q50,5,1.0058210729613546,0.2538456123371418,11,False,134,1.0,1.0,4.776689754001223,14.906865423226844,2.3810000000000002,2.1929999999999996,1774.0,100.0,0.6085696042366056,0.055878948497853034,7,0.07369372290123054,4,0.052318579256343735,3
q60_marketable_nbbo_slip0,q60,0,1.1600905656596145,0.18825802977740655,7,False,108,1.0,1.0,4.491531727809848,15.000338445136292,2.7485,2.1624999999999996,1448.5,100.0,0.5319516859910386,0.06444947586997858,6,0.08144355821861167,4,0.056442017846287745,3
q60_marketable_nbbo_slip2,q60,2,1.1168905656596142,0.19576470831393708,7,False,108,1.0,1.0,4.491531727809848,15.000338445136292,2.7485,2.1624999999999996,1448.5,100.0,0.5507362594128961,0.06204947586997858,7,0.07891022488527835,4,0.05400868451295442,3
q60_marketable_nbbo_slip5,q60,5,1.0520905656596145,0.20704656278075123,11,False,108,1.0,1.0,4.491531727809848,15.000338445136292,2.7485,2.1624999999999996,1448.5,100.0,0.5818055519974767,0.05844947586997857,7,0.07511022488527833,4,0.05035868451295441,3
