variant,threshold,entry,exit,leg,expression,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,trade_count,win_rate,early_half_net,late_half_net,top_5_day_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
q50_1559_next_0930_close_both_reversal_c2,q50,15:59,next_0930_close,both_reversal,product_long_only,2,0.9662314172858399,0.649332391512135,37.0,False,187,0.5561497326203209,0.21451390951646654,0.7517175077693738,0.6349073218939205,0.05367952318254668,6,0,0.09798269885418688,3,0,0.08139384433688,2,0
q50_1559_next_open_both_reversal_c2,q50,15:59,next_open,both_reversal,product_long_only,2,0.9819768626570244,0.6080015934061893,30.0,False,187,0.5561497326203209,0.19583725605536972,0.7861396066016547,0.6534607608600544,0.05455427014761247,6,0,0.09736922812443609,3,0,0.08129470719917944,2,0
q50_1556_next_0930_close_both_reversal_c2,q50,15:56,next_0930_close,both_reversal,product_long_only,2,0.8923033039420384,0.6525928980835027,37.0,False,187,0.5401069518716578,0.18097227771222874,0.7113310262298098,0.7313170240434261,0.04957240577455771,6,0,0.09340473515511281,3,0,0.07406139840382324,2,0
q50_1556_next_open_both_reversal_c2,q50,15:56,next_open,both_reversal,product_long_only,2,0.9090215003221688,0.6177470215130326,40.0,False,187,0.5401069518716578,0.16364174787163002,0.7453797524505387,0.7432453545053688,0.05050119446234272,6,0,0.09285742009279853,3,0,0.07395853112089178,2,0
q50_1559_next_0930_close_both_reversal_c5,q50,15:59,next_0930_close,both_reversal,product_long_only,5,0.8540314172858401,0.6717745346291552,59.0,False,187,0.5561497326203209,0.15871390951646658,0.6953175077693735,0.7148067262195337,0.04744618984921334,6,0,0.09146269885418687,3,0,0.07514384433687998,2,0
q50_1559_next_open_both_reversal_c5,q50,15:59,next_open,both_reversal,product_long_only,5,0.8697768626570243,0.6305554689569072,37.0,False,187,0.5561497326203209,0.14003725605536976,0.7297396066016545,0.7343071254709588,0.048320936814279125,6,0,0.09084922812443609,3,0,0.07504470719917943,2,0
q50_1559_next_0934_close_both_reversal_c2,q50,15:59,next_0934_close,both_reversal,product_long_only,2,0.9181829766333355,0.5754830292245723,30.0,False,187,0.5561497326203209,0.3300600640243672,0.5881229126089682,0.6283669193207536,0.05101016536851864,7,0,0.08907973236355168,4,0,0.07032441041282055,3,0
q50_1556_next_0930_close_both_reversal_c5,q50,15:56,next_0930_close,both_reversal,product_long_only,5,0.7801033039420383,0.6750369847344573,37.0,False,187,0.5294117647058824,0.12517227771222872,0.6549310262298096,0.8326545901044797,0.043339072441224355,6,0,0.08688473515511279,3,0,0.06781139840382323,2,0
q50_1556_next_open_both_reversal_c5,q50,15:56,next_open,both_reversal,product_long_only,5,0.7968215003221685,0.6397070319969632,40.0,False,187,0.5240641711229946,0.10784174787163003,0.6889797524505384,0.8441363680422759,0.04426786112900936,6,0,0.08633742009279853,3,0,0.06770853112089176,2,0
q50_1556_next_0934_close_both_reversal_c2,q50,15:56,next_0934_close,both_reversal,product_long_only,2,0.8437718340070818,0.579628262002028,33.0,False,187,0.5668449197860963,0.2957814937500462,0.5479903402570355,0.7306098923033227,0.046876213000393435,6,0,0.08448523581641507,3,0,0.06294286490267466,2,0
q50_1559_next_0934_close_both_reversal_c5,q50,15:59,next_0934_close,both_reversal,product_long_only,5,0.8059829766333354,0.5977467561541346,30.0,False,187,0.5561497326203209,0.2742600640243673,0.5317229126089681,0.7121190211700431,0.044776832035185295,7,0,0.08255973236355167,4,0,0.06407441041282054,3,0
q50_1559_next_0930_close_both_reversal_c10,q50,15:59,next_0930_close,both_reversal,product_long_only,10,0.6670314172858399,0.7092376206814603,86.0,False,187,0.5508021390374331,0.0657139095164665,0.6013175077693734,0.907704473564941,0.03705730096032444,6,0,0.08059603218752016,3,0,0.06472717767021331,2,0
q50_1559_next_open_both_reversal_c10,q50,15:59,next_open,both_reversal,product_long_only,10,0.6827768626570241,0.6682054362348219,86.0,False,187,0.5401069518716578,0.04703725605536968,0.6357396066016544,0.9280972781544641,0.037932047925390226,7,0,0.07998256145776941,4,0,0.06462804053251274,3,0
q40_1559_next_0930_close_both_reversal_c2,q40,15:59,next_0930_close,both_reversal,product_long_only,2,0.8605182829947999,0.48552661197013514,30.0,False,221,0.5384615384615384,0.186537756367471,0.6739805266273291,0.7129045525258491,0.0478065712774889,7,0,0.07989456955527934,4,0,0.06890719169297943,3,0
q50_1556_next_0934_close_both_reversal_c5,q50,15:56,next_0934_close,both_reversal,product_long_only,5,0.7315718340070817,0.6013019382705863,33.0,False,187,0.5668449197860963,0.2399814937500463,0.4915903402570354,0.8385616015481437,0.04064287966706009,7,0,0.07796523581641507,4,0,0.056692864902674646,3,0
q40_1559_next_open_both_reversal_c2,q40,15:59,next_open,both_reversal,product_long_only,2,0.7983756867997326,0.4812218501200547,30.0,False,221,0.5384615384615384,0.1261741884187884,0.6722014983809443,0.8037360836863643,0.04435420482220737,8,0,0.07676049812807999,5,0,0.0657786984283968,4,0
q40_1556_next_0930_close_both_reversal_c2,q40,15:56,next_0930_close,both_reversal,product_long_only,2,0.8022135596623997,0.489614734452208,30.0,False,221,0.5248868778280543,0.17514796394499366,0.6270655957174062,0.8134449847215591,0.04456741998124443,8,0,0.07650209217874708,5,0,0.06161928748397864,4,0
q60_1559_next_open_both_reversal_c2,q60,15:59,next_open,both_reversal,product_long_only,2,0.8517348722179903,0.39813537279541744,28.0,False,146,0.541095890410959,0.25742956295221814,0.5943053092657722,0.7346400658277655,0.04731860401211058,8,0,0.07631999825820408,6,0,0.056435361149468254,5,0
q60_1559_next_0930_close_both_reversal_c2,q60,15:59,next_0930_close,both_reversal,product_long_only,2,0.8416698842669174,0.4169025658781288,28.0,False,146,0.5547945205479452,0.28216262737128067,0.5595072568956367,0.7288693737842852,0.04675943801482875,8,0,0.07606888023335139,6,0,0.053889503193306515,5,0
q50_1556_next_0930_close_both_reversal_c10,q50,15:56,next_0930_close,both_reversal,product_long_only,10,0.5931033039420381,0.7125033151640329,94.0,False,187,0.5240641711229946,0.032172277712228636,0.5609310262298095,1.0867526660178553,0.032950183552335456,6,0,0.07601806848844612,3,0,0.057394731737156555,2,0
q50_1556_next_open_both_reversal_c10,q50,15:56,next_open,both_reversal,product_long_only,10,0.6098215003221683,0.676365639706463,40.0,False,187,0.5080213903743316,0.01484174787162996,0.5949797524505384,1.094789224235692,0.03387897224012046,6,0,0.07547075342613185,3,0,0.05729186445422508,2,0
