variant,return,maximum_drawdown,positive_months,negative_months,worst_month,positive_weeks,negative_weeks,worst_week,median_eligible_names,weeks_with_fewer_than_3
baseline,2.242113204755375,0.4078072978745625,9,3,-0.30006413275003807,34,18,-0.1358798330273746,,
max_10pct_above_sma200,-0.24173865532897765,0.3420149892737159,6,6,-0.15404966184410573,27,25,-0.13443215741830417,10.0,0.0
max_20pct_above_sma200,-0.22837322862588338,0.37158137581550643,6,6,-0.161496350426394,22,30,-0.11490224987538078,17.0,0.0
max_30pct_above_sma200,0.5075698319037079,0.24569657118334032,7,5,-0.1714497397314383,27,25,-0.10890830645151339,21.0,0.0
max_50pct_above_sma200,0.6797761032784146,0.2501789437198779,9,3,-0.15198986674270598,28,24,-0.11322077358725857,25.0,0.0
max_75pct_above_sma200,1.0695030031430401,0.2584143742942464,9,3,-0.11044661080010953,28,24,-0.14138034784264863,29.0,0.0
