anchor,volume_threshold,universe,confirmation,entry_delay,hold,parent_events,confirmed_events,confirmation_attrition,portfolio_events,portfolio_clusters,net,net_ex_20250407,max_drawdown,recovery_days,unresolved,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_zero_months,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_zero_months,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_zero_months
episode_control45,0.0,all,reclaim5,5,60,59,29,30,27,26,0.19844913735110414,0.05071437994430961,0.06048077659581938,114,False,0.19844913735110414,0.011024952075061342,0.0,6,4,0.2127641365028201,0.014184275766854675,0.0061339712918662154,4,3,0.0995957980885358,0.008299649840711317,0.0030669856459331077,3,3
source60,0.0,all,reclaim2,2,60,301,140,161,76,75,0.15475928344118417,0.08645125157591538,0.1255073331815684,357,True,0.1547592834411842,0.008597737968954678,0.016423311246431708,7,0,0.21002912681979313,0.01400194178798621,0.02157717571326679,5,0,0.03466447601722571,0.002888706334768809,0.010629551131966682,5,0
episode_control45,0.0,all,reclaim2,2,60,59,29,30,28,28,0.22892948694571302,0.22892948694571302,0.06193356375726739,231,True,0.22892948694571302,0.012718304830317391,0.005954611561096835,3,4,0.19569409605790145,0.013046273070526764,0.0036014960888627323,2,4,0.14834382762363818,0.012361985635303182,0.0019183445932252092,2,3
episode_control45,0.0,all,reclaim5,5,15,59,29,30,27,26,0.1870122122160193,0.038936510575534204,0.021059477121524794,113,True,0.1870122122160193,0.010389567345334406,0.0004474465558195204,5,4,0.19220451151165618,0.012813634100777078,0.000990197880531677,3,3,0.02280000493800064,0.0019000004115000534,0.0004474465558195204,3,3
abrupt_residual15,0.0,stocks,reclaim2,2,60,44,22,22,18,18,0.23152210462261136,0.23152210462261136,0.04506835385760094,320,False,0.23152210462261136,0.01286233914570063,0.0,4,6,0.1866705651608025,0.0124447043440535,0.0,2,6,0.14928523979575636,0.012440436649646364,0.0,1,6
abrupt_residual15,5.0,all,reclaim2,2,60,37,17,20,15,15,0.14997842386235505,0.14997842386235505,0.04832297720118107,320,False,0.14997842386235505,0.008332134659019726,0.0,4,8,0.17962850777716954,0.011975233851811302,0.0,1,8,0.13727655672773886,0.011439713060644905,0.0,1,7
episode_control45,0.0,all,reclaim5,5,30,59,29,30,27,26,0.1406395516966843,0.012110404019078173,0.054323394056067786,169,True,0.14063955169668432,0.007813308427593573,0.0,6,4,0.17783360556819117,0.011855573704546077,0.006214831360640275,4,3,0.056967681094986206,0.004747306757915517,0.0031074156803201376,3,3
abrupt_residual15,5.0,stocks,immediate,1,60,32,32,0,28,27,0.14014284696597118,0.14014284696597118,0.04507536601636212,286,True,0.14014284696597118,0.007785713720331732,-0.0013120124804991687,9,3,0.17779571899454433,0.011853047932969622,0.0,7,3,0.1314540179462021,0.010954501495516841,-0.0013120124804991687,6,2
abrupt_residual15,5.0,stocks,reclaim2,2,60,32,16,16,14,14,0.14753303859563183,0.14753303859563183,0.04832297720118107,320,False,0.14753303859563183,0.008196279921979546,0.0,4,9,0.17718312251044632,0.011812208167363088,0.0,1,9,0.13727655672773886,0.011439713060644905,0.0,1,7
episode_control45,0.0,all,reclaim2,2,30,59,29,30,28,28,0.1572134590915816,0.1572134590915816,0.018828837564831575,100,True,0.15721345909158158,0.00873408106064342,0.00417566035029793,4,4,0.15943866958911646,0.01062924463927443,0.008841332580463048,2,4,0.12471163703985022,0.010392636419987519,0.004745949753638958,2,3
episode_control45,5.0,all,reclaim5,5,60,42,20,22,19,19,0.135984773474908,0.019520257345875716,0.06556436444765723,146,False,0.135984773474908,0.007554709637494889,0.0,6,4,0.15029977262662397,0.010019984841774932,0.0061339712918662154,4,3,0.0848300482300185,0.007069170685834875,0.0030669856459331077,3,3
episode_control45,0.0,stocks,reclaim2,2,30,44,22,22,22,22,0.13802862598558818,0.13802862598558818,0.017788795976858056,100,True,0.13802862598558818,0.007668256999199343,0.003850376886890496,4,5,0.14025383648312306,0.009350255765541538,0.008841332580463048,2,5,0.10552680393385683,0.008793900327821402,0.004420666290231524,2,4
slow_residual120,5.0,all,reclaim2,2,60,38,19,19,19,19,0.14330972518285034,0.14330972518285034,0.042432918145408345,127,False,0.14330972518285034,0.007961651399047242,0.0,3,7,0.13849908038808656,0.009233272025872437,0.0,2,7,0.0762407477990914,0.006353395649924283,0.0,2,6
episode_control45,5.0,all,reclaim2,2,60,42,17,25,17,17,0.17327110761875075,0.17327110761875075,0.055731971865933656,254,True,0.17327110761875075,0.009626172645486153,0.0,5,5,0.13614305754478262,0.009076203836318842,0.0,4,5,0.11290001521774551,0.009408334601478793,0.0,3,4
slow_residual120,0.0,all,reclaim2,2,60,64,31,33,29,29,0.14088105019096464,0.14088105019096464,0.10234997347174617,202,True,0.14088105019096464,0.007826725010609147,0.0,6,5,0.12851433404977752,0.008567622269985168,0.0,5,5,-0.009181181239558009,-0.000765098436629834,0.0,5,4
slow_residual120,5.0,all,reclaim2,2,15,38,19,19,19,19,0.14451041414296495,0.14451041414296495,0.027876523512394745,132,False,0.14451041414296495,0.008028356341275831,0.0,4,7,0.12739178656656525,0.00849278577110435,0.0,3,7,0.08080010571382434,0.006733342142818695,0.0,3,6
episode_control45,5.0,all,reclaim5,5,15,42,20,22,19,19,0.11738510680117867,0.007342096048490485,0.011070526850099337,202,True,0.11738510680117867,0.006521394822287704,0.0,7,4,0.12257740609681556,0.008171827073121037,0.0,5,3,0.0033455996830942473,0.00027879997359118726,0.0,4,3
episode_control45,0.0,stocks,reclaim2,2,5,44,22,22,22,22,0.10436679505791181,0.10436679505791181,0.021979368267622503,71,True,0.10436679505791183,0.0057981552809951015,0.003109804844214195,2,5,0.10835891275843171,0.00722392751722878,0.0046735103976482985,1,5,0.08489774701356058,0.007074812251130048,0.003485661704285107,1,4
source60,5.0,all,no_new_low5,5,30,148,41,107,19,18,0.1027935157964497,0.01502181532270809,0.02971686840053441,221,True,0.10279351579644971,0.00571075087758054,0.0,5,7,0.10751713964966092,0.007167809309977394,0.0,4,5,0.010485301965077591,0.000873775163756466,0.0,3,5
episode_control45,0.0,all,reclaim2,2,15,59,29,30,28,28,0.11104511920330129,0.11104511920330129,0.030168653121605302,111,True,0.11104511920330132,0.006169173289072296,0.0056626363975531575,4,4,0.10509146401396774,0.007006097600931183,0.005679277244494687,3,4,0.07300306181974206,0.006083588484978505,0.0028396386222473433,3,3
slow_residual120,0.0,all,reclaim2,2,15,64,31,33,30,30,0.13281230348565723,0.13281230348565723,0.06910677993898276,183,True,0.1328123034856572,0.007378461304758733,0.0,6,5,0.10465253113233697,0.006976835408822464,0.0,5,5,0.03772938057970546,0.0031441150483087882,0.0,5,4
episode_control45,0.0,all,reclaim5,5,5,59,29,30,27,26,0.08963070080770943,-0.05264593267583902,0.058377049799545784,202,True,0.08963070080770943,0.00497948337820608,0.0,8,4,0.1026335109119606,0.006842234060797373,0.0,7,3,-0.037514016604300954,-0.0031261680503584127,0.0,5,3
episode_control45,5.0,all,reclaim5,5,30,42,20,22,19,19,0.06461044848689912,-0.033174497749660074,0.07318570281823733,154,False,0.06461044848689915,0.003589469360383286,0.0,6,4,0.10180450235840599,0.006786966823893733,0.0016484946387245215,4,3,0.030545088088417514,0.002545424007368126,0.0008242473193622608,3,3
episode_control45,0.0,all,immediate,1,30,59,59,0,50,48,0.10624538621213109,-0.06001702422416243,0.17716978648998266,386,True,0.1062453862121311,0.0059025214562295055,0.0023586305973554173,7,0,0.10130684150147562,0.006753789433431708,0.0011220730565095777,6,0,0.07178195677219613,0.005981829731016345,0.0038302116367932033,4,0
abrupt_residual15,0.0,all,no_new_low5,5,60,59,13,46,12,11,0.09923266764770522,0.09923266764770522,0.022590862120738287,79,False,0.09923266764770522,0.005512925980428068,0.0,2,11,0.09351569258545456,0.00623437950569697,0.0,0,11,0.008360722909740884,0.0006967269091450737,0.0,0,10
abrupt_residual15,0.0,stocks,reclaim2,2,30,44,22,22,20,20,0.14004937242198934,0.14004937242198934,0.07968035473219125,350,False,0.14004937242198934,0.007780520690110519,8.137020069298815e-05,3,6,0.09061033196359625,0.006040688797573083,0.0,3,6,0.06819469873648032,0.00568289156137336,0.0,2,6
source60,5.0,all,reclaim2,2,60,148,73,75,46,45,0.07952638503390923,0.011218353168640423,0.15997416707458187,311,True,0.07952638503390921,0.004418132501883845,0.0,8,2,0.08814485050926558,0.005876323367284372,0.013731451038738966,6,1,-0.053496110733809,-0.004458009227817417,-0.0014780114722752749,6,1
episode_control45,0.0,stocks,no_new_low5,5,30,44,13,31,13,13,0.09673083880160804,0.09673083880160804,0.011484055667296185,119,False,0.09673083880160807,0.005373935488978226,0.0016094623227769231,1,8,0.08670706144413709,0.0057804707629424724,0.0032189246455538462,1,6,0.04985231991233409,0.004154359992694507,0.0,1,6
