campaign_id,variant_id,panel,execution_lag_bars,cost_bps_per_side,net_simple_return,gross_simple_return,total_cost,entries,position_change_count,active_days,green_days,red_days,average_gross_exposure,maximum_gross_exposure,total_turnover,profitable_symbols,loss_symbols,top5_symbol_positive_share,top5_day_positive_share,best_symbol,best_symbol_pnl,leave_best_symbol_out_return,unavailable_entry_positions,missing_return_positions,monthly_average,monthly_median,positive_months,negative_months,inactive_months,maximum_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,ending_drawdown,recent12_months_observed,recent12_average_month,recent12_median_month,recent12_positive_months,recent12_negative_months,recent12_inactive_months,recent15_months_observed,recent15_average_month,recent15_median_month,recent15_positive_months,recent15_negative_months,recent15_inactive_months,recent18_months_observed,recent18_average_month,recent18_median_month,recent18_positive_months,recent18_negative_months,recent18_inactive_months,holding,metadata_json
CAM-0619,etf_sector__mom252__sma200__long,etf,1,-1.0,1.1098240465169669,1.105924046516967,-0.0039000000000000003,20,39,1520,837,673,0.8296943231441049,1.0,39.0,5,1,0.9999999999999998,0.029492710093786335,XLK,0.5406940875380262,0.5691299589789407,0,0,0.01261163689223826,5e-05,44,31,13,0.30866641871198064,2020-02-19,2020-03-20,90.0,0.07201518924456403,12,0.000551621385095841,-0.0033422514863863835,6,6,0,15,-0.0008656758285385688,0.0028260157213946466,8,7,0,18,0.004462811094896003,0.006858093448981993,10,8,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long"", ""moving_average_sessions"": 200}"
CAM-0619,etf_sector__mom252__sma100__long,etf,1,-1.0,0.8957784561617753,0.8912784561617751,-0.0045000000000000005,23,45,1330,734,594,0.7259825327510917,1.0,45.0,5,1,1.0,0.03416131698932393,XLE,0.40162526781104624,0.4941531883507291,0,0,0.010179300638201992,0.0,43,28,17,0.17672315467493602,2020-02-19,2020-02-26,67.0,0.07949975684764667,12,0.000551621385095841,-0.0033422514863863835,6,6,0,15,-0.0008656758285385688,0.0028260157213946466,8,7,0,18,0.004462811094896003,0.006858093448981993,10,8,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long"", ""moving_average_sessions"": 100}"
CAM-0619,etf_sector__mom252__sma200__long_short,etf,1,-1.0,0.15065549550718058,0.14505549550718044,-0.005600000000000001,39,97,1561,826,729,0.8520742358078602,1.0,56.0,3,5,1.0,0.03632104335595472,XLK,0.3018624443839329,-0.15120694887675232,0,0,0.0017119942671270502,0.0,39,36,13,0.3368104586405106,2020-03-18,2020-06-05,405.0,0.22094332107722656,12,-0.007842183207937054,-0.014577963845465296,5,7,0,15,-0.009318464184666002,-0.022251273533043445,6,9,0,18,-0.006809111300371079,-0.00590552822585535,8,10,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long_short"", ""moving_average_sessions"": 200}"
CAM-0619,etf_sector__mom252__sma100__long_short,etf,1,-1.0,0.1155882526949239,0.10868825269492383,-0.0069,45,118,1475,761,709,0.8051310043668122,1.0,69.0,3,5,1.0,0.07237918212584592,XLK,0.26220299417119475,-0.14661474147627085,0,0,0.0013135028715332245,0.0,39,34,15,0.36096428009425646,2020-03-18,2020-11-24,,0.32058124348236405,12,-0.0006947298427990049,-0.0010673059554418447,6,6,0,15,-0.0036005014925555635,-0.0069046541578871475,7,8,0,18,-0.002044142390279048,-0.0007418156350627817,9,9,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long_short"", ""moving_average_sessions"": 100}"
CAM-0619,etf_sector__mom252__sma200__long,etf,1,0.0,1.105924046516967,1.105924046516967,0.0,20,39,1520,835,673,0.8296943231441049,1.0,39.0,5,1,1.0,0.029500235472173297,XLK,0.5396940875380263,0.5662299589789408,0,0,0.01256731871042008,0.0,42,31,15,0.30869517328577883,2020-02-19,2020-03-20,90.0,0.07230243043683021,12,0.00045162138509583877,-0.003442251486386383,6,6,0,15,-0.0009723424952052361,0.002626015721394648,8,7,0,18,0.004362811094896002,0.006658093448981994,10,8,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long"", ""moving_average_sessions"": 200}"
CAM-0619,etf_sector__mom252__sma100__long,etf,1,0.0,0.8912784561617751,0.8912784561617751,0.0,23,45,1330,727,594,0.7259825327510917,1.0,45.0,5,1,1.0,0.034173769840777454,XLE,0.4007252678110462,0.4905531883507289,0,0,0.010128164274565627,0.0,36,28,24,0.176739617751853,2020-02-19,2020-02-26,67.0,0.07985294642375106,12,0.00045162138509583877,-0.003442251486386383,6,6,0,15,-0.0009723424952052361,0.002626015721394648,8,7,0,18,0.004362811094896002,0.006658093448981994,10,8,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long"", ""moving_average_sessions"": 100}"
CAM-0619,etf_sector__mom252__sma200__long_short,etf,1,0.0,0.14505549550718044,0.14505549550718044,0.0,39,97,1561,826,729,0.8520742358078602,1.0,56.0,3,5,1.0,0.03633774449032612,XLK,0.300662444383933,-0.15560694887675258,0,0,0.0016483579034906868,0.0,39,36,13,0.33699704113785167,2020-03-18,2020-06-05,405.0,0.22384147425446677,12,-0.007958849874603722,-0.014677963845465297,5,7,0,15,-0.009438464184666004,-0.022351273533043448,6,9,0,18,-0.006920222411482191,-0.00595552822585535,8,10,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long_short"", ""moving_average_sessions"": 200}"
CAM-0619,etf_sector__mom252__sma100__long_short,etf,1,0.0,0.10868825269492383,0.10868825269492383,0.0,45,118,1475,759,709,0.8051310043668122,1.0,69.0,3,5,1.0,0.072418004257638,XLK,0.26060299417119487,-0.15191474147627104,0,0,0.0012350937806241344,0.0,37,34,17,0.361251891373774,2020-03-18,2020-11-24,,0.3247012467909608,12,-0.0008113965094656747,-0.0011673059554418441,6,6,0,15,-0.003720501492555565,-0.007004654157887147,7,8,0,18,-0.0021552535013901596,-0.0007918156350627814,9,9,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long_short"", ""moving_average_sessions"": 100}"
CAM-0619,etf_sector__mom252__sma200__long,etf,1,1.0,1.102024046516967,1.105924046516967,0.0039000000000000003,20,39,1520,835,675,0.8296943231441049,1.0,39.0,5,1,1.0,0.029507162212892124,XLK,0.5386940875380264,0.5633299589789407,0,0,0.012523000528601898,0.0,42,33,13,0.30872393321748104,2020-02-19,2020-03-20,90.0,0.07259055874138157,12,0.00035162138509583644,-0.0035422514863863823,6,6,0,15,-0.0010790091618719036,0.002426015721394649,8,7,0,18,0.004262811094896001,0.0064580934489819955,10,8,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long"", ""moving_average_sessions"": 200}"
CAM-0619,etf_sector__mom252__sma100__long,etf,1,1.0,0.886778456161775,0.8912784561617751,0.0045000000000000005,23,45,1330,727,601,0.7259825327510917,1.0,45.0,5,1,1.0,0.034183323177040245,XLE,0.3998252678110462,0.48695318835072876,0,0,0.010077027910929263,0.0,36,35,17,0.17675608389637185,2020-02-19,2020-02-26,67.0,0.08020754785669659,12,0.00035162138509583644,-0.0035422514863863823,6,6,0,15,-0.0010790091618719036,0.002426015721394649,8,7,0,18,0.004262811094896001,0.0064580934489819955,10,8,0,open_to_next_open,"{""formation_sessions"": 252, ""missing_standard_sector_etfs"": [""XLB"", ""XLC"", ""XLRE""], ""mode"": ""long"", ""moving_average_sessions"": 100}"
