normal_beta,defensive_beta,trigger,recovery,discovery_return,discovery_max_drawdown,discovery_recent12_return,discovery_positive_months,discovery_negative_months,discovery_worst_month,discovery_worst_year,ending_cash_discovery,ending_gross_discovery,observed_return,observed_max_drawdown,observed_monthly,ending_equity,ending_cash,ending_gross,discovery_state_flips,discovery_defensive_rebalances,total_state_flips,total_defensive_rebalances,minimum_cash,quote_role_coverage
0.75,0.25,0.1,0.05,5.536673112225862,0.29531166997598024,0.9190934555932684,47,26,-0.10820214011430429,-0.08047317933968068,1.3324851487722638,5.204187963453598,0.446366611840205,0.22424656915814833,"{'2026-05': 0.35726858246917104, '2026-06': 0.12873395284696, '2026-07': -0.1207828145494485, '2026-08': 0.0738035470595042}",9.454425742037088,5.966728789475305,3.487696952561783,24,189,25,196,0.0,1.0
0.75,0.5,0.1,0.05,8.362038465326776,0.3177408201733778,1.0767587669364844,46,27,-0.1077439135219661,-0.10751390776258163,2.0175712343796617,7.344467230947114,0.4066446312868677,0.29052211594835275,"{'2026-05': 0.35203715002290537, '2026-06': 0.14799354284623578, '2026-07': -0.1907106969264888, '2026-08': 0.11983109524076307}",13.169061145153055,5.538905577931562,7.630155567221493,24,156,25,163,0.0,1.0
1.0,0.0,0.05,0.025,3.409805155653613,0.27596161663060925,0.4350567330603454,44,29,-0.1421039321973636,-0.050395027477199705,2.220446049250313e-16,4.409805155653613,0.23834786886817594,0.2056438203502392,"{'2026-05': 0.2956217816553859, '2026-06': -0.014824118565336275, '2026-07': -0.06878503619615184, '2026-08': 0.041839221972117535}",5.460872816627546,4.294016229717646,1.1668565869099004,26,267,29,278,0.0,1.0
1.0,0.25,0.05,0.025,5.411383736688514,0.307082538206109,0.6802032683308898,46,27,-0.13365722506132205,-0.07571720030123197,4.440892098500626e-16,6.411383736688513,0.23831792473381008,0.25788304441409415,"{'2026-05': 0.3280530308932432, '2026-06': -0.009844757852911501, '2026-07': -0.12599738587649634, '2026-08': 0.07745891624266732}",7.939331403488221,4.8759165508682205,3.0634148526200002,26,240,31,250,0.0,1.0
1.0,0.5,0.05,0.025,7.787171162305844,0.34441053743595884,1.0645770850790535,46,27,-0.12376918661392067,-0.10864112365719725,1.491862189340054e-16,8.787171162305844,0.36298616899002156,0.31870684279023265,"{'2026-05': 0.402427950054574, '2026-06': 0.07308759565844691, '2026-07': -0.19191433046641304, '2026-08': 0.12077467856813784}",11.976792758770838,4.988683490367698,6.988109268403139,30,225,35,234,0.0,1.0
1.0,0.0,0.1,0.05,3.243154437809663,0.3061874690498081,0.36992472097210927,46,27,-0.1386006031412701,-0.05641058956353351,0.0,4.243154437809663,0.6116012880547619,0.19316531422497518,"{'2026-05': 0.4628719446807068, '2026-06': 0.12869295914021994, '2026-07': -0.05524446647139403, '2026-08': 0.03313252607712447}",6.838273157389332,5.6714165704794315,1.1668565869099001,18,248,19,255,0.0,1.0
1.0,0.25,0.1,0.05,5.522478923588503,0.3091751245494243,0.6430930078783614,45,28,-0.13302118103022942,-0.0769725558804083,4.440892098500626e-16,6.522478923588503,0.5847599393706202,0.250779429466239,"{'2026-05': 0.46287194468070436, '2026-06': 0.1461159765816349, '2026-07': -0.1184190990627978, '2026-08': 0.07217686992492767}",10.336563303492264,6.60183541200545,3.7347278914868145,20,218,21,225,0.0,1.0
1.0,0.5,0.1,0.05,7.594010683691298,0.3475419404804516,1.303502117621076,46,27,-0.12854376727675132,-0.10932942457880501,0.0,8.594010683691298,0.5478258526995765,0.31742607009281865,"{'2026-05': 0.4628719446807059, '2026-06': 0.1674151676829374, '2026-07': -0.19057866964283288, '2026-08': 0.11973643176219961}",13.302031914593755,5.60027049809743,7.701761416496325,24,199,25,206,0.0,1.0
1.0,0.0,0.15,0.075,5.254672330978563,0.2822628848596679,0.7794475650849659,47,26,-0.14110841035841581,-0.05210942798753326,2.220446049250313e-16,6.254672330978563,0.6176364361143365,0.17702281959721367,"{'2026-05': 0.46287194468070614, '2026-06': 0.12409389198519416, '2026-07': -0.037600995803327875, '2026-08': 0.022155233517903827}",10.117785858547112,8.950929271637214,1.1668565869098986,12,215,13,222,0.0,1.0
1.0,0.25,0.15,0.075,7.8507102278397145,0.36173605010827736,1.2975257232770332,46,27,-0.13074264048851147,-0.0814546164124097,1.0564465968698755e-15,8.850710227839713,0.587398890289293,0.24453969779945073,"{'2026-05': 0.46287194468070436, '2026-06': 0.14428055500027748, '2026-07': -0.11173958839400222, '2026-08': 0.06759599704664576}",14.04960759394486,9.275090833443496,4.774516760501363,14,187,15,194,0.0,1.0
1.0,0.5,0.15,0.075,10.46590341707721,0.3473956178649513,1.6617599339853437,46,27,-0.12854376727675143,-0.10780494553526532,4.440892098500626e-16,11.46590341707721,0.5492025874280575,0.31451543477190613,"{'2026-05': 0.4628719446807057, '2026-06': 0.1665309212763879, '2026-07': -0.1875399843512331, '2026-08': 0.11738709352127419}",17.76300724093622,7.658974045609066,10.104033195327155,16,151,17,158,0.0,1.0
