candidate,overlay,clock,extra_adverse_bps_per_side,net_simple_return,maximum_drawdown,role_coverage,trade_roles,entry_roles,trade_sessions,trade_session_fraction,positive_months,negative_months,monthly_average,monthly_median,worst_month,best_month
characteristic_residual,turnover_band_05,0930,0.0,-0.26661237177436176,0.4462875470968765,1.0,1021,516,247,0.9840637450199203,5,7,-0.02221769764786348,-0.028383952931183207,-0.11107027522066568,0.08316628096747852
characteristic_residual,turnover_band_05,0930,1.0,-0.2857907683998734,0.460527304043974,1.0,1021,516,247,0.9840637450199203,5,7,-0.023815897366656114,-0.030203503600030296,-0.11181220858030155,0.08172780171238327
characteristic_residual,turnover_band_05,0930,2.0,-0.304969165025385,0.47486368945814006,1.0,1021,516,247,0.9840637450199203,4,8,-0.025414097085448752,-0.032023054268877374,-0.1125541419399374,0.080289322457288
characteristic_residual,turnover_band_05,0930,5.0,-0.36250435490191985,0.5184625532008457,1.0,1021,516,247,0.9840637450199203,4,8,-0.03020869624182665,-0.03748170627541862,-0.11477994201884499,0.0759738846920022
cluster_residual,persistence2,0930,0.0,-0.09573882932225757,0.4363588931242572,1.0,502,246,227,0.9043824701195219,5,7,-0.007978235776854801,-0.019272743452367742,-0.22577255836777094,0.24273499086653472
cluster_residual,persistence2,0930,1.0,-0.12135611164738364,0.4497344839051498,1.0,502,246,227,0.9043824701195219,5,7,-0.010113009303948641,-0.02146238102000639,-0.2274492118890385,0.2404112249999907
cluster_residual,persistence2,0930,2.0,-0.1469733939725098,0.4634010811014081,1.0,502,246,227,0.9043824701195219,4,8,-0.012247782831042478,-0.023652018587645034,-0.22912586541030605,0.23808745913344667
cluster_residual,persistence2,0930,5.0,-0.22382524094788822,0.5087834113871131,1.0,502,246,227,0.9043824701195219,4,8,-0.018652103412324015,-0.030220931290560984,-0.23415582597410872,0.23111616153381456
ma200_corr08,persistence2,0930,0.0,0.7957219697716164,0.11797283153028118,1.0,1474,730,184,0.7330677290836654,9,3,0.06631016414763467,0.056145219182696826,-0.060813655347805376,0.22679297588808855
ma200_corr08,persistence2,0930,1.0,0.7905559380255843,0.11851364491624483,1.0,1474,730,184,0.7330677290836654,9,3,0.06587966150213202,0.055679108071585715,-0.06158778233193236,0.22646630922142189
ma200_corr08,persistence2,0930,2.0,0.7853899062795525,0.11905757977096083,1.0,1474,730,184,0.7330677290836654,9,3,0.06544915885662939,0.0552129969604746,-0.06236190931605934,0.22613964255475522
ma200_corr08,persistence2,0930,5.0,0.7698918110414573,0.12070838575535689,1.0,1474,730,184,0.7330677290836654,9,3,0.06415765092012145,0.05381466362714127,-0.06468429026844029,0.22515964255475523
ma200_uncapped,persistence3,0930,0.0,0.9943215327377476,0.11585200317211958,1.0,1243,614,156,0.6215139442231076,9,3,0.08286012772814562,0.06668499955378968,-0.03923850580021754,0.30275402501248083
ma200_uncapped,persistence3,0930,1.0,0.9900099454361602,0.11623636365424965,1.0,1243,614,156,0.6215139442231076,9,3,0.08250082878634668,0.0664440471728373,-0.03988453754624929,0.30247791390136974
ma200_uncapped,persistence3,0930,2.0,0.9856983581345728,0.11662252231972091,1.0,1243,614,156,0.6215139442231076,9,3,0.08214152984454774,0.06620309479188492,-0.04053056929228103,0.30220180279025866
ma200_uncapped,persistence3,0930,5.0,0.972763596229811,0.1177919144966796,1.0,1243,614,156,0.6215139442231076,9,3,0.08106363301915091,0.06548023764902777,-0.04246866453037627,0.3013734694569253
