date,net_pnl
2019-06,0.0
2019-07,0.0
2019-08,0.0
2019-09,0.0
2019-10,0.0
2019-11,0.0
2019-12,0.0
2020-01,-0.010009909460795585
2020-02,-0.011102866552504378
2020-03,0.0033760270619407296
2020-04,0.012461735565464297
2020-05,-0.021953533579040136
2020-06,-0.0003663952535309721
2020-07,-0.005993134654217565
2020-08,0.0049444248984525435
2020-09,-0.013227079944391127
2020-10,0.0018861909363447815
2020-11,-0.026281507558225257
2020-12,0.014894486098850985
2021-01,0.010078527534096673
2021-02,0.003631453761174642
2021-03,-0.0014066978878735509
2021-04,-0.006068824485651179
2021-05,-0.019276732489857156
2021-06,-0.006960258370979176
2021-07,-0.017745585098917938
2021-08,-0.007455409614560652
2021-09,-0.00010769027037627293
2021-10,-0.012527446376987456
2021-11,-0.03023355546699122
2021-12,0.0034324514382695543
2022-01,-0.02016959292871256
2022-02,0.008939218268460624
2022-03,-0.020370153857153208
2022-04,-0.0033752783289560944
2022-05,-0.007382599473798213
2022-06,-0.01028021951661726
2022-07,-0.004113291487521831
2022-08,-0.01728312179619861
2022-09,-0.01938904501188552
2022-10,-0.022019328530761842
2022-11,-0.009316527136294696
2022-12,-0.015746757243104093
2023-01,-0.011386537046373237
2023-02,-0.015209645533951072
2023-03,-0.01733399346689128
2023-04,-0.0038817307380249045
2023-05,-0.004093313759594928
2023-06,-0.000901497197219896
2023-07,0.00034833800539858957
2023-08,0.0030784602540743873
2023-09,0.01030095217026349
2023-10,0.0021124885447615354
2023-11,-0.012405065982453257
2023-12,-0.017372106323393918
2024-01,-0.010558925705470328
2024-02,-0.016104959784455666
2024-03,-0.005279603458826733
2024-04,-0.023262422903110522
2024-05,-0.015283337630153422
2024-06,-0.008514828557989882
2024-07,-0.028603962276205534
2024-08,0.0038161066252158744
2024-09,-0.006187979516119495
2024-10,0.008840834028783884
2024-11,-0.009835294817330824
2024-12,-0.025855226341512164
2025-01,-0.0088609078649276
2025-02,-0.03407318480765732
2025-03,-0.016699671769910142
2025-04,-0.01779806646081568
2025-05,0.0051167048966119354
2025-06,-0.012952568342833991
2025-07,-0.011512767908315456
2025-08,-0.0038660336745549276
2025-09,-0.012805075056229683
2025-10,-0.026481283320586326
2025-11,-0.015370007119256972
2025-12,0.0004584144073640254
2026-01,-0.03290535111147647
2026-02,-0.012879657824513484
2026-03,-0.00645947593797043
2026-04,-0.00726334776018433
