trade_symbols,lookback,market_sma,holding_sessions,entry_delay_sessions,cost_bps_per_side,breadth,require_positive_momentum,require_market_trend,full_net,full_max_dd,full_decisions,full_beta,top_symbol_share,18m_net,18m_avg_month,18m_median_month,18m_negative_months,18m_max_dd,18m_recovery_days,18m_decisions,18m_soxl_net,18m_tqqq_net,15m_net,15m_avg_month,15m_median_month,15m_negative_months,15m_max_dd,15m_recovery_days,15m_decisions,15m_soxl_net,15m_tqqq_net,12m_net,12m_avg_month,12m_median_month,12m_negative_months,12m_max_dd,12m_recovery_days,12m_decisions,12m_soxl_net,12m_tqqq_net
"('TQQQ', 'SOXL')",5,20,10,1,5.0,2,True,True,3.975305593033899,0.2851133827512367,141,3.2040232763940657,0.5255543914588201,0.692123826466549,0.03845132369258606,0.012811456173691423,8,0.9025659224406348,319,29,0.48793027138234346,0.0855503154590383,0.8360665490290091,0.05573776993526727,0.06134829316133182,6,0.7703365881605053,174,24,0.7402952371720837,0.1543045956494296,1.4867505919208246,0.12389588266006869,0.13754576589359013,3,0.13857551065856663,78,20,0.9596911807372921,0.3137976577073057
"('TQQQ', 'SOXL')",5,50,1,1,5.0,2,True,True,0.3873920391618002,0.7717420864886276,963,2.738693811752657,0.5854005021266173,0.29959454936784713,0.016644141631547066,0.0,7,0.6595307080675046,332,205,0.26672368796178997,0.09060665416042202,0.9056113127241832,0.06037408751494555,0.021029157205552082,4,0.18508927274973597,91,170,0.7360784594912881,0.1695328532328947,0.9295589365687617,0.07746324471406348,0.0344499339370781,3,0.140585119027945,91,157,0.7807616393456445,0.14879729722311674
"('TQQQ', 'SOXL')",5,50,10,1,5.0,2,True,True,3.3034777916938256,0.3688021914757212,133,3.237387385447646,0.6353804933362391,1.1893550548745555,0.06607528082636421,0.017053146518343873,6,0.31550651032647914,104,28,0.8220674748205713,0.24864434042881717,1.2156551792096455,0.08104367861397638,0.05382423095470161,5,0.3083510705424661,83,23,0.9540704544116918,0.2615847247979539,1.36935830932197,0.11411319244349749,0.12035421934597171,3,0.15181624541522293,79,21,1.0332664131676368,0.3360918961543331
"('TQQQ', 'SOXL')",5,200,10,1,5.0,2,True,True,2.3216715393309864,0.7113953848448277,123,3.099288871766243,0.7527141389266482,1.0334746744285643,0.0574152596904758,0.017053146518343873,6,0.31826455399350095,125,29,0.6958154935613903,0.21901594124200663,1.0597747987636539,0.07065165325091029,0.035459140429978483,5,0.311180645140031,125,24,0.8278184731525107,0.23195632561114338,1.1715893313410446,0.09763244427842037,0.08687447739317146,3,0.15488041554721377,83,22,0.8811822450334656,0.2904070863075788
"('TQQQ', 'SOXL')",5,100,10,1,5.0,2,True,True,2.2992447728799643,0.6021945132659563,132,3.116933469746831,0.8044594736516839,1.1347702633457541,0.06304279240809746,0.017053146518343873,6,0.31826455399350095,125,27,0.8010508569384764,0.21507616678211028,1.161070387680844,0.07740469251205626,0.035459140429978483,5,0.311180645140031,125,22,0.9330538365295968,0.22801655115124703,1.2728849202582344,0.10607374335485287,0.08687447739317146,3,0.16191575325830293,84,20,0.9864176084105518,0.2864673118476824
"('TQQQ', 'SOXL')",5,100,1,1,5.0,2,True,True,0.1214180133927627,0.826990309815455,955,2.7874970026704884,0.8691223667516577,0.279263175986451,0.015514620888136174,0.0,7,0.5344602605805896,433,202,0.2656825103990964,0.07131645834171929,0.8095023296604876,0.053966821977365846,0.006621747891088013,4,0.16517069018856873,111,166,0.6592596722462951,0.15024265741419196,0.8107535396128923,0.06756279496774104,0.02687868802584899,3,0.16501319574302137,79,152,0.6896441149262238,0.12110942468666813
"('TQQQ', 'SOXL')",60,50,1,1,5.0,1,True,True,2.051886321388917,0.5170727571150361,1100,3.3156219923504358,1.0913789609775073,0.95095478361862,0.052830821312145546,0.01840352084181409,5,0.33722931173103443,280,241,0.9729291292429995,0.02271550707610981,1.037446380154364,0.06916309201029094,0.009560378136757832,4,0.18263076876818302,141,186,0.9729291292429995,0.14014678459011942,1.1342126648121904,0.09451772206768254,0.032429943556319875,3,0.17279914299726923,92,173,1.0599658006111237,0.07424686420106508
"('TQQQ', 'SOXL')",5,50,1,1,5.0,1,True,True,0.4608385416046322,0.8982372778691351,963,2.9998884437308644,0.6348967458931636,0.6000173203598622,0.0333342955755479,0.0,7,0.6551091951456792,234,205,0.3247649026187941,0.31994227044155776,1.2069674820492202,0.08046449880328135,0.04015002816959366,4,0.19315534646572421,91,170,0.9725538183854326,0.2344136636637868,1.2152954575478456,0.10127462146232048,0.07355256783045287,3,0.17462215554349905,91,157,0.9969330364844545,0.21836242106339043
"('TQQQ', 'SOXL')",60,100,1,1,5.0,2,True,True,1.3341671096648724,0.7341028759475776,1200,3.1797010610651193,1.0855793122432802,0.8612923467296689,0.04784957481831494,0.006102707745587989,4,0.207393752422809,195,262,0.57485397365972,0.3441741658243133,0.8385211412952311,0.05590140941968209,0.0005497066922720353,4,0.2099621114781671,127,201,0.6830177281048222,0.23113294686916452,0.8958662671909021,0.0746555222659085,0.048625734188771585,3,0.20361210524204942,88,186,0.7259835063345794,0.16988276085632165
"('TQQQ', 'SOXL')",60,100,1,1,5.0,1,True,True,2.1890641515512756,0.670337967109898,1200,3.3465253997469477,1.321319277916917,1.3271520077037098,0.07373066709465054,0.03615279183034091,4,0.2295937220370742,210,262,1.1437057022558534,0.2281361581483452,1.2021114109094064,0.08014076072729379,0.027246663546870345,4,0.24653453147106352,142,201,1.1437057022558534,0.13403524233230768,1.304989237825045,0.10874910315208704,0.06870221228794285,3,0.23242453627415352,85,186,1.2307423736239775,0.07424686420106508
"('TQQQ', 'SOXL')",5,20,10,1,5.0,1,True,True,4.014381395289034,0.3226437348761685,141,3.426578726575466,0.806970528073486,1.05139381065362,0.058410767258534446,-0.025409038499971892,10,0.9968771550149574,328,29,1.226371260188055,-0.2936206891596025,1.3727514895605586,0.09151676597070392,0.09451624139520205,7,0.7195018932589431,174,24,1.7311011917675354,-0.2891428315199084,1.9739682183112053,0.16449735152593373,0.1730852881071432,4,0.17320354738424334,78,20,1.6686530404918072,0.02894501444880404
"('TQQQ', 'SOXL')",5,200,1,1,5.0,2,True,True,0.09960618492869477,0.7725118947996553,907,2.8012223753719483,1.37301606641936,0.23544094525908343,0.013080052514393523,0.0,8,0.5344602605805896,433,219,0.2386068186245982,0.054569919388850086,0.76568009893312,0.051045339928874674,0.006621747891088013,5,0.17877937839240698,111,183,0.6321839804717969,0.13349611846132275,0.7669313088855247,0.06391094240712707,0.02687868802584899,4,0.1786408940206571,79,169,0.6625684231517255,0.10436288573379893
"('TQQQ', 'SOXL')",5,20,1,1,5.0,2,True,True,1.0520097224878882,0.4390394237337861,1026,2.558827762269421,0.7262260430828772,0.3807541264144735,0.021153007023026298,-0.004510307954057963,9,0.5307180348547259,214,204,0.34047484266627065,0.09801507650256763,0.8711090001028179,0.05807393334018786,0.0327282188461459,6,0.1911825766908336,90,174,0.7020664763080103,0.1690425237948071,0.9346180451045851,0.07788483709204876,0.0344499339370781,4,0.1845300039901968,90,156,0.6841832659091439,0.12675599955042793
"('TQQQ', 'SOXL')",60,100,5,1,5.0,2,True,True,2.701174923968578,0.5315551077891102,253,3.2506746947509604,0.7081228886209177,1.2980100177064289,0.07211166765035713,0.03139830854281641,5,0.18066520048440607,125,54,0.903560214752092,0.44652943906922676,1.1673440251374334,0.0778229350091622,0.003712150839827847,5,0.19430815013317246,125,42,0.9065957117094957,0.3434860035542585,1.2367358151480592,0.10306131792900493,0.08850406952447111,4,0.1868162175206215,83,39,0.9766551684832618,0.2600806466647969
"('TQQQ', 'SOXL')",60,20,10,1,5.0,1,True,True,3.0843176114908712,0.4034778628059512,124,3.370878966557345,0.8414143300940706,1.335699061197146,0.07420550339984146,0.03505052647987779,7,0.2947530919960805,273,27,1.276565978869513,-0.07186298066449326,1.2525881893616968,0.08350587929077978,0.02267610755035928,6,0.24991134053863018,147,22,1.276565978869513,0.023881907390123525,1.449462228972395,0.12078851908103294,0.08413322842479626,4,0.1894019450442098,78,20,1.276565978869513,0.1728962501028819
"('TQQQ', 'SOXL')",60,200,5,1,5.0,2,True,True,3.397973541503519,0.6879234320936006,235,3.3371436806413177,0.7978487788829518,1.4584943044599095,0.08102746135888386,0.03139830854281641,5,0.18582657782626283,125,59,1.034573010000328,0.4760009305744717,1.3278283118909144,0.08852188745939427,0.003712150839827847,5,0.19782500554725957,125,47,1.0376085069577317,0.37295749505950343,1.39722010190154,0.116435008491795,0.08850406952447111,4,0.1912665576742031,68,44,1.107667963731498,0.28955213817004183
"('TQQQ', 'SOXL')",60,100,3,1,5.0,2,True,True,2.6920121537416,0.405883499581766,416,3.234262806410831,0.6670292290800418,0.9669762065878722,0.05372090036599289,0.01816078014924224,6,0.19789663358552015,125,89,0.5503054267993168,0.47340396674292873,0.89399209866715,0.05959947324447666,0.00926969904874752,5,0.2053578976956283,125,69,0.639276153019515,0.303131614071209,0.939449277047788,0.07828743975398232,0.06959765592271905,4,0.20064618199764028,85,64,0.6866547292936851,0.2527945477541024
"('TQQQ', 'SOXL')",60,100,10,1,5.0,2,True,True,3.403945755933936,0.5202245272283043,132,3.2097634601875447,0.8793803674731885,1.5987133982698452,0.08881741101499138,0.030800739830688484,5,0.1968488994003239,190,27,1.292575105728194,0.22191009107391674,1.4896869731990718,0.09931246487993813,0.003673926388563495,5,0.20939125016697574,127,21,1.292575105728194,0.1999320530857272,1.5589210503457953,0.1299100875288163,0.09330437315660133,4,0.20124857876643742,82,20,1.292575105728194,0.2663459446176016
"('TQQQ', 'SOXL')",60,50,10,1,5.0,1,True,True,2.60842559325131,0.5193691147951763,127,3.354163876440465,0.8106811997283278,1.5741985576623236,0.08745547542568463,0.044827385922823225,5,0.19437617874787316,195,26,1.3147420981110005,0.12846039655919705,1.4184042710671587,0.09456028473781058,0.02267610755035928,5,0.20837510721932304,129,20,1.3147420981110005,0.10648235857100752,1.4876383482138824,0.12396986235115685,0.09194119412779692,4,0.20191285210878418,78,19,1.3147420981110005,0.1728962501028819
"('TQQQ', 'SOXL')",60,200,3,1,5.0,2,True,True,3.2679484496948756,0.4117223601879035,388,3.335611329436027,0.5449077344145649,1.2645722213808024,0.07025401229893347,0.01816078014924224,6,0.20307023832626853,125,98,0.8040153366351421,0.5172900717000339,1.1915881134600803,0.07943920756400535,0.00926969904874752,5,0.21071198199190905,125,78,0.8929860628553402,0.3470177190283142,1.237045291840718,0.10308710765339317,0.06959765592271905,4,0.205886418255876,69,73,0.9403646391295104,0.29668065271120764
"('TQQQ', 'SOXL')",5,20,1,1,5.0,1,True,True,1.2710242727707917,0.5128372317966431,1026,2.8175616438657047,0.8956071979272294,0.7750520517208067,0.0430584473178226,0.00417646336015914,9,0.4994086468248285,187,204,0.6274960725300369,0.19224583189125954,1.2469345227026591,0.08312896818017727,0.05595405513989005,6,0.21585567587984308,83,174,1.1207344885182113,0.12620003418444692,1.2847184410643702,0.10705987008869754,0.07355256783045287,4,0.21193521206668894,83,156,0.9742697910605546,0.17036630241509776
"('TQQQ', 'SOXL')",5,20,5,1,5.0,1,True,True,3.4169198681262456,0.30059227201177546,253,3.2883228027370603,0.914027081162411,0.9261498181155622,0.0514527676730868,0.01676481336648269,8,0.4880052171020124,128,53,1.1172466711151874,-0.1554262493250843,1.258950176018493,0.0839300117345662,0.05688794193091746,6,0.30119905156704596,83,44,1.462570176736878,-0.20362000071838482,1.4025357022817508,0.11687797519014588,0.060462927360790314,4,0.21246674423364564,83,39,1.2948723539909235,-0.055207245002379945
"('TQQQ', 'SOXL')",60,200,10,1,5.0,2,True,True,4.053589091962399,0.5686724854713557,120,3.2792524621362253,0.7190424042965531,1.5025806331030391,0.08347670183905773,0.030800739830688484,5,0.2090640558438486,190,29,1.196442340561388,0.22191009107391674,1.393554208032266,0.09290361386881774,0.003673926388563495,5,0.21971148492427336,127,23,1.196442340561388,0.1999320530857272,1.4627882851789895,0.1218990237649158,0.09330437315660133,4,0.21282840042364118,68,22,1.196442340561388,0.2663459446176016
