family,top_k,cells,full_2bps_positive_fraction,full_10bps_positive_fraction,validation_positive_fraction,median_full_net_2bps,minimum_full_net_2bps,maximum_full_net_2bps
qqq_dual_ma50_200_weekly,1,30,1.0,1.0,1.0,3.332975463598777,1.3706318013467476,5.0532497784240675
qqq_dual_ma50_200_weekly,2,30,1.0,1.0,1.0,3.2554218125539616,1.8412652242498029,4.007225958781088
qqq_dual_ma50_200_weekly,3,30,1.0,1.0,1.0,2.8910517919973815,1.809077063929541,3.727114703358719
qqq_dual_ma50_200_weekly,10,30,1.0,1.0,1.0,2.071911020391549,1.5867744256391554,2.5521827953637213
qqq_single_ma150_weekly,1,30,1.0,1.0,1.0,3.256928057750471,0.5626888225942758,4.701134977023584
qqq_single_ma150_weekly,2,30,1.0,1.0,1.0,2.818510915787008,1.1197436299688082,4.076535539447413
qqq_single_ma150_weekly,3,30,1.0,1.0,1.0,2.6976468798386373,1.3685073449186655,3.489745108524958
qqq_single_ma150_weekly,10,30,1.0,1.0,1.0,1.7274559998712262,1.018437162628921,2.09809286327705
qqq_triple_ma10_50_200_monthly,1,30,1.0,1.0,1.0,3.130299730636867,1.114783210558854,4.397697704146382
qqq_triple_ma10_50_200_monthly,2,30,1.0,1.0,1.0,2.791132815346545,0.7332999239606867,4.062417751881944
qqq_triple_ma10_50_200_monthly,3,30,1.0,1.0,1.0,2.430690415070298,0.8133489402151075,2.99858869817955
qqq_triple_ma10_50_200_monthly,10,30,1.0,1.0,1.0,1.6950961976568495,0.9903948815412285,2.0359857993180404
sp500_dual_ma50_200_weekly,1,30,1.0,1.0,1.0,3.4839120600007005,1.5791556904491115,4.736437890621678
sp500_dual_ma50_200_weekly,2,30,1.0,1.0,1.0,2.650847000302819,1.6794712328593158,3.6146661267778284
sp500_dual_ma50_200_weekly,3,30,1.0,1.0,1.0,2.254075759945666,1.0660226468555483,2.828517580339571
sp500_dual_ma50_200_weekly,10,30,1.0,1.0,1.0,1.3412521443008671,0.8071744126445555,1.7062292009760653
sp500_triple_ma10_50_200_monthly,1,30,1.0,1.0,1.0,3.097449542020966,1.6418291237245477,4.372240380048664
sp500_triple_ma10_50_200_monthly,2,30,1.0,1.0,1.0,2.5267395110159265,1.2087358297497388,3.1538730963823998
sp500_triple_ma10_50_200_monthly,3,30,1.0,1.0,1.0,1.9892945586588362,1.3887296500372124,2.3333505615468053
sp500_triple_ma10_50_200_monthly,10,30,1.0,1.0,1.0,1.0537103123347156,0.8120678177275799,1.21962585702188
