family,panel,formation,skip,top_k,variant,eligible_cells,active_sessions,turnover,full_net_2bps,full_net_10bps,full_drawdown_2bps,top5_symbol_positive_share_2bps,leave_top5_return_2bps,common_net,common_drawdown,common_positive_months,common_negative_months,common_worst_month,train_net,train_drawdown,train_positive_months,train_negative_months,train_worst_month,validation_net,validation_drawdown,validation_positive_months,validation_negative_months,validation_worst_month,recent12_net,recent12_drawdown,recent12_positive_months,recent12_negative_months,recent12_worst_month,neighbor_cells,neighbor_train_min,neighbor_train_median,neighbor_validation_positive_fraction,neighbor_full_10bps_positive_fraction,selection_role,baseline_variant,baseline_train_net,baseline_validation_net,baseline_full_net_2bps,baseline_recent12_net,validation_improvement_vs_baseline,full_improvement_vs_baseline
qqq_dual_ma50_200_weekly,qqq,42,10,1,qqq_dual_ma50_200_weekly_top1_f42_s10,50039,1521,285.0,2.1308913892335544,1.9028913892335542,0.43748796466046597,0.44571909845825697,0.32397340481917913,1.6959745925013645,0.537722187070104,34,35,-0.28867937004941624,1.0166519649547028,0.537722187070104,19,23,-0.27581584589456215,0.6793226275466615,0.6276398360351936,16,12,-0.28867937004941624,0.4513323863711671,0.749480540984501,6,6,-0.2630344963004357,6,0.8192460756118389,1.1818725547012678,1.0,1.0,training_plateau_center,qqq_dual_ma50_200_weekly_top1_f126_s21,0.9969105253808198,1.815586174336432,3.632773054228407,1.3996004808030298,-1.1362635467897706,-1.5018816649948525
qqq_dual_ma50_200_weekly,qqq,84,10,2,qqq_dual_ma50_200_weekly_top2_f84_s10,50039,1521,162.0,3.0992834393046036,2.9696834393046037,0.29204442616403764,0.5633732425493359,0.6743049858072161,2.4213660929274745,0.4088256067073712,41,28,-0.19436961867265454,1.1178830164187854,0.4088256067073712,24,18,-0.19436961867265454,1.303483076508689,0.3900932556559893,17,11,-0.17335198080907077,1.0362859515784288,0.14808287975480738,8,4,-0.08080478811328436,9,1.0532705902941302,1.2755757195386126,1.0,1.0,training_plateau_center,qqq_dual_ma50_200_weekly_top2_f126_s21,1.0532705902941302,2.0555549185106194,3.714533776714623,1.4392248978514832,-0.7520718420019303,-0.6152503374100196
qqq_dual_ma50_200_weekly,qqq,63,0,3,qqq_dual_ma50_200_weekly_top3_f63_s0,50039,1521,175.66666666666666,3.2039311018860124,3.063397768552679,0.18543189638263047,0.4599650304541567,1.202279148700344,2.5338942536875413,0.25175879976173066,43,26,-0.17189648814693473,1.27301833763496,0.25175879976173066,25,17,-0.17189648814693473,1.2608759160525809,0.3299081999593778,18,10,-0.09019540695020564,1.0997588340218123,0.12804441103296185,10,2,-0.09019540695020564,6,0.8687995600320905,1.0301600942280928,1.0,1.0,training_plateau_center,qqq_dual_ma50_200_weekly_top3_f126_s21,1.2425989764232677,1.8088452897493528,3.727114703358719,1.1680982466792085,-0.5479693736967719,-0.5231836014727067
qqq_dual_ma50_200_weekly,qqq,84,5,10,qqq_dual_ma50_200_weekly_top10_f84_s5,50039,1521,115.11031746031748,2.171057834768984,2.07896958080073,0.19000746466867147,0.31747009127356873,1.3526245017582612,1.716840312809589,0.2454747082938729,40,29,-0.16248017851314034,0.7374318698973834,0.2454747082938729,24,18,-0.16248017851314034,0.9794084429122059,0.3215894203634515,16,12,-0.1283921464020832,0.9519218355830964,0.09126221336771363,8,4,-0.049284709650938716,9,0.724322987084176,0.8250807246169929,1.0,1.0,training_plateau_center,qqq_dual_ma50_200_weekly_top10_f126_s21,0.8741669117436061,0.923113405888623,2.2928311043100646,0.8728583654531868,0.05629503702358285,-0.1217732695410807
qqq_single_ma150_weekly,qqq,84,10,1,qqq_single_ma150_weekly_top1_f84_s10,49397,1574,235.0,3.9976054436125352,3.809605443612535,0.5031337803989999,0.5901180744877932,0.9486448749541214,2.840585902322845,0.7167679440018494,38,31,-0.22165401474581914,0.7439118440788915,0.7167679440018494,22,20,-0.22165401474581914,2.0966740582439534,0.35516621098523216,17,11,-0.11940659658087359,1.2781345374725213,0.24363279558635695,7,5,-0.06840982429604918,9,0.1614929247928112,0.7435615484368,1.0,1.0,training_plateau_center,qqq_single_ma150_weekly_top1_f126_s21,0.7435615484368,2.246302687806756,4.1015740427077585,1.370894698541299,-0.14962862956280265,-0.10396859909522327
qqq_single_ma150_weekly,qqq,84,10,2,qqq_single_ma150_weekly_top2_f84_s10,49397,1574,172.0,2.7185558566221197,2.58095585662212,0.4038208826499102,0.5933033631668866,0.2640535952973573,1.9039196653065578,0.5978646360740878,39,30,-0.21614883053903267,0.5987720805278738,0.5978646360740878,22,20,-0.21614883053903267,1.305147584778684,0.3896730050506913,17,11,-0.17335198080907077,1.0362859515784288,0.14808287975480738,8,4,-0.08080478811328436,9,0.5987720805278738,0.9334887268401761,1.0,1.0,training_plateau_center,qqq_single_ma150_weekly_top2_f126_s21,0.9334887268401761,2.0865509024676063,3.709498656971551,1.3976169050892895,-0.7814033176889223,-0.9909428003494312
qqq_single_ma150_weekly,qqq,42,0,3,qqq_single_ma150_weekly_top3_f42_s0,49397,1574,231.66666666666663,1.735025612709187,1.5496922793758534,0.3831056167861698,0.4506460545640828,0.363281952292029,1.2249482792768376,0.472671709357832,37,32,-0.19181080058779276,0.5516924430988158,0.4522412279008206,22,20,-0.18153920557946598,0.6732558361780214,0.5114718748274205,15,13,-0.19181080058779276,0.9786179935358472,0.12008682873303982,8,4,-0.06669703744852165,4,0.5414658417473754,0.590492343683884,1.0,1.0,training_plateau_center,qqq_single_ma150_weekly_top3_f126_s21,1.0036893852201763,1.770359116672601,3.489745108524958,1.1628901748660547,-1.0971032804945795,-1.754719495815771
qqq_single_ma150_weekly,qqq,42,0,10,qqq_single_ma150_weekly_top10_f42_s0,49397,1574,184.53492063492064,1.8080862721767046,1.660458335668768,0.2758465416411672,0.31115031431922774,1.0962361984593882,1.4037811572958563,0.339403629000501,41,28,-0.13169086292259677,0.5571213420244058,0.339403629000501,24,18,-0.13169086292259677,0.8466598152714506,0.3011147944441259,18,10,-0.11646650354869122,0.8416762604456136,0.08828595063058833,9,3,-0.07295816172183624,4,0.4444557646994198,0.5406818161627576,1.0,1.0,training_plateau_center,qqq_single_ma150_weekly_top10_f126_s21,0.44212231794331536,0.8557633380555065,1.7335676648671117,0.8917123538555104,-0.009103522784055906,0.07451860730959292
qqq_triple_ma10_50_200_monthly,qqq,42,10,1,qqq_triple_ma10_50_200_monthly_top1_f42_s10,32367,1507,115.0,3.4793482241169666,3.3873482241169666,0.21933732911293746,0.6264149095722725,0.7691845817798271,2.557891446892722,0.31806016104658663,40,29,-0.26055917082087915,2.153465975766339,0.31806016104658663,25,17,-0.26055917082087915,0.40442547112638283,0.5011135128766008,15,13,-0.14425303552221863,0.13464276626555638,0.5081369039497893,6,6,-0.14425303552221863,6,1.2959699152712694,1.6270874423197854,1.0,1.0,training_plateau_center,qqq_triple_ma10_50_200_monthly_top1_f126_s21,0.917704572875019,2.410233153249733,3.8303676434330662,1.7816506982784377,-2.0058076821233506,-0.3510194193160996
qqq_triple_ma10_50_200_monthly,qqq,42,10,2,qqq_triple_ma10_50_200_monthly_top2_f42_s10,32367,1507,106.0,3.3549006964422983,3.2701006964422983,0.31718239068995074,0.4713610304186148,1.5012421484747929,2.701004996555273,0.42156516086666407,42,27,-0.16673763110311,1.6124780578595117,0.42156516086666407,25,17,-0.16673763110311,1.0885269386957614,0.3116920750340356,17,11,-0.12046313533378594,0.9500735986371549,0.19531014370173178,8,4,-0.041404402880116084,6,0.7128755378332469,1.1424132299757934,1.0,1.0,training_plateau_center,qqq_triple_ma10_50_200_monthly_top2_f126_s21,0.8873984181449603,1.3681296794283684,2.830717043657109,1.0124264980900248,-0.27960274073260694,0.5241836527851893
