family,top_k,formation,skip,selected_quote_2bps,baseline_quote_2bps,full_quote_improvement,recent12_quote_improvement,drawdown_change,bar_validation_improvement
qqq_dual_ma50_200_weekly,1,42,10,1.7452008620953416,3.7618452898902848,-2.016644427794943,-0.9637011946433349,0.17909519259523848,-1.1362635467897706
qqq_dual_ma50_200_weekly,2,84,10,2.996762761247685,3.657397363716816,-0.660634602469131,-0.46020176650801614,0.031333264118619364,-0.7520718420019303
qqq_dual_ma50_200_weekly,3,63,0,3.2055605939605067,3.628296357350633,-0.4227357633901261,-0.1126459799501962,0.010240469566361904,-0.5479693736967719
qqq_dual_ma50_200_weekly,10,84,5,2.084667011450831,2.2128233704539024,-0.12815635900307143,0.08639789117619057,0.010481237011339906,0.0562950370235828
qqq_single_ma150_weekly,1,84,10,3.619879755742168,4.207961431466659,-0.5880816757244909,-0.2615954772029325,0.0,-0.1496286295628026
qqq_single_ma150_weekly,2,84,10,2.630095800093061,3.748949663202391,-1.1188538631093299,-0.4161577725323037,-0.04352818345748399,-0.7814033176889223
qqq_single_ma150_weekly,3,42,0,1.552051137580969,3.446898685249442,-1.8948475476684732,-0.2383622172613219,0.0195540761607485,-1.0971032804945795
qqq_single_ma150_weekly,10,42,0,1.6296455917446169,1.7048351421239598,-0.07518955037934294,-0.1003534208958613,-0.05424787662018077,-0.0091035227840559
qqq_triple_ma10_50_200_monthly,1,42,10,3.389545481202309,3.778671637514787,-0.3891261563124777,-1.6987685626681628,-0.14367417576837,-2.0058076821233506
qqq_triple_ma10_50_200_monthly,2,42,10,3.2318123631684665,2.810229024477765,0.42158333869070175,-0.09224947453066601,0.013405717245192905,-0.2796027407326069
qqq_triple_ma10_50_200_monthly,3,126,5,2.660215150094615,2.582339471122535,0.07787567897208003,0.08475027553709757,-0.061165302703176716,0.0145578804714867
qqq_triple_ma10_50_200_monthly,10,42,0,1.77910293837862,1.6459137876074132,0.13318915077120685,0.07769132765880615,-0.027792422734350397,0.1374358923976806
sp500_dual_ma50_200_weekly,1,252,0,3.4426632822848124,4.482076559228174,-1.0394132769433617,-0.37714573958976816,0.04142406337455179,-0.6795280320749901
sp500_dual_ma50_200_weekly,2,189,0,3.019124802858429,3.003540950688546,0.015583852169883006,0.16806552135196973,0.09818512508787533,0.3511590893587257
sp500_dual_ma50_200_weekly,3,252,5,2.2787111365708217,2.4844816729072527,-0.20577053633643105,-0.09931686801841377,0.09888768998165431,0.1806720830719466
sp500_dual_ma50_200_weekly,10,189,42,1.3226796300866506,1.5516123037830087,-0.22893267369635817,-0.19337588611820422,0.048014181754674146,-0.1188904693422912
sp500_triple_ma10_50_200_monthly,1,42,0,1.970654727811208,3.703052467177279,-1.732397739366071,-1.480851104295952,-0.014230959258210218,-1.8459804536526232
sp500_triple_ma10_50_200_monthly,2,63,0,2.8750060672138824,2.509474972193424,0.36553109502045844,-0.16058780106405512,0.07426232228430923,0.1088169859682675
sp500_triple_ma10_50_200_monthly,3,252,5,2.053072170782448,2.100468921428294,-0.04739675064584592,-0.2436440025979152,0.1305078456123545,-0.0772850235115441
sp500_triple_ma10_50_200_monthly,10,252,0,1.0365908784455398,1.1003566727960152,-0.06376579435047547,-0.054667994183926094,0.084757698766661,0.0412906214431563
