family,top_k,formation,skip,role
qqq_triple_ma10_50_200_monthly,10,42,21,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,63,0,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,63,10,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,63,21,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,84,0,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,84,10,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,84,21,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,126,21,baseline
qqq_triple_ma10_50_200_monthly,10,189,0,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,189,10,posthoc_bar_dominant
qqq_triple_ma10_50_200_monthly,10,189,21,posthoc_bar_dominant
sp500_dual_ma50_200_weekly,1,-1,-1,walkforward
sp500_dual_ma50_200_weekly,1,126,21,baseline
sp500_dual_ma50_200_weekly,1,189,0,posthoc_bar_dominant
sp500_dual_ma50_200_weekly,1,252,0,selected
sp500_dual_ma50_200_weekly,2,-1,-1,walkforward
sp500_dual_ma50_200_weekly,2,126,21,baseline
sp500_dual_ma50_200_weekly,2,189,0,selected
sp500_dual_ma50_200_weekly,3,-1,-1,walkforward
sp500_dual_ma50_200_weekly,3,63,42,posthoc_bar_dominant
sp500_dual_ma50_200_weekly,3,126,21,baseline
sp500_dual_ma50_200_weekly,3,252,5,selected
sp500_dual_ma50_200_weekly,10,-1,-1,walkforward
sp500_dual_ma50_200_weekly,10,126,21,baseline
sp500_dual_ma50_200_weekly,10,189,42,selected
sp500_triple_ma10_50_200_monthly,1,-1,-1,walkforward
sp500_triple_ma10_50_200_monthly,1,42,0,selected
sp500_triple_ma10_50_200_monthly,1,126,21,baseline
sp500_triple_ma10_50_200_monthly,2,-1,-1,walkforward
sp500_triple_ma10_50_200_monthly,2,63,0,selected
sp500_triple_ma10_50_200_monthly,2,84,0,posthoc_bar_dominant
sp500_triple_ma10_50_200_monthly,2,84,5,posthoc_bar_dominant
sp500_triple_ma10_50_200_monthly,2,126,21,baseline
sp500_triple_ma10_50_200_monthly,2,189,0,posthoc_bar_dominant
sp500_triple_ma10_50_200_monthly,3,-1,-1,walkforward
sp500_triple_ma10_50_200_monthly,3,126,21,baseline
sp500_triple_ma10_50_200_monthly,3,252,5,selected
sp500_triple_ma10_50_200_monthly,10,-1,-1,walkforward
sp500_triple_ma10_50_200_monthly,10,126,21,baseline
sp500_triple_ma10_50_200_monthly,10,252,0,selected
