family,panel,top_k,evaluation_year,training_start,training_end,training_sessions,formation,skip,neighbor_train_min,neighbor_train_median
qqq_triple_ma10_50_200_monthly,qqq,3,2026,2020-08-20,2025-12-31,1348,42,0,1.323525796150976,1.4323663473934323
qqq_triple_ma10_50_200_monthly,qqq,10,2022,2020-08-20,2021-12-31,345,252,10,0.5213274521526896,0.5760260559529534
qqq_triple_ma10_50_200_monthly,qqq,10,2023,2020-08-20,2022-12-30,596,252,10,0.09873661472835094,0.14966763129221852
qqq_triple_ma10_50_200_monthly,qqq,10,2024,2020-08-20,2023-12-29,846,42,0,0.40179852782209025,0.4837560438591713
qqq_triple_ma10_50_200_monthly,qqq,10,2025,2020-08-20,2024-12-31,1098,42,0,0.6153847981306647,0.7270233119253654
qqq_triple_ma10_50_200_monthly,qqq,10,2026,2020-08-20,2025-12-31,1348,42,0,0.8885325824189217,1.1037418141728286
sp500_dual_ma50_200_weekly,sp500,1,2024,2022-07-01,2023-12-29,377,42,5,0.500488883925048,0.7022315447390958
sp500_dual_ma50_200_weekly,sp500,1,2025,2022-07-01,2024-12-31,629,126,0,0.892787277774525,1.1502590632035605
sp500_dual_ma50_200_weekly,sp500,1,2026,2022-07-01,2025-12-31,879,252,0,1.8114055861586809,2.037653415009945
sp500_dual_ma50_200_weekly,sp500,2,2024,2022-07-01,2023-12-29,377,84,42,0.3273949270979598,0.4192599537629461
sp500_dual_ma50_200_weekly,sp500,2,2025,2022-07-01,2024-12-31,629,189,0,0.6624878092167245,0.9164238404511917
sp500_dual_ma50_200_weekly,sp500,2,2026,2022-07-01,2025-12-31,879,189,0,1.60491705176491,1.8272825773870167
sp500_dual_ma50_200_weekly,sp500,3,2024,2022-07-01,2023-12-29,377,84,42,0.2057863698712406,0.43165945420458474
sp500_dual_ma50_200_weekly,sp500,3,2025,2022-07-01,2024-12-31,629,252,5,0.5643679164123214,0.7328100513126004
sp500_dual_ma50_200_weekly,sp500,3,2026,2022-07-01,2025-12-31,879,84,42,1.295858443595526,1.4652620956867026
sp500_dual_ma50_200_weekly,sp500,10,2024,2022-07-01,2023-12-29,377,189,21,0.16673901634942656,0.30332389945819893
sp500_dual_ma50_200_weekly,sp500,10,2025,2022-07-01,2024-12-31,629,189,42,0.5101821910092514,0.5687863411187359
sp500_dual_ma50_200_weekly,sp500,10,2026,2022-07-01,2025-12-31,879,189,42,0.925420180678447,0.9499722137803941
sp500_triple_ma10_50_200_monthly,sp500,1,2024,2022-07-01,2023-12-29,377,42,0,0.5703806879651414,0.6329409911654766
sp500_triple_ma10_50_200_monthly,sp500,1,2025,2022-07-01,2024-12-31,629,42,0,1.0597704827882235,1.1758987252800133
sp500_triple_ma10_50_200_monthly,sp500,1,2026,2022-07-01,2025-12-31,879,126,0,1.7698529008876291,2.0291731520749123
sp500_triple_ma10_50_200_monthly,sp500,2,2024,2022-07-01,2023-12-29,377,42,0,0.4904645914658863,0.5824270160550951
sp500_triple_ma10_50_200_monthly,sp500,2,2025,2022-07-01,2024-12-31,629,63,0,0.7085621881785797,1.0085524678948112
sp500_triple_ma10_50_200_monthly,sp500,2,2026,2022-07-01,2025-12-31,879,252,0,1.3378622972750036,1.4310358717781977
sp500_triple_ma10_50_200_monthly,sp500,3,2024,2022-07-01,2023-12-29,377,42,0,0.23837165236838107,0.4721271744816301
sp500_triple_ma10_50_200_monthly,sp500,3,2025,2022-07-01,2024-12-31,629,252,21,0.5014485005558825,0.6994153808746388
sp500_triple_ma10_50_200_monthly,sp500,3,2026,2022-07-01,2025-12-31,879,63,0,1.0860604858773426,1.3047354340592787
sp500_triple_ma10_50_200_monthly,sp500,10,2024,2022-07-01,2023-12-29,377,42,0,0.14162581995178955,0.2306748208065778
sp500_triple_ma10_50_200_monthly,sp500,10,2025,2022-07-01,2024-12-31,629,252,0,0.3600530905608174,0.3902644903395497
sp500_triple_ma10_50_200_monthly,sp500,10,2026,2022-07-01,2025-12-31,879,252,0,0.6304401978330115,0.7349243864288152
