family,top_k,formation,skip,role,full_improvement,validation_improvement,recent12_improvement,drawdown_change
qqq_dual_ma50_200_weekly,1,84,21,posthoc_bar_dominant,1.4204767241956615,1.276135016027796,0.23192371764130604,-0.023113592622114376
qqq_dual_ma50_200_weekly,10,63,42,posthoc_bar_dominant,0.11904815625203113,0.2400534627808959,0.08884988977630037,-0.0004605538663298159
qqq_single_ma150_weekly,1,84,21,posthoc_bar_dominant,0.599560934315825,0.8454185025574721,0.26062949990303674,0.0
qqq_single_ma150_weekly,2,189,0,posthoc_bar_dominant,0.36703688247586186,0.4069698904411534,0.1405371822092194,-0.04050213085145532
qqq_single_ma150_weekly,2,189,5,posthoc_bar_dominant,0.07251708392608824,0.2935594663173968,0.11487657268265106,-0.009513671896563713
qqq_single_ma150_weekly,10,63,0,posthoc_bar_dominant,0.36452519840993847,0.30111403274751947,0.019808147746527838,-0.01853327823802109
qqq_single_ma150_weekly,10,63,42,posthoc_bar_dominant,0.12573428473608828,0.14674819338670164,0.053209802026734976,-0.03249888140300716
qqq_single_ma150_weekly,10,84,0,posthoc_bar_dominant,0.19181498681652998,0.14594803404759227,0.060121330679439255,-0.017396581142488765
qqq_single_ma150_weekly,10,84,10,posthoc_bar_dominant,0.3478245020571611,0.11902590176301164,0.031246307993872624,-0.049721704395428
qqq_triple_ma10_50_200_monthly,2,84,0,posthoc_bar_dominant,0.5734183318658084,0.27456410405162357,0.33655602992730826,-0.02826698673318917
qqq_triple_ma10_50_200_monthly,2,84,5,posthoc_bar_dominant,1.2317007082248352,0.47691256825116835,0.26523318980138266,-0.10886338160849188
qqq_triple_ma10_50_200_monthly,2,84,21,posthoc_bar_dominant,0.19392636012939723,0.13643248677099917,0.23404425865801493,-0.033754108827115104
qqq_triple_ma10_50_200_monthly,2,189,0,posthoc_bar_dominant,0.6402706905264419,0.5417236691824461,0.3630438498370261,-0.014949870655820596
qqq_triple_ma10_50_200_monthly,2,189,21,posthoc_bar_dominant,0.3737671612602451,0.46855785349841916,0.617777447200679,-0.024945859629794398
qqq_triple_ma10_50_200_monthly,3,63,0,posthoc_bar_dominant,0.004435010550825513,0.1964720503523547,0.12428084207375589,-0.022989438275336282
qqq_triple_ma10_50_200_monthly,3,84,0,posthoc_bar_dominant,0.09737994495424163,0.14012018603627574,0.188853324504357,-0.0662216610527604
qqq_triple_ma10_50_200_monthly,3,84,5,posthoc_bar_dominant,0.24046586309791662,0.43890978800778235,0.2890763689709862,-0.05313228215670579
qqq_triple_ma10_50_200_monthly,3,126,5,posthoc_bar_dominant,0.09753311042949742,0.014557880471486762,0.08780634726216052,-0.05072358542179928
qqq_triple_ma10_50_200_monthly,3,189,0,posthoc_bar_dominant,0.32449684228528675,0.514378208825415,0.38890459977470393,-0.0022295093982290792
qqq_triple_ma10_50_200_monthly,3,189,5,posthoc_bar_dominant,0.21522965066943556,0.5119933007444699,0.40660291577512353,-0.0010827530783937833
qqq_triple_ma10_50_200_monthly,10,42,0,posthoc_bar_dominant,0.16381851492728527,0.13743589239768061,0.08355224414462625,-0.028213920136700432
qqq_triple_ma10_50_200_monthly,10,42,10,posthoc_bar_dominant,0.18895198481432085,0.17501837480102878,0.14910061161673993,-0.015906106413107135
qqq_triple_ma10_50_200_monthly,10,42,21,posthoc_bar_dominant,0.12441534676712362,0.17692812521352164,0.12804057374017253,-0.015741414221306316
qqq_triple_ma10_50_200_monthly,10,63,0,posthoc_bar_dominant,0.25011234219428324,0.2887626752741058,0.16028601140184873,-0.004744687490449595
qqq_triple_ma10_50_200_monthly,10,63,10,posthoc_bar_dominant,0.1441465808929443,0.27362244993516616,0.21950703285501394,-0.005512495229653913
qqq_triple_ma10_50_200_monthly,10,63,21,posthoc_bar_dominant,0.18646250115274166,0.20924158681020133,0.1995865001925925,-0.0020001001314253197
qqq_triple_ma10_50_200_monthly,10,84,0,posthoc_bar_dominant,0.22086107643771125,0.18882728755946465,0.21416966539719973,-0.0075620784475221026
qqq_triple_ma10_50_200_monthly,10,84,10,posthoc_bar_dominant,0.11646906245435362,0.15636473384269634,0.08189224896916802,-0.0073680439626572225
qqq_triple_ma10_50_200_monthly,10,84,21,posthoc_bar_dominant,0.029158427320407743,0.09633041772210149,0.051058690552043484,-0.002732127263199935
qqq_triple_ma10_50_200_monthly,10,189,0,posthoc_bar_dominant,0.010154079414550266,0.10752188122380335,0.08386190164561491,-0.0044230150508353105
qqq_triple_ma10_50_200_monthly,10,189,10,posthoc_bar_dominant,0.05981684617236449,0.13160501055108298,0.08829183388287942,-0.02501206175831394
qqq_triple_ma10_50_200_monthly,10,189,21,posthoc_bar_dominant,0.042001472006930385,0.12469651386886449,0.03145606501903775,-0.009834093585445236
sp500_dual_ma50_200_weekly,1,189,0,posthoc_bar_dominant,0.11446695890474157,0.09181041443587645,0.11773668509634216,-0.013529925934557097
sp500_dual_ma50_200_weekly,3,63,42,posthoc_bar_dominant,0.328072102469275,0.5340464533174119,0.20215227747456121,-0.006488202520816222
sp500_triple_ma10_50_200_monthly,2,84,0,posthoc_bar_dominant,0.593686410209481,0.5648105017442693,0.32302775182955146,-0.05110029769306518
sp500_triple_ma10_50_200_monthly,2,84,5,posthoc_bar_dominant,0.24807826177506298,0.2623874782957949,0.006514866934570485,-0.05153981616475059
sp500_triple_ma10_50_200_monthly,2,189,0,posthoc_bar_dominant,0.1960394578651603,0.32447681963297903,0.07499103163389198,-0.028445458778445898
