candidate,extra_adverse_bps_per_side,month,net_pnl
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-06,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-07,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-08,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-09,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-10,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-11,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2019-12,0.0
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-01,0.0032760387506045457
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-02,0.0034409095319073296
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-03,-0.1463170120490054
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-04,0.12147520505186388
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-05,0.11928764771214034
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-06,0.1392223125613259
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-07,0.12055104177446374
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-08,0.15587153293859513
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-09,-0.007976770610927289
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-10,-0.0038475424008558023
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-11,0.2066266093595764
qqq_single_ma150_weekly_top10_f126_s21,0.0,2020-12,0.023552319183438065
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-01,0.06518473011428771
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-02,0.015674238269884858
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-03,-0.04609146253999766
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-04,0.011024608668513534
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-05,0.006560698256467922
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-06,0.029179806952533468
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-07,0.08793221991915318
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-08,0.0661036625422855
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-09,-0.09433419524129451
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-10,0.0864663498596796
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-11,-0.009721748025309979
qqq_single_ma150_weekly_top10_f126_s21,0.0,2021-12,-0.04614325173395862
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-01,-0.18598626058998136
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-02,-0.05855685462306113
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-03,-0.006927358537768231
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-04,-0.09483316767922334
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-05,-0.018077785648604232
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-06,-0.025138940748315068
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-07,-0.03262178670538976
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-08,-0.03248671811008299
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-09,-0.0837052109501256
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-10,0.05655775339100804
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-11,0.09427952167135709
qqq_single_ma150_weekly_top10_f126_s21,0.0,2022-12,-0.03391032795378034
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-01,0.03259268844115129
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-02,-0.052899767549529714
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-03,0.050252772638328794
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-04,-0.01096581485180272
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-05,0.14131578323039054
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-06,0.03977325871574245
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-07,0.030628233650522228
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-08,-0.001743046818245643
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-09,-0.06945578440796332
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-10,-0.03514200557241224
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-11,0.15680285640853422
qqq_single_ma150_weekly_top10_f126_s21,0.0,2023-12,0.060725883733994915
