family,top_k,robust_cells,formations,skips,best_full_quote_improvement,median_full_quote_improvement,best_recent12_quote_improvement,best_drawdown_reduction
qqq_dual_ma50_200_weekly,1,1,84,21,1.2027534791833356,1.2027534791833356,0.20937683903568916,-0.004768674665198536
qqq_dual_ma50_200_weekly,10,1,63,42,0.07793218346159225,0.07793218346159225,0.06765032399593185,-0.005776008489999096
qqq_single_ma150_weekly,1,1,84,21,0.3376373523438607,0.3376373523438607,0.24266162094691834,0.0
qqq_single_ma150_weekly,2,1,189,0,0.36925938378555445,0.36925938378555445,0.13941326734402892,-0.06619118752881609
qqq_single_ma150_weekly,10,3,"63,84","0,10,42",0.323700672626984,0.11517801806123229,0.05515286273288145,-0.0645377846432818
qqq_triple_ma10_50_200_monthly,2,3,"84,189","0,5,21",1.2582740327664372,0.6223698909715947,0.6231181562877507,-0.08371446333037641
qqq_triple_ma10_50_200_monthly,3,4,"84,189","0,5",0.36106110379050627,0.3183221399409877,0.40377894629347255,-0.07314142078271268
qqq_triple_ma10_50_200_monthly,10,11,"42,63,84,189","0,10,21",0.21231313459336998,0.11695207996593693,0.21262221423628547,-0.027792422734350397
sp500_dual_ma50_200_weekly,3,1,63,42,0.27873413400898084,0.27873413400898084,0.12286577392408171,-0.008992349298116903
sp500_triple_ma10_50_200_monthly,2,2,"84,189",0,0.5834897215076551,0.3596930178248645,0.2852997989550812,-0.050617671447612284
