family,top_k,evaluation_start,walkforward_net,walkforward_drawdown,walkforward_positive_months,walkforward_negative_months,walkforward_worst_month,baseline_net,baseline_drawdown,baseline_positive_months,baseline_negative_months,baseline_worst_month,net_improvement,drawdown_change
qqq_dual_ma50_200_weekly,1,2022-01-01,2.033437853573191,0.8827663065619795,30,22,-0.4713515744659925,2.369410520363987,0.5781039864823185,32,20,-0.2218363644603878,-0.33597266679079585,0.304662320079661
qqq_dual_ma50_200_weekly,2,2022-01-01,1.5138466060931042,0.712520480882468,32,20,-0.2168546266572313,2.25589357665657,0.5471613054138899,30,22,-0.21940311306537258,-0.7420469705634658,0.16535917546857815
qqq_dual_ma50_200_weekly,3,2022-01-01,0.9041170008353383,0.7121246044289599,29,23,-0.2579161643505655,2.2018294869436437,0.3752743675783059,34,18,-0.16623677342512083,-1.2977124861083054,0.33685023685065396
qqq_dual_ma50_200_weekly,10,2022-01-01,0.9522287055366648,0.4507368090301247,29,23,-0.16767606599126467,1.1600119489872514,0.3307089553411853,30,22,-0.1634756830211449,-0.20778324345058652,0.12002785368893942
qqq_single_ma150_weekly,1,2022-01-01,1.5483967327836003,0.9827018187245374,30,22,-0.5018388988920396,2.908208358528715,0.682135150843654,33,19,-0.2218363644603878,-1.3598116257451145,0.3005666678808835
qqq_single_ma150_weekly,2,2022-01-01,1.36976982816258,0.8206169758642132,32,20,-0.35950945830138303,2.494074580706936,0.5100080213930324,30,22,-0.15304379116574557,-1.1243047525443561,0.31060895447118086
qqq_single_ma150_weekly,3,2022-01-01,0.2612701227670229,0.9483396425949965,27,25,-0.19423524886872,2.1770110462900307,0.4321277736748346,34,18,-0.11999482276372503,-1.9157409235230078,0.5162118689201618
qqq_single_ma150_weekly,10,2022-01-01,0.5835073870959631,0.604874551705771,29,23,-0.1413760809112732,0.803997193278588,0.5872077265290403,25,27,-0.18642626058998135,-0.22048980618262493,0.017666825176730683
qqq_triple_ma10_50_200_monthly,1,2022-01-01,1.1403425393749738,0.3614102137800423,28,24,-0.1581506511225907,2.3195696509466828,0.8054060154348741,32,20,-0.2218363644603878,-1.179227111571709,-0.4439958016548318
qqq_triple_ma10_50_200_monthly,2,2022-01-01,0.6964910703568751,0.8902007450305529,29,23,-0.22728610300648666,1.4228779736215298,0.6604398254452937,30,22,-0.15856744813518303,-0.7263869032646547,0.22976091958525924
qqq_triple_ma10_50_200_monthly,3,2022-01-01,0.9974518446201651,0.7270269525404462,29,23,-0.21739269487331317,1.0493484645619542,0.7816836490170402,31,21,-0.1711114617066311,-0.05189661994178907,-0.05465669647659399
qqq_triple_ma10_50_200_monthly,10,2022-01-01,0.5962304675580399,0.6373589955255157,30,22,-0.14362551557759018,0.6328727024152124,0.6097955997530955,30,22,-0.14362551557759018,-0.03664223485717255,0.027563395772420174
sp500_dual_ma50_200_weekly,1,2024-01-01,3.124655558761884,0.41093285040477545,20,8,-0.2923340384293768,3.553667186926218,0.5017666229734938,23,5,-0.21019975421410508,-0.4290116281643339,-0.09083377256871839
sp500_dual_ma50_200_weekly,2,2024-01-01,2.355254390807641,0.39321388301096244,19,9,-0.19666904923559264,2.3717219752929317,0.33480923481820746,22,6,-0.20005495236995657,-0.016467584485290843,0.05840464819275498
sp500_dual_ma50_200_weekly,3,2024-01-01,1.782134617701384,0.32157950679759145,20,8,-0.1540479642040342,1.9535691252100489,0.3214584576028977,20,8,-0.13270328905189416,-0.17143450750866496,0.00012104919469374531
sp500_dual_ma50_200_weekly,10,2024-01-01,1.1674345707250882,0.28456185208182416,21,7,-0.12513773274177423,1.1630538664658447,0.3423572559960686,18,10,-0.13224028844001343,0.0043807042592434176,-0.057795403914244425
sp500_triple_ma10_50_200_monthly,1,2024-01-01,2.349757762153815,0.39611761840245974,21,7,-0.25253664042755414,3.0982415278527027,0.34244875700505334,21,7,-0.22758945685590842,-0.7484837656988876,0.0536688613974064
sp500_triple_ma10_50_200_monthly,2,2024-01-01,2.0483256712236297,0.33247783479710835,22,6,-0.20083748728725703,2.1137107028767006,0.2936484187266337,19,9,-0.20517364501301813,-0.06538503165307086,0.03882941607047463
sp500_triple_ma10_50_200_monthly,3,2024-01-01,1.7071893489113814,0.2399570949088391,23,5,-0.11647003634797425,1.9119378277821109,0.284403648495521,19,9,-0.17804279644847046,-0.20474847887072944,-0.044446553586681925
sp500_triple_ma10_50_200_monthly,10,2024-01-01,1.115575459599254,0.22243152315544562,18,10,-0.06692099530110786,0.9818161925422425,0.3046523499541262,18,10,-0.14797855328702414,0.13375926705701147,-0.08222082679868059
