family,top_k,role,first_evaluation_year,evaluation_years,net_2bps,net_10bps,drawdown_2bps,recent12_net_2bps,recent12_drawdown_2bps,top5_symbol_positive_share_2bps,leave_top5_return_2bps,trade_sessions
qqq_single_ma150_weekly,1,walkforward,2022,5,1.731131902480247,1.6215319024802468,0.8742682492740976,1.304198231375734,0.195374734689492,0.7479643787862544,-0.4701572739215609,69
qqq_single_ma150_weekly,1,baseline_matched,2022,5,2.870708900616213,2.789708900616213,0.7325629671647093,1.370894698541299,0.20679700885727909,0.8686861691506352,-0.3329801248938069,52
qqq_single_ma150_weekly,2,walkforward,2022,5,1.5201521198571921,1.4401521198571927,0.7092206483375393,1.207692822983857,0.14442649339748168,0.6409464819525861,-0.3359816583517614,92
qqq_single_ma150_weekly,2,baseline_matched,2022,5,2.4336999364870153,2.347299936487015,0.5592968936484916,1.3976169050892895,0.13230183133295534,0.6522764243788435,0.23083394096122323,100
qqq_single_ma150_weekly,3,walkforward,2022,5,0.3580487388508972,0.23831540551756358,0.9266816101291234,0.9618037901060466,0.1443240962887032,0.5977041909339054,-0.7080399265790711,161
qqq_single_ma150_weekly,3,baseline_matched,2022,5,2.131655663440262,2.0492556634402628,0.4005766313378673,1.1628901748660547,0.12867836625674905,0.5742821473493641,0.5041850433470603,135
qqq_single_ma150_weekly,10,walkforward,2022,5,0.7159086530300858,0.6156407165221496,0.5807990046210079,0.9020763806322308,0.09248438249256777,0.41800701967255965,0.1921896648340199,219
qqq_single_ma150_weekly,10,baseline_matched,2022,5,0.8078466670495024,0.7306187305415659,0.5314348702815104,0.8917123538555104,0.10189216641671349,0.421054562434873,0.18145413892084683,211
qqq_dual_ma50_200_weekly,1,walkforward,2022,5,2.0410428006945143,1.8818428006945145,0.8276932497174156,1.5492664696716698,0.1829182683682276,0.673318038240624,-0.48251285698405777,100
qqq_dual_ma50_200_weekly,1,baseline_matched,2022,5,2.2802507919254658,2.199450791925466,0.6081961036121256,1.3996004808030298,0.2024511668098777,0.7109792780083741,0.05609127399732827,51
qqq_dual_ma50_200_weekly,2,walkforward,2022,5,1.6671711755465282,1.5815711755465287,0.6656320125595433,1.207692822983857,0.14442649339748168,0.6320867652068769,-0.23669356499744332,100
qqq_dual_ma50_200_weekly,2,baseline_matched,2022,5,2.3024186807926137,2.2184186807926136,0.5748914129789784,1.4392248978514832,0.12900958641240098,0.6516018378666754,0.1755558944302651,96
qqq_dual_ma50_200_weekly,3,walkforward,2022,5,0.9396499617724169,0.83858329510575,0.7153792058978596,1.0383856789434525,0.12804441103296185,0.6275025631837041,-0.46369908676296634,147
qqq_dual_ma50_200_weekly,3,baseline_matched,2022,5,2.2070375691551543,2.132637569155154,0.35851244619936373,1.1680982466792085,0.12821432915756512,0.5566076568612963,0.598972140963663,125
qqq_dual_ma50_200_weekly,10,walkforward,2022,5,1.0239458602657177,0.9497776062974641,0.4201985799153862,0.8734366739693442,0.09005260468704054,0.3667239259939895,0.46533713221588524,203
qqq_dual_ma50_200_weekly,10,baseline_matched,2022,5,1.2182242813656854,1.1552560273974313,0.2810444358497589,0.8728583654531868,0.11313230649041413,0.3462391475417462,0.594176876076206,203
qqq_triple_ma10_50_200_monthly,1,walkforward,2022,5,1.2565955304402463,1.1885955304402467,0.38748495594123833,0.13464276626555638,0.5081369039497893,0.6812069874392959,-0.05194696160211909,43
qqq_triple_ma10_50_200_monthly,1,baseline_matched,2022,5,2.3574904697919647,2.3086904697919644,0.8891747487836666,1.7816506982784377,0.142968749452651,0.8620658320427088,-0.4991556298556752,31
qqq_triple_ma10_50_200_monthly,2,walkforward,2022,5,0.8107126803979268,0.752312680397927,0.9021488514881372,0.6840340239574085,0.19531014370173178,0.5989292260923172,-0.1776985531363311,49
qqq_triple_ma10_50_200_monthly,2,baseline_matched,2022,5,1.47694198301595,1.4249419830159502,0.6996830840943477,1.0124264980900248,0.17626288254807726,0.7094934652053385,-0.25819104307272145,45
qqq_triple_ma10_50_200_monthly,3,walkforward,2022,5,1.077101668465744,1.0248350017990773,0.7352755588448087,1.0014989425357035,0.1105076346573073,0.5138300372599134,0.1506465255911611,49
qqq_triple_ma10_50_200_monthly,3,baseline_matched,2022,5,1.1140734308700528,1.0650067642033858,0.7955822598246076,0.9321102535070486,0.15930612107498138,0.6023814257868744,-0.13787272231349168,51
