family,panel,formation,skip,top_k,variant,eligible_cells,active_sessions,turnover,full_net_2bps,full_net_10bps,full_drawdown_2bps,top5_symbol_positive_share_2bps,leave_top5_return_2bps,common_net,common_drawdown,common_positive_months,common_negative_months,common_worst_month,train_net,train_drawdown,train_positive_months,train_negative_months,train_worst_month,validation_net,validation_drawdown,validation_positive_months,validation_negative_months,validation_worst_month,recent12_net,recent12_drawdown,recent12_positive_months,recent12_negative_months,recent12_worst_month,neighbor_cells,neighbor_train_min,neighbor_train_median,neighbor_validation_positive_fraction,neighbor_full_10bps_positive_fraction
qqq_dual_ma50_200_weekly,qqq,42,0,1,qqq_dual_ma50_200_weekly_top1_f42_s0,50039,1521,285.0,1.8337173822723254,1.6057173822723252,0.5051530733606039,0.6427441932137749,-0.5354823488045501,1.291402039067127,0.632087006492533,34,35,-0.28827937004941623,0.8036418942660851,0.4505785520741446,20,22,-0.20000482521373403,0.4877601448010424,1.0070885741935178,15,13,-0.28827937004941623,1.1606903235647006,0.33934121084276275,8,4,-0.2034952410540043,4,0.8036418942660851,1.0398203291744998,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,42,5,1,qqq_dual_ma50_200_weekly_top1_f42_s5,50039,1521,295.0,1.5552576392881994,1.3192576392881992,0.4386015117578095,0.5175346853183529,-0.26909730004064647,1.0228712730741578,0.5838980197484838,33,36,-0.338253247150427,0.8192460756118389,0.5838980197484838,21,21,-0.338253247150427,0.20362519746231877,0.8182677730949933,13,15,-0.28827937004941623,0.8622471265182232,0.24874880565096208,6,6,-0.08651374587717932,6,0.8036418942660851,0.9839346924664973,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,42,10,1,qqq_dual_ma50_200_weekly_top1_f42_s10,50039,1521,285.0,2.1308913892335544,1.9028913892335542,0.43748796466046597,0.44571909845825697,0.32397340481917913,1.6959745925013645,0.537722187070104,34,35,-0.28867937004941624,1.0166519649547028,0.537722187070104,19,23,-0.27581584589456215,0.6793226275466615,0.6276398360351936,16,12,-0.28867937004941624,0.4513323863711671,0.749480540984501,6,6,-0.2630344963004357,6,0.8192460756118389,1.1818725547012678,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,42,21,1,qqq_dual_ma50_200_weekly_top1_f42_s21,50039,1521,311.0,4.209043650899201,3.960243650899201,0.22823014272717387,0.5878984847237767,0.48863827786813685,3.0713833939259843,0.3779784205294851,40,29,-0.26055917082087915,2.3511136190360036,0.3779784205294851,25,17,-0.26055917082087915,0.7202697748899807,0.5097122773774205,16,12,-0.19033477946415894,0.5082983341263791,0.41419785023885675,7,5,-0.17191946531251576,6,0.7290861501171209,1.3113639252210312,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,42,42,1,qqq_dual_ma50_200_weekly_top1_f42_s42,50039,1521,301.0,4.06015250270331,3.8193525027033095,0.3383313057851915,0.6515639629965775,-0.052372016841544244,3.349173656112848,0.4585087787409338,42,27,-0.31880612562483224,1.6060758854873596,0.4585087787409338,25,17,-0.26977560379353127,1.743097770625488,0.5197860002831672,18,10,-0.31880612562483224,1.5492664696716698,0.1829182683682276,9,3,-0.1355025315721884,4,0.7290861501171209,1.86930780402022,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,63,0,1,qqq_dual_ma50_200_weekly_top1_f63_s0,50039,1521,229.0,3.1702676529140525,2.9870676529140523,0.3504084533784338,0.5572152648457095,0.34362949792402464,2.0733097408846533,0.6335014239354717,37,32,-0.2751576355060954,1.260394582737161,0.6335014239354717,24,18,-0.22882775412260198,0.812915158147492,0.5165519552400774,13,15,-0.2751576355060954,0.6943681671949093,0.3965230139701588,5,7,-0.13472320166168153,6,0.8036418942660851,1.078129891005185,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,63,5,1,qqq_dual_ma50_200_weekly_top1_f63_s5,50039,1521,247.0,2.928617253825709,2.731017253825709,0.4532203850147444,0.6227293328760569,0.009697037281051646,2.002636120038038,0.7558683726641475,37,32,-0.26908084095307067,1.3470931444478327,0.7558683726641475,23,19,-0.26908084095307067,0.655542975590205,0.788039306177538,14,14,-0.21195015264381384,1.107129470259645,0.19822781500121592,7,5,-0.10998193353618435,9,0.8036418942660851,1.0166519649547028,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,63,10,1,qqq_dual_ma50_200_weekly_top1_f63_s10,50039,1521,247.0,2.945529814730463,2.7479298147304636,0.4424503421937489,0.6418651934804142,0.3865055868391565,1.7421609394889557,0.8841830272712129,34,35,-0.4444471347062122,0.9512174199782919,0.8841830272712129,20,22,-0.4444471347062122,0.7909435195106631,0.5453768394801524,15,13,-0.2057410386358379,0.842309339938173,0.35363761171228936,7,5,-0.10998193353618435,9,0.8175948768021329,1.0251545209170696,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,63,21,1,qqq_dual_ma50_200_weekly_top1_f63_s21,50039,1521,259.0,3.9760469478476583,3.7688469478476585,0.2846176550003881,0.5834177891498865,0.7989952430392506,3.0831272250213444,0.390687859458605,36,33,-0.28492270131408387,2.1325397225530804,0.390687859458605,23,19,-0.2714259828406983,0.9505875024682637,0.5491158188055852,13,15,-0.28492270131408387,1.1192230076918421,0.21719481663355142,7,5,-0.19164642189017894,9,0.34920778083704174,1.0166519649547028,1.0,1.0
qqq_dual_ma50_200_weekly,qqq,63,42,1,qqq_dual_ma50_200_weekly_top1_f63_s42,50039,1521,211.0,4.4796346891813155,4.310834689181315,0.3817166550143155,0.6004802372013679,0.9576027721818354,3.782154938796814,0.5549354305698784,42,27,-0.37859449560028663,0.7290861501171209,0.5549354305698784,23,19,-0.37859449560028663,3.053068788679693,0.43075752684925767,20,8,-0.35122303567927077,2.188712350186106,0.16082710869278383,9,3,-0.08237050139411449,6,0.34920778083704174,1.3919106918951967,1.0,1.0
