decision_date,entry_date,exit_date,symbol,weight,signal,entry_price,exit_price,gross_return_contribution,net_return_contribution,regime
2019-03-21,2019-03-22,2019-04-05,SOXL,0.5,0.201371644791297,10.01,10.79,0.038961038961038974,0.038461038961038974,bull
2019-03-21,2019-03-22,2019-04-05,TQQQ,0.5,0.10491997628927097,7.359,7.633,0.01861665987226524,0.01811665987226524,bull
2019-04-04,2019-04-05,2019-04-22,SOXL,0.5,0.2080766598220396,10.79,12.43,0.07599629286376275,0.07549629286376275,bull
2019-04-04,2019-04-05,2019-04-22,TQQQ,0.5,0.0915391279237654,7.633,7.894,0.017096816454867048,0.016596816454867047,bull
2019-04-18,2019-04-22,2019-05-06,SOXL,0.5,0.1697588126159555,12.43,11.61,-0.0329847144006436,-0.0334847144006436,bull
2019-04-18,2019-04-22,2019-05-06,TQQQ,0.5,0.036427275084262245,7.894,7.914,0.001266784899923934,0.0007667848999239339,bull
2019-05-03,2019-05-06,2019-05-20,SOXL,0.5,0.04541768045417682,11.61,8.224,-0.1458225667527993,-0.1463225667527993,bull
2019-05-03,2019-05-06,2019-05-20,TQQQ,0.5,0.0042806183115338126,7.914,7.048,-0.05471316654030828,-0.05521316654030828,bull
2019-05-30,2019-05-31,2019-06-14,SQQQ,0.5,0.07421479229989858,27450.0,23893.75,-0.06477686703096541,-0.06527686703096541,bear
2019-05-30,2019-05-31,2019-06-14,SOXS,0.5,0.06791907514450868,18384000.0,15888000.0,-0.06788511749347259,-0.06838511749347259,bear
2019-06-17,2019-06-18,2019-07-02,TQQQ,1.0,0.007831821929101368,7.591,8.02,0.05651429324199708,0.05551429324199708,bull
2019-07-01,2019-07-02,2019-07-17,SOXL,0.5,0.18580144204104254,10.56,10.9,0.016098484848484862,0.015598484848484861,bull
2019-07-01,2019-07-02,2019-07-17,TQQQ,0.5,0.014274886306215206,8.02,8.515,0.030860349127182163,0.030360349127182162,bull
2019-07-16,2019-07-17,2019-07-31,SOXL,0.5,0.0766589233410766,10.9,12.5,0.07339449541284404,0.07289449541284404,bull
2019-07-16,2019-07-17,2019-07-31,TQQQ,0.5,0.037926829268292606,8.515,8.629,0.006694069289489124,0.006194069289489124,bull
2019-07-30,2019-07-31,2019-08-14,SOXL,1.0,0.03585982070089666,12.5,9.467,-0.24263999999999997,-0.24363999999999997,bull
