variant,return,maximum_drawdown,positive_months,negative_months,worst_month,positive_weeks,negative_weeks,worst_week,median_eligible_names,zero_candidate_signal_weeks,entries,initially_waited_slots,slots_never_entered_that_week
baseline,2.242113204755375,0.4078072978745625,9,3,-0.30006413275003807,34,18,-0.1358798330273746,,,,,
price_le_1x_sma200,-0.09908017405357405,0.28815567320304236,5,7,-0.12009131379539217,18,32,-0.13540746533712067,4.0,5.0,,,
price_le_0.9x_sma200,0.4727682415291272,0.24311398214841606,6,4,-0.22375061583069,11,18,-0.10002190126594024,0.0,32.0,,,
price_le_0.8x_sma200,-0.12359663920037378,0.24311398214841629,2,1,-0.22375061583069022,2,5,-0.10002190126594046,0.0,48.0,,,
wait_until_nonnegative_open,2.0606216955933796,0.3908533454443903,9,3,-0.2901209701714663,33,19,-0.13589370721157767,,,523.0,252.0,14.0
