sample,rule,SPY_SMA_window,net_simple_return,maximum_drawdown,active_fraction,positive_months,negative_months,inactive_months,monthly_average,worst_month,best_month
full_history,equal,100,0.7558644046462942,0.1018434345079936,0.7402390438247012,33,21,6,0.01259774007743824,-0.05181302741941282,0.14119674038387256
full_history,causal_inverse_vol,100,0.5500406593729761,0.08654201357623179,0.7402390438247012,33,21,6,0.009167344322882935,-0.04305184685618221,0.08531226550694077
quote_0940_2bps_extra,equal,100,0.46745363743300256,0.05618748841976828,0.8605577689243028,10,2,0,0.03895446978608354,-0.026961312384423404,0.14069511169869794
quote_0940_2bps_extra,causal_inverse_vol,100,0.3416082792210342,0.043077694603512656,0.8605577689243028,11,1,0,0.028467356601752845,-0.022893966925052665,0.08600669833669718
full_history,equal,150,0.7899942527366436,0.10398216616656485,0.7641434262948207,32,22,6,0.013166570878944057,-0.044126170959390074,0.14119674038387256
full_history,causal_inverse_vol,150,0.5606551126728854,0.11281855473698173,0.7641434262948207,32,22,6,0.009344251877881422,-0.0421365466463724,0.08531226550694077
quote_0940_2bps_extra,equal,150,0.4945341378478443,0.05631588561112298,0.8884462151394422,10,2,0,0.04121117815398702,-0.014307224046899132,0.14069511169869794
quote_0940_2bps_extra,causal_inverse_vol,150,0.36265325382434976,0.04317971953276198,0.8884462151394422,11,1,0,0.03022110448536248,-0.010194464374831281,0.08600669833669718
full_history,equal,200,0.7952647619738048,0.10429343339865774,0.7633466135458168,31,21,8,0.013254412699563416,-0.044126170959390074,0.14119674038387256
full_history,causal_inverse_vol,200,0.5623084454279087,0.1074313817633035,0.7633466135458168,30,22,8,0.009371807423798477,-0.0672559586032236,0.08531226550694077
quote_0940_2bps_extra,equal,200,0.5094169616724233,0.05618748841976828,0.9123505976095617,11,1,0,0.04245141347270195,-0.014307224046899132,0.14069511169869794
quote_0940_2bps_extra,causal_inverse_vol,200,0.37185050189954233,0.043077694603512656,0.9123505976095617,11,1,0,0.030987541824961856,-0.003840959450068336,0.08600669833669718
