account_notional,participation,execution,trades,net_return,recent12_return,mean_target_sleeve_utilization,median_target_sleeve_utilization,full_target_fraction,later_exit_depth_support_fraction,green_active_days,positive_month_fraction,block_returns,max_drawdown,recovery_sessions,worst_day,top10_absolute_trade_share
2000,0.05,primary_250ms_2bp,314,0.4795775524895059,0.006954661067786227,0.6486055732484076,0.69615,0.43630573248407645,0.732484076433121,0.5897435897435898,0.27710843373493976,"[0.11075197460508125, 0.06056316036792753, 0.3082624175164971]",0.05634463747345386,471,-0.04694381623675242,0.19673558006707242
2000,0.05,stress_1000ms_5bp,314,0.42310066315549216,0.002046156965654843,0.6486055732484076,0.69615,0.43630573248407645,0.732484076433121,0.5641025641025641,0.26506024096385544,"[0.08884866600834504, 0.04755300173077651, 0.2866989954163706]",0.05890814441896146,473,-0.04688337129660151,0.19573988163550385
2000,0.1,primary_250ms_2bp,314,0.5967509018196409,0.008754941011797407,0.8100346178343949,0.967435,0.6178343949044586,0.8184713375796179,0.6068376068376068,0.2891566265060241,"[0.1618933573285372, 0.12890239852029722, 0.30595514597080636]",0.05375554630852449,75,-0.04755706858628251,0.1789591906188759
2000,0.1,stress_1000ms_5bp,314,0.5239243359311957,0.0038479974899392772,0.8100346178343949,0.967435,0.6178343949044586,0.8184713375796179,0.5641025641025641,0.27710843373493976,"[0.132091029692415, 0.11039793051984013, 0.2814353757189405]",0.05726672941449693,471,-0.04815341127661148,0.17806099407627393
2000,0.25,primary_250ms_2bp,314,0.6190672855428969,0.008754941011797407,0.9528354777070064,0.97955,0.8885350318471338,0.9394904458598726,0.5897435897435898,0.27710843373493976,"[0.1730800000000033, 0.17999972505499043, 0.26598756048790323]",0.054201127215156804,42,-0.047714762047590245,0.16664050523941765
2000,0.25,stress_1000ms_5bp,314,0.5292611151149091,0.0038479974899392772,0.9528354777070064,0.97955,0.8885350318471338,0.9394904458598726,0.5641025641025641,0.26506024096385544,"[0.13251959114260276, 0.1570068267512023, 0.23973469722110405]",0.05840482687142364,75,-0.0484799929857569,0.16654662152235672
10000,0.05,primary_250ms_2bp,314,0.2283154473105392,0.0026514455108976338,0.3225024968152866,0.13923000000000002,0.15605095541401273,0.6464968152866242,0.5982905982905983,0.2891566265060241,"[0.023287644271146456, 0.011750683863227897, 0.19327711917616486]",0.04795279452131964,616,-0.03724155548890211,0.2785714550603951
10000,0.05,stress_1000ms_5bp,314,0.20021339149730474,-0.002159193331585922,0.3225024968152866,0.13923000000000002,0.15605095541401273,0.6464968152866242,0.5641025641025641,0.26506024096385544,"[0.013927282117244297, 0.005997231106927316, 0.18028887827313317]",0.048813811566715035,616,-0.03655092461616698,0.2780332039020189
10000,0.1,primary_250ms_2bp,314,0.27185879484103403,0.004238288942211366,0.4477040700636943,0.27846000000000004,0.24203821656050956,0.6656050955414012,0.5811965811965812,0.25301204819277107,"[0.032401958808239574, 0.007982355928815021, 0.23147448010397942]",0.0575604318299345,616,-0.04132619456108763,0.22431791294550835
10000,0.1,stress_1000ms_5bp,314,0.23337186438567742,-0.0007774610094464507,0.4477040700636943,0.27846000000000004,0.24203821656050956,0.6656050955414012,0.5470085470085471,0.25301204819277107,"[0.019024166693779987, -0.00027544300345753656, 0.21462314069535499]",0.05915401974048619,616,-0.04075109567005132,0.22388197601051396
10000,0.25,primary_250ms_2bp,314,0.4773901671665705,0.00747879284143149,0.6555510063694268,0.69615,0.4267515923566879,0.7261146496815286,0.5897435897435898,0.27710843373493976,"[0.10617720895821064, 0.060949726854630196, 0.31026323135372963]",0.057225921401189615,471,-0.047477392121575465,0.1969351887174974
10000,0.25,stress_1000ms_5bp,314,0.42027057452164907,0.0024658519342655276,0.6555510063694268,0.69615,0.4267515923566879,0.7261146496815286,0.5555555555555556,0.26506024096385544,"[0.08394498484573329, 0.047822236652968156, 0.2885033530229476]",0.05985368934374202,473,-0.04740222908809118,0.19593327005784453
25000,0.05,primary_250ms_2bp,314,0.1395356456708665,0.00550896964607059,0.18714296050955415,0.055692,0.07006369426751592,0.6369426751592356,0.5982905982905983,0.2891566265060241,"[0.01731619108178402, 0.008555949930014312, 0.11366350465906812]",0.02448186648907207,616,-0.019614409518096322,0.3467740808226305
25000,0.05,stress_1000ms_5bp,314,0.12279026681849425,0.0010859186401052517,0.18714296050955415,0.055692,0.07006369426751592,0.6369426751592356,0.5641025641025641,0.27710843373493976,"[0.011970275528748842, 0.005129293053897593, 0.10569069823584781]",0.025139895325645863,9,-0.019272146640425546,0.34633710084907704
25000,0.1,primary_250ms_2bp,314,0.21154919240152087,0.00226219316136754,0.28675427770700634,0.111384,0.12738853503184713,0.6464968152866242,0.5982905982905983,0.2891566265060241,"[0.01846437112577545, 0.010665608958208811, 0.18241921231753658]",0.04452307190589618,616,-0.035350903739252044,0.3017755647367507
25000,0.1,stress_1000ms_5bp,314,0.18649514009144857,-0.002454565449586131,0.28675427770700634,0.111384,0.12738853503184713,0.6464968152866242,0.5641025641025641,0.27710843373493976,"[0.009960791111994095, 0.0056503609561781645, 0.1708839880232763]",0.04517168963474902,616,-0.034688783357580334,0.3012510423029097
25000,0.25,primary_250ms_2bp,314,0.2718403420115999,0.004318407918416124,0.4480329885350318,0.27846000000000004,0.24203821656050956,0.6656050955414012,0.5811965811965812,0.25301204819277107,"[0.032435768686263966, 0.0077196754249158235, 0.23168489790042007]",0.0576388086230134,616,-0.04137656244751034,0.2243598723128422
25000,0.25,stress_1000ms_5bp,314,0.2333312061560002,-0.000706298260748122,0.4480329885350318,0.27846000000000004,0.24203821656050956,0.6656050955414012,0.5470085470085471,0.25301204819277107,"[0.019053072229725472, -0.0005490329461896488, 0.2148271668724644]",0.05923917024088475,616,-0.04080056703670329,0.22393056093952501
50000,0.05,primary_250ms_2bp,314,0.09753694601079807,0.009910441511697454,0.12282624840764331,0.027846,0.054140127388535034,0.6305732484076433,0.6068376068376068,0.2891566265060241,"[0.022169980283943375, 0.006595806518696512, 0.06877115920815817]",0.02074521445842979,59,-0.018073355008998242,0.39615091018706783
50000,0.05,stress_1000ms_5bp,314,0.08574173685871395,0.005687631612636142,0.12282624840764331,0.027846,0.054140127388535034,0.6305732484076433,0.5641025641025641,0.27710843373493976,"[0.018973871523301898, 0.00418626050756649, 0.06258160482784556]",0.021756805333506914,9,-0.017810814925330706,0.3955246324847615
50000,0.1,primary_250ms_2bp,314,0.13957341951609742,0.0055429560087980456,0.1871877133757962,0.055692,0.07006369426751592,0.6369426751592356,0.5982905982905983,0.2891566265060241,"[0.01731619108178402, 0.008557614277144887, 0.1136996141571685]",0.02448186648907207,616,-0.019614409518096322,0.3468118011376404
50000,0.1,stress_1000ms_5bp,314,0.12282319251879315,0.0011155752749368725,0.1871877133757962,0.055692,0.07006369426751592,0.6369426751592356,0.5641025641025641,0.27710843373493976,"[0.011970275528748842, 0.005130554223312886, 0.10572236276673141]",0.025158234531587848,9,-0.019272146640425546,0.34637886017432473
50000,0.25,primary_250ms_2bp,314,0.22834813413317473,0.0027616967806436844,0.32284160254777067,0.13923000000000002,0.15605095541401273,0.6464968152866242,0.5982905982905983,0.2891566265060241,"[0.02327575952809508, 0.011573518256349285, 0.19349885634873032]",0.048076437898556694,616,-0.037306714057188446,0.2785934173863902
