account_notional,participation,execution,period_type,period,net_return
2000,0.05,primary_250ms_2bp,weekly,2020-10-31/2020-11-06,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-11-07/2020-11-13,0.006023533293341383
2000,0.05,primary_250ms_2bp,weekly,2020-11-14/2020-11-20,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-11-21/2020-11-27,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-11-28/2020-12-04,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-12-05/2020-12-11,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-12-12/2020-12-18,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-12-19/2020-12-25,0.0
2000,0.05,primary_250ms_2bp,weekly,2020-12-26/2021-01-01,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-01-02/2021-01-08,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-01-09/2021-01-15,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-01-16/2021-01-22,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-01-23/2021-01-29,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-01-30/2021-02-05,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-02-06/2021-02-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-02-13/2021-02-19,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-02-20/2021-02-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-02-27/2021-03-05,0.0399070795840832
2000,0.05,primary_250ms_2bp,weekly,2021-03-06/2021-03-12,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-03-13/2021-03-19,-0.007965320935812838
2000,0.05,primary_250ms_2bp,weekly,2021-03-20/2021-03-26,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-03-27/2021-04-02,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-04-03/2021-04-09,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-04-10/2021-04-16,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-04-17/2021-04-23,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-04-24/2021-04-30,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-05-01/2021-05-07,0.0
2000,0.05,primary_250ms_2bp,weekly,2021-05-08/2021-05-14,0.0
