absolute,relative,hold,candidate_events,net,max_dd,recovery,positive_fraction,net_ex_20250407,18m_avg_month,18m_negative_months,18m_events,15m_avg_month,15m_negative_months,15m_events,12m_avg_month,12m_negative_months,12m_events
0.04,10.0,60,67,0.02010303363567388,0.04845493624200592,221,0.4,0.03453711634452769,0.0011168352019818822,9,40,0.002866251553431178,7,36,-0.00017897470090619434,6,31
0.06,10.0,60,6,-0.021064019017283712,0.04318281185675951,78,0.5,-0.021064019017283712,-0.001170223278737984,2,6,-0.0014042679344855808,2,6,-0.0019461696246243865,2,5
0.05,10.0,60,11,-0.025362795794611637,0.043365016351197994,303,0.4444444444444444,-0.010928713085757817,-0.0014090442108117577,3,9,-0.0016908530529741092,3,9,-0.0011015607969972283,2,7
0.08,10.0,60,4,-0.04931110889291124,0.05148322793080722,113,0.25,-0.04931110889291124,-0.00273950604960618,3,4,-0.0032874072595274156,3,4,-0.00430009378092668,3,3
0.06,10.0,30,6,-0.0700693629320348,0.0700693629320348,433,0.16666666666666666,-0.0700693629320348,-0.003892742385113045,3,6,-0.0046712908621356535,3,6,-0.0036126707873595045,2,5
0.05,10.0,30,11,-0.07710665431343033,0.07710665431343033,433,0.2222222222222222,-0.07244220801867585,-0.004283703017412797,4,9,-0.005140443620895356,4,9,-0.0038104078779129242,2,7
0.08,10.0,30,4,-0.08406087479834812,0.08406087479834812,433,0.0,-0.08406087479834812,-0.0046700485999082286,4,4,-0.0056040583198898744,4,4,-0.00477863010955228,3,3
0.04,10.0,30,67,-0.12137305777703608,0.132086243569542,220,0.35,-0.11670861148228161,-0.006742947654279782,11,40,-0.007058578460263392,10,36,-0.01006217708761475,9,31
0.08,8.0,30,23,-0.0896755770711436,0.15100434409403454,433,0.42857142857142855,-0.10711341793256157,-0.004981976503952422,8,14,-0.010242912427370092,8,13,-0.004842941312614831,6,8
0.04,8.0,60,301,-0.21605211537847394,0.33168732764509884,520,0.46715328467153283,-0.22224669793392263,-0.0120028952988041,13,137,-0.01048260342518236,11,117,-0.01224844375056852,9,93
0.05,8.0,60,130,-0.20054326085698193,0.34992952864022064,399,0.5245901639344263,-0.21238747844892703,-0.011141292269832329,11,61,-0.011287173363481914,9,55,-0.014856457911695911,7,40
0.06,8.0,30,73,-0.22705881332350425,0.28481935526854385,507,0.32558139534883723,-0.24449665418492222,-0.012614378517972459,11,43,-0.015192326456168633,9,39,-0.011831490935269959,7,27
0.08,8.0,60,23,-0.15790469984835442,0.24740988547023043,386,0.5,-0.16974891744029952,-0.008772483324908579,6,14,-0.015789257894218315,6,13,-0.008120019628024333,5,8
0.05,8.0,30,130,-0.24807593679216194,0.3264113922489512,433,0.390625,-0.2655137776535799,-0.013781996488453442,10,64,-0.016596710923691256,8,58,-0.01437793831488225,6,43
0.06,8.0,60,73,-0.346507268785726,0.4038327067087186,507,0.46511627906976744,-0.3583514863776711,-0.019250403821429223,13,43,-0.02163766750423893,11,39,-0.018982512207328255,9,27
0.04,8.0,30,301,-0.47477833645014483,0.5014305929245447,520,0.3945578231292517,-0.4875884400852853,-0.026376574247230264,14,147,-0.02749002468519187,12,127,-0.023626891998349598,9,99
