variant,block,net_pnl,signal_days
tail05_all_0931_none_c5,block_1,0.14356091421629855,59
tail05_all_0931_none_c5,block_2,0.24974531055821245,67
tail05_all_0931_none_c5,block_3,0.27822726305591977,77
tail05_all_0931_none_c10,block_1,0.08556091421629852,59
tail05_all_0931_none_c10,block_2,0.18274531055821241,67
tail05_all_0931_none_c10,block_3,0.20122726305591973,77
tail05_all_0931_none_c20,block_1,-0.030439085783701483,59
tail05_all_0931_none_c20,block_2,0.04874531055821245,67
tail05_all_0931_none_c20,block_3,0.04722726305591972,77
tail05_all_0931_stop1_c5,block_1,-0.17851912538751438,59
tail05_all_0931_stop1_c5,block_2,0.11911167515295953,67
tail05_all_0931_stop1_c5,block_3,-0.1328397436783477,77
tail05_all_0931_stop1_c10,block_1,-0.23651912538751432,59
tail05_all_0931_stop1_c10,block_2,0.052111675152959586,67
tail05_all_0931_stop1_c10,block_3,-0.20983974367834768,77
tail05_all_0931_stop1_c20,block_1,-0.3525191253875144,59
tail05_all_0931_stop1_c20,block_2,-0.08188832484704045,67
tail05_all_0931_stop1_c20,block_3,-0.36383974367834776,77
tail05_all_0931_stop2_c5,block_1,-0.23624380933862177,59
tail05_all_0931_stop2_c5,block_2,0.16071736795719546,67
tail05_all_0931_stop2_c5,block_3,0.010580045886077902,77
tail05_all_0931_stop2_c10,block_1,-0.29424380933862176,59
tail05_all_0931_stop2_c10,block_2,0.0937173679571954,67
tail05_all_0931_stop2_c10,block_3,-0.06641995411392215,77
tail05_all_0931_stop2_c20,block_1,-0.4102438093386218,59
tail05_all_0931_stop2_c20,block_2,-0.04028263204280452,67
tail05_all_0931_stop2_c20,block_3,-0.22041995411392218,77
tail05_all_0931_stop3_c5,block_1,0.009829840019727067,59
tail05_all_0931_stop3_c5,block_2,0.29187669967183727,67
tail05_all_0931_stop3_c5,block_3,0.140071431057206,77
tail05_all_0931_stop3_c10,block_1,-0.048170159980272964,59
tail05_all_0931_stop3_c10,block_2,0.2248766996718372,67
tail05_all_0931_stop3_c10,block_3,0.06307143105720593,77
tail05_all_0931_stop3_c20,block_1,-0.16417015998027298,59
tail05_all_0931_stop3_c20,block_2,0.0908766996718372,67
tail05_all_0931_stop3_c20,block_3,-0.09092856894279414,77
tail05_all_0931_auction_failure_c5,block_1,-0.13392767058981736,59
tail05_all_0931_auction_failure_c5,block_2,0.15710347231883945,67
tail05_all_0931_auction_failure_c5,block_3,-0.152264849020627,77
tail05_all_0931_auction_failure_c10,block_1,-0.19192767058981738,59
tail05_all_0931_auction_failure_c10,block_2,0.09010347231883944,67
tail05_all_0931_auction_failure_c10,block_3,-0.22926484902062705,77
tail05_all_0931_auction_failure_c20,block_1,-0.3079276705898174,59
tail05_all_0931_auction_failure_c20,block_2,-0.043896527681160535,67
tail05_all_0931_auction_failure_c20,block_3,-0.38326484902062713,77
tail05_all_0932_none_c5,block_1,0.17267223494682596,59
tail05_all_0932_none_c5,block_2,0.12036291747455533,67
tail05_all_0932_none_c5,block_3,0.30751272625228493,77
tail05_all_0932_none_c10,block_1,0.11467223494682591,59
tail05_all_0932_none_c10,block_2,0.054362917474555295,67
tail05_all_0932_none_c10,block_3,0.23151272625228492,77
tail05_all_0932_none_c20,block_1,-0.001327765053174064,59
tail05_all_0932_none_c20,block_2,-0.07763708252544471,67
tail05_all_0932_none_c20,block_3,0.07951272625228491,77
tail05_all_0932_stop1_c5,block_1,-0.08405743146559275,59
tail05_all_0932_stop1_c5,block_2,-0.006865367595458221,67
tail05_all_0932_stop1_c5,block_3,-0.11004986304675449,77
tail05_all_0932_stop1_c10,block_1,-0.14205743146559272,59
tail05_all_0932_stop1_c10,block_2,-0.0728653675954582,67
tail05_all_0932_stop1_c10,block_3,-0.18604986304675447,77
tail05_all_0932_stop1_c20,block_1,-0.25805743146559273,59
tail05_all_0932_stop1_c20,block_2,-0.2048653675954582,67
tail05_all_0932_stop1_c20,block_3,-0.33804986304675444,77
tail05_all_0932_stop2_c5,block_1,-0.12090162293656853,59
tail05_all_0932_stop2_c5,block_2,0.04753367230756152,67
tail05_all_0932_stop2_c5,block_3,0.08381894547854424,77
tail05_all_0932_stop2_c10,block_1,-0.17890162293656856,59
tail05_all_0932_stop2_c10,block_2,-0.018466327692438514,67
tail05_all_0932_stop2_c10,block_3,0.007818945478544184,77
tail05_all_0932_stop2_c20,block_1,-0.2949016229365685,59
tail05_all_0932_stop2_c20,block_2,-0.1504663276924385,67
tail05_all_0932_stop2_c20,block_3,-0.14418105452145585,77
tail05_all_0932_stop3_c5,block_1,-0.06721323611967525,59
tail05_all_0932_stop3_c5,block_2,0.0664374450118849,67
tail05_all_0932_stop3_c5,block_3,0.15392664319686178,77
tail05_all_0932_stop3_c10,block_1,-0.12521323611967528,59
tail05_all_0932_stop3_c10,block_2,0.00043744501188486447,67
tail05_all_0932_stop3_c10,block_3,0.07792664319686173,77
tail05_all_0932_stop3_c20,block_1,-0.24121323611967532,59
tail05_all_0932_stop3_c20,block_2,-0.13156255498811517,67
tail05_all_0932_stop3_c20,block_3,-0.07407335680313831,77
tail05_all_0932_auction_failure_c5,block_1,-0.11450913045148228,59
tail05_all_0932_auction_failure_c5,block_2,0.03254558750674848,67
tail05_all_0932_auction_failure_c5,block_3,-0.100956955632993,77
tail05_all_0932_auction_failure_c10,block_1,-0.1725091304514823,59
tail05_all_0932_auction_failure_c10,block_2,-0.03345441249325154,67
tail05_all_0932_auction_failure_c10,block_3,-0.17695695563299302,77
tail05_all_0932_auction_failure_c20,block_1,-0.2885091304514823,59
tail05_all_0932_auction_failure_c20,block_2,-0.16545441249325155,67
tail05_all_0932_auction_failure_c20,block_3,-0.32895695563299304,77
tail05_all_0933_none_c5,block_1,0.17395849580392583,59
tail05_all_0933_none_c5,block_2,0.11567003210671031,67
tail05_all_0933_none_c5,block_3,0.34285929536746645,77
tail05_all_0933_none_c10,block_1,0.11795849580392581,59
tail05_all_0933_none_c10,block_2,0.051670032106710284,67
tail05_all_0933_none_c10,block_3,0.2658592953674664,77
tail05_all_0933_none_c20,block_1,0.005958495803925785,59
tail05_all_0933_none_c20,block_2,-0.0763299678932897,67
tail05_all_0933_none_c20,block_3,0.11185929536746637,77
tail05_all_0933_stop1_c5,block_1,-0.17389132882069164,59
tail05_all_0933_stop1_c5,block_2,0.18923212462135558,67
tail05_all_0933_stop1_c5,block_3,-0.10544328767805622,77
tail05_all_0933_stop1_c10,block_1,-0.22989132882069158,59
tail05_all_0933_stop1_c10,block_2,0.12523212462135558,67
tail05_all_0933_stop1_c10,block_3,-0.18244328767805623,77
tail05_all_0933_stop1_c20,block_1,-0.3418913288206917,59
tail05_all_0933_stop1_c20,block_2,-0.0027678753786444417,67
tail05_all_0933_stop1_c20,block_3,-0.33644328767805626,77
tail05_all_0933_stop2_c5,block_1,-0.14703735224809672,59
tail05_all_0933_stop2_c5,block_2,0.16873638661374543,67
tail05_all_0933_stop2_c5,block_3,-0.09587839474132773,77
tail05_all_0933_stop2_c10,block_1,-0.20303735224809674,59
tail05_all_0933_stop2_c10,block_2,0.1047363866137454,67
tail05_all_0933_stop2_c10,block_3,-0.17287839474132782,77
tail05_all_0933_stop2_c20,block_1,-0.3150373522480967,59
tail05_all_0933_stop2_c20,block_2,-0.023263613386254565,67
tail05_all_0933_stop2_c20,block_3,-0.32687839474132774,77
tail05_all_0933_stop3_c5,block_1,0.035097316696791836,59
tail05_all_0933_stop3_c5,block_2,0.18002751379114532,67
tail05_all_0933_stop3_c5,block_3,0.23768850384654938,77
tail05_all_0933_stop3_c10,block_1,-0.020902683303208158,59
tail05_all_0933_stop3_c10,block_2,0.11602751379114529,67
tail05_all_0933_stop3_c10,block_3,0.1606885038465493,77
tail05_all_0933_stop3_c20,block_1,-0.13290268330320817,59
tail05_all_0933_stop3_c20,block_2,-0.011972486208854709,67
tail05_all_0933_stop3_c20,block_3,0.0066885038465492805,77
tail05_all_0933_auction_failure_c5,block_1,-0.06979719467381422,59
tail05_all_0933_auction_failure_c5,block_2,0.02028246451408472,67
tail05_all_0933_auction_failure_c5,block_3,-0.0278645936991751,77
tail05_all_0933_auction_failure_c10,block_1,-0.12579719467381423,59
tail05_all_0933_auction_failure_c10,block_2,-0.0437175354859153,67
tail05_all_0933_auction_failure_c10,block_3,-0.10486459369917514,77
tail05_all_0933_auction_failure_c20,block_1,-0.23779719467381422,59
tail05_all_0933_auction_failure_c20,block_2,-0.17171753548591528,67
tail05_all_0933_auction_failure_c20,block_3,-0.25886459369917514,77
tail05_all_0935_none_c5,block_1,0.14948681451566934,59
tail05_all_0935_none_c5,block_2,0.13944959495326403,67
tail05_all_0935_none_c5,block_3,0.3780792833058634,77
tail05_all_0935_none_c10,block_1,0.09248681451566931,59
tail05_all_0935_none_c10,block_2,0.073449594953264,67
tail05_all_0935_none_c10,block_3,0.3010792833058633,77
tail05_all_0935_none_c20,block_1,-0.02151318548433067,59
tail05_all_0935_none_c20,block_2,-0.05855040504673602,67
tail05_all_0935_none_c20,block_3,0.1470792833058633,77
tail05_all_0935_stop1_c5,block_1,-0.06923791598767884,59
tail05_all_0935_stop1_c5,block_2,0.05052085253693139,67
tail05_all_0935_stop1_c5,block_3,-0.18828043150076526,77
tail05_all_0935_stop1_c10,block_1,-0.1262379159876788,59
tail05_all_0935_stop1_c10,block_2,-0.015479147463068594,67
tail05_all_0935_stop1_c10,block_3,-0.2652804315007652,77
tail05_all_0935_stop1_c20,block_1,-0.24023791598767885,59
tail05_all_0935_stop1_c20,block_2,-0.14747914746306864,67
tail05_all_0935_stop1_c20,block_3,-0.41928043150076527,77
tail05_all_0935_stop2_c5,block_1,-0.07481538537111979,59
tail05_all_0935_stop2_c5,block_2,0.1572505939929491,67
tail05_all_0935_stop2_c5,block_3,0.005815079963095687,77
tail05_all_0935_stop2_c10,block_1,-0.1318153853711198,59
tail05_all_0935_stop2_c10,block_2,0.09125059399294906,67
tail05_all_0935_stop2_c10,block_3,-0.07118492003690435,77
tail05_all_0935_stop2_c20,block_1,-0.2458153853711198,59
tail05_all_0935_stop2_c20,block_2,-0.04074940600705094,67
tail05_all_0935_stop2_c20,block_3,-0.22518492003690438,77
tail05_all_0935_stop3_c5,block_1,-0.08300330675096387,59
