variant,selector,gap_tail,auction_anomaly_minimum,entry_minute,risk_rule,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,causal_selected_events,valid_events_recent,symbol_count_recent,signal_days_recent,post_signal_invalid_days,median_events_per_valid_day,mean_observed_path_minute_ratio,stop_or_failure_rate,top_5_day_profit_share,top_10_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
tail05_all_0931_none_c5,tail05_all,0.05,,09:31,none,5,0.6715334878304309,0.13827227368527661,28.0,False,329,328,97,203,1,1.0,0.9739755306840429,0.0,0.516572297089437,0.8809092870488642,0.13816060184325013,0.03730741599057949,9,0,0.05238790062957872,6,0,0.04399771446784436,5,0
tail05_all_0931_none_c10,tail05_all,0.05,,09:31,none,10,0.4695334878304307,0.16488068895169755,61.0,False,329,328,97,203,1,1.0,0.9739755306840429,0.0,0.7281601956887914,1.238591284897168,0.1885477247759613,0.02608519376835726,9,0,0.04065456729624539,6,0,0.03199771446784435,5,0
tail05_all_0931_none_c20,tail05_all,0.05,,09:31,none,20,0.06553348783043057,0.24284215132795875,,True,329,328,97,203,1,1.0,0.9739755306840429,0.0,5.064519032465276,8.569055372837651,1.2553570448468696,0.003640749323912818,11,0,0.017187900629578732,8,0,0.007997714467844351,7,0
tail05_all_0931_stop1_c5,tail05_all,0.05,,09:31,stop1,5,-0.19224719391290254,0.28462065041287227,,True,329,328,97,203,1,1.0,0.9739755306840429,0.600609756097561,,,,-0.010680399661827914,11,0,0.0003243913002212412,8,0,-0.0011440057104490098,6,0
tail05_all_0931_stop1_c10,tail05_all,0.05,,09:31,stop1,10,-0.3942471939129024,0.4536235534211192,,True,329,328,97,203,1,1.0,0.9739755306840429,0.600609756097561,,,,-0.021902621884050136,12,0,-0.011408942033112091,9,0,-0.013144005710449005,7,0
tail05_all_0931_stop1_c20,tail05_all,0.05,,09:31,stop1,20,-0.7982471939129026,0.8259509040638664,,True,329,328,97,203,1,1.0,0.9739755306840429,0.600609756097561,,,,-0.04434706632849458,14,0,-0.03487560869977876,11,0,-0.037144005710449006,9,0
tail05_all_0931_stop2_c5,tail05_all,0.05,,09:31,stop2,5,-0.06494639549534836,0.3305821048906787,,True,329,328,97,203,1,1.0,0.9739755306840429,0.3323170731707317,,,,-0.0036081330830749106,11,0,0.012088855043575151,8,0,0.014274784486939448,6,0
tail05_all_0931_stop2_c10,tail05_all,0.05,,09:31,stop2,10,-0.2669463954953485,0.38479352429477137,,True,329,328,97,203,1,1.0,0.9739755306840429,0.3323170731707317,,,,-0.014830355305297138,11,0,0.0003555217102418143,8,0,0.002274784486939446,6,0
tail05_all_0931_stop2_c20,tail05_all,0.05,,09:31,stop2,20,-0.6709463954953486,0.7478262246747015,,True,329,328,97,203,1,1.0,0.9739755306840429,0.3323170731707317,,,,-0.03727479974974157,12,0,-0.023111144956424846,9,0,-0.021725215513060555,7,0
tail05_all_0931_stop3_c5,tail05_all,0.05,,09:31,stop3,5,0.4417779707487703,0.245780266655653,73.0,False,329,328,97,203,1,1.0,0.9739755306840429,0.1676829268292683,0.7852261075695857,1.3390438753464908,0.20837789624128916,0.024543220597153907,9,0,0.03849666996977722,6,0,0.03599567756075361,4,0
tail05_all_0931_stop3_c10,tail05_all,0.05,,09:31,stop3,10,0.23977797074877016,0.27210108052801585,90.0,False,329,328,97,203,1,1.0,0.9739755306840429,0.1676829268292683,1.4258841015018506,2.4254108255986435,0.3662002972006756,0.01332099837493168,11,0,0.026763336636443886,8,0,0.023995677560753603,6,0
