variant,parent,family,allocation,breadth,market_state,cost_bps_per_side,full_net_simple_return,standard_max_drawdown,max_recovery_days,recovery_unresolved,parent_valid_events,eligible_events,allocated_events,active_days,symbol_count_recent,top_5_day_profit_share,top_10_day_profit_share,top_symbol_profit_share,average_month_18m,negative_months_18m,zero_months_18m,average_month_15m,negative_months_15m,zero_months_15m,average_month_12m,negative_months_12m,zero_months_12m
tail05_anomaly1_market_state_equal_all_trend_down_c5,tail05_anomaly1,market_state,equal,all,trend_down,5,0.3603021118167345,0.07733095750504478,25.0,False,232,87,87,59,57,0.8036180677641364,1.2341110513708056,0.21590130026040008,0.02001678398981858,4,3,0.029080526437809666,2,3,0.02057898978540131,1,3
tail05_anomaly1_market_state_top1_reclaim_all_trend_down_c5,tail05_anomaly1,market_state,top1_reclaim,all,trend_down,5,0.34029539792729935,0.08227230628466226,27.0,False,232,87,59,59,47,0.8707367542593146,1.412755342648348,0.22859461192131672,0.018905299884849965,4,3,0.030622115845985103,1,3,0.024007777503599642,0,3
tail05_anomaly1_market_state_equal_all_vol_high_c5,tail05_anomaly1,market_state,equal,all,vol_high,5,0.5503039910536479,0.07567215329664007,25.0,False,232,119,119,83,71,0.5873121368985488,0.8927376681965092,0.15809566593772315,0.03057244394742488,5,3,0.03727486416379386,3,3,0.03512559896172033,2,3
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c5,tail05_anomaly1,market_state,top1_reclaim,all,vol_high,5,0.5630614992490316,0.07762100863814339,27.0,False,232,119,83,83,60,0.6156817839372358,0.9609500833016705,0.1696685073054087,0.03128119440272398,4,3,0.03962248425135538,2,3,0.03834700004462498,1,3
tail05_anomaly1_market_state_equal_all_vol_low_c5,tail05_anomaly1,market_state,equal,all,vol_low,5,0.16771616202778986,0.08776802036809794,,True,232,113,113,75,74,1.4411875678429218,2.3400042432685213,0.3114630004860741,0.009317564557099436,7,4,0.016178019609586664,5,3,0.014356131203969632,5,2
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c5,tail05_anomaly1,market_state,top1_reclaim,all,vol_low,5,0.06397851189717818,0.14011864920991002,129.0,False,232,113,75,75,58,4.57233502792481,7.053306115326936,0.8084893687185067,0.0035543617720654543,7,4,0.011733283914135395,5,3,0.01001513656918184,4,2
tail05_anomaly1_allocation_equal_all_all_c10,tail05_anomaly1,allocation,equal,all,all,10,0.5600201530814376,0.11430290105078156,28.0,False,232,232,232,158,94,0.6105058800113021,0.9942644433655201,0.15071225269709704,0.03111223072674654,7,0,0.04431955044004719,4,0,0.039898396832356624,3,0
tail05_anomaly1_allocation_top1_reclaim_all_all_c10,tail05_anomaly1,allocation,top1_reclaim,all,all,10,0.46904001114620963,0.189933279110477,83.0,False,232,232,158,158,80,0.8373450337547664,1.3529177766984224,0.19730358236989468,0.026057778397011653,6,0,0.042222434832157436,3,0,0.038778803280473485,2,0
tail05_anomaly1_allocation_top1_auction_anomaly_all_all_c10,tail05_anomaly1,allocation,top1_auction_anomaly,all,all,10,0.6583592838818372,0.10206705913395074,28.0,False,232,232,158,158,82,0.5965562172220384,0.9624983409437393,0.1405665215629772,0.03657551577121318,5,0,0.045130828688093295,4,0,0.03825856647393951,3,0
tail05_anomaly1_allocation_top1_composite_all_all_c10,tail05_anomaly1,allocation,top1_composite,all,all,10,0.6305138563528755,0.15167247687800667,61.0,False,232,232,158,158,78,0.6229019711594602,1.0064371506966314,0.14677437068436036,0.03502854757515976,6,0,0.0468300556635247,3,0,0.042812450162281364,2,0
tail05_anomaly1_breadth_equal_singleton_all_c10,tail05_anomaly1,breadth,equal,singleton,all,10,0.5403558375858366,0.10183922637381378,61.0,False,232,97,97,97,62,0.6173753678463011,0.9865956935105259,0.16972780502849527,0.0300197687547687,6,0,0.04285575827442716,3,0,0.04276667272422058,2,0
tail05_anomaly1_breadth_top1_reclaim_singleton_all_c10,tail05_anomaly1,breadth,top1_reclaim,singleton,all,10,0.5403558375858366,0.10183922637381378,61.0,False,232,97,97,97,62,0.6173753678463011,0.9865956935105259,0.16972780502849527,0.0300197687547687,6,0,0.04285575827442716,3,0,0.04276667272422058,2,0
tail05_anomaly1_breadth_equal_clustered_all_c10,tail05_anomaly1,breadth,equal,clustered,all,10,0.019664315495600986,0.12451105316567906,,True,232,135,135,61,75,8.572485287614027,13.086913395359005,1.9493607866295843,0.0010924619719778338,8,2,0.001463792165620015,7,2,-0.0028682758918639486,7,1
tail05_anomaly1_breadth_top1_reclaim_clustered_all_c10,tail05_anomaly1,breadth,top1_reclaim,clustered,all,10,-0.07131582643962697,0.15466056561247815,,True,232,135,61,61,44,,,,-0.003961990357757051,8,2,-0.0006333234422697287,6,2,-0.003987869443747087,6,1
tail05_anomaly1_market_state_equal_all_trend_up_c10,tail05_anomaly1,market_state,equal,all,trend_up,10,0.2587180412647032,0.09247178128131875,90.0,False,232,145,145,99,79,1.0450194054467803,1.6743118344982872,0.203816348582403,0.014373224514705733,10,1,0.01877235733557085,8,1,0.022319407046955318,7,0
tail05_anomaly1_market_state_top1_reclaim_all_trend_up_c10,tail05_anomaly1,market_state,top1_reclaim,all,trend_up,10,0.18774461321891037,0.1488111387877011,104.0,False,232,145,99,99,64,1.824648917795925,2.70737059272161,0.3233244481947366,0.010430256289939467,8,1,0.015133652319505668,6,1,0.01777102577687384,5,0
tail05_anomaly1_market_state_equal_all_trend_down_c10,tail05_anomaly1,market_state,equal,all,trend_down,10,0.3013021118167344,0.08030151342505425,27.0,False,232,87,87,59,57,0.9443853054789584,1.4425813858538348,0.25485946303127144,0.016739006212040802,5,3,0.02554719310447633,3,3,0.017578989785401306,2,3
tail05_anomaly1_market_state_top1_reclaim_all_trend_down_c10,tail05_anomaly1,market_state,top1_reclaim,all,trend_down,10,0.2812953979272993,0.08550288154228405,27.0,False,232,87,59,59,47,1.0355935874780537,1.6735223717456762,0.27298596064357694,0.015627522107072182,5,3,0.027088782512651767,2,3,0.02100777750359964,1,3
tail05_anomaly1_market_state_equal_all_vol_high_c10,tail05_anomaly1,market_state,equal,all,vol_high,10,0.46730399105364784,0.07878588604161016,27.0,False,232,119,119,83,71,0.680927659556384,1.0299015437195662,0.18136090758121448,0.025961332836313772,5,3,0.03254153083046051,3,3,0.030458932295053656,2,3
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c10,tail05_anomaly1,market_state,top1_reclaim,all,vol_high,10,0.4800614992490315,0.08173826693297367,27.0,False,232,119,83,83,60,0.7117144550406427,1.1062624172904694,0.1927540622263625,0.026670083291612863,4,3,0.03488915091802204,2,3,0.03368033337795831,1,3
tail05_anomaly1_market_state_equal_all_vol_low_c10,tail05_anomaly1,market_state,equal,all,vol_low,10,0.09271616202778982,0.11325891007467301,,True,232,113,113,75,74,2.5530656410241686,4.125025480402277,0.5274597724093956,0.005150897890432768,7,4,0.011778019609586667,5,3,0.009439464537302966,5,2
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c10,tail05_anomaly1,market_state,top1_reclaim,all,vol_low,10,-0.011021488102821877,0.14745153569731087,185.0,False,232,113,75,75,58,,,,-0.0006123048946012123,7,4,0.007333283914135393,5,3,0.005098469902515175,4,2
tail05_anomaly1_allocation_equal_all_all_c20,tail05_anomaly1,allocation,equal,all,all,20,0.24402015308143754,0.15553612393027647,61.0,False,232,232,232,158,94,1.3601155158290663,2.199851606509887,0.32948876480642086,0.013556675171190984,10,0,0.026052883773380515,7,0,0.020731730165689962,6,0
tail05_anomaly1_allocation_top1_reclaim_all_all_c20,tail05_anomaly1,allocation,top1_reclaim,all,all,20,0.15304001114620955,0.23083042494303527,90.0,False,232,232,158,158,80,2.500969002151296,4.0157640113825535,0.5600719028038378,0.008502222841456096,9,0,0.023955768165490773,6,0,0.01961213661380682,5,0
tail05_anomaly1_allocation_top1_auction_anomaly_all_all_c20,tail05_anomaly1,allocation,top1_auction_anomaly,all,all,20,0.3423592838818372,0.1707175141999076,,True,232,232,158,158,82,1.1179726736946374,1.7924728417558562,0.24694313387786496,0.01901996021565763,9,0,0.02686416202142664,6,0,0.019091899807272855,5,0
tail05_anomaly1_allocation_top1_composite_all_all_c20,tail05_anomaly1,allocation,top1_composite,all,all,20,0.31451385635287543,0.1899361417419587,90.0,False,232,232,158,158,78,1.2169521826603606,1.9540397240018597,0.2688061996833214,0.017472992019604203,9,0,0.028563388996858043,6,0,0.023645783495614702,5,0
tail05_anomaly1_breadth_equal_singleton_all_c20,tail05_anomaly1,breadth,equal,singleton,all,20,0.34635583758583655,0.1362663211075446,32.0,False,232,97,97,97,62,0.9343061351384164,1.4814612217941787,0.24747211089386062,0.019241990976990926,8,0,0.03125575827442716,5,0,0.030933339390887233,4,0
tail05_anomaly1_breadth_top1_reclaim_singleton_all_c20,tail05_anomaly1,breadth,top1_reclaim,singleton,all,20,0.34635583758583655,0.1362663211075446,32.0,False,232,97,97,97,62,0.9343061351384164,1.4814612217941787,0.24747211089386062,0.019241990976990926,8,0,0.03125575827442716,5,0,0.030933339390887233,4,0
tail05_anomaly1_breadth_equal_clustered_all_c20,tail05_anomaly1,breadth,equal,clustered,all,20,-0.10233568450439903,0.19462785350593853,,True,232,135,135,61,75,,,,-0.005685315805799943,9,2,-0.00520287450104665,8,2,-0.010201609225197283,8,1
tail05_anomaly1_breadth_top1_reclaim_clustered_all_c20,tail05_anomaly1,breadth,top1_reclaim,clustered,all,20,-0.19331582643962697,0.2624310891212268,,True,232,135,61,61,44,,,,-0.010739768135534828,11,2,-0.007299990108936397,9,2,-0.011321202777080422,9,1
tail05_anomaly1_market_state_equal_all_trend_up_c20,tail05_anomaly1,market_state,equal,all,trend_up,20,0.06071804126470321,0.13571213731900617,,True,232,145,145,99,79,4.288105614700586,6.804809076209392,0.8025780388816939,0.0033732245147057374,12,1,0.007572357335570852,9,1,0.009152740380288654,8,0
tail05_anomaly1_market_state_top1_reclaim_all_trend_up_c20,tail05_anomaly1,market_state,top1_reclaim,all,trend_up,20,-0.01025538678108964,0.17616545578600715,227.0,False,232,145,99,99,64,,,,-0.0005697437100605315,10,1,0.0039336523195056695,8,1,0.00460435911020718,7,0
tail05_anomaly1_market_state_equal_all_trend_down_c20,tail05_anomaly1,market_state,equal,all,trend_down,20,0.1833021118167344,0.08647769077395398,27.0,False,232,87,87,59,57,1.497774816604364,2.262127882300898,0.4080132721142669,0.010183450656485245,5,3,0.018480526437809664,3,3,0.011578989785401306,2,3
