variant,block,net_pnl,active_days
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c10,block_1,0.0758974987135318,27
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c10,block_2,0.22115264705266746,21
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c10,block_3,0.18301135348283226,35
tail05_anomaly1_market_state_equal_all_vol_low_c10,block_1,-0.020557412419845763,16
tail05_anomaly1_market_state_equal_all_vol_low_c10,block_2,0.17704068140928103,35
tail05_anomaly1_market_state_equal_all_vol_low_c10,block_3,-0.06376710696164543,24
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c10,block_1,-0.0722031269330039,16
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c10,block_2,0.13864253747801691,35
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c10,block_3,-0.07746089864783487,24
tail05_anomaly1_allocation_equal_all_all_c20,block_1,-0.004760608906841813,43
tail05_anomaly1_allocation_equal_all_all_c20,block_2,0.2554324372808826,56
tail05_anomaly1_allocation_equal_all_all_c20,block_3,-0.006651675292603108,59
tail05_anomaly1_allocation_top1_reclaim_all_all_c20,block_1,-0.08230562821947211,43
tail05_anomaly1_allocation_top1_reclaim_all_all_c20,block_2,0.24779518453068444,56
tail05_anomaly1_allocation_top1_reclaim_all_all_c20,block_3,-0.01244954516500257,59
tail05_anomaly1_allocation_top1_auction_anomaly_all_all_c20,block_1,0.11325648619456306,43
tail05_anomaly1_allocation_top1_auction_anomaly_all_all_c20,block_2,0.30957742958317735,56
tail05_anomaly1_allocation_top1_auction_anomaly_all_all_c20,block_3,-0.0804746318959032,59
tail05_anomaly1_allocation_top1_composite_all_all_c20,block_1,0.030764454405499225,43
tail05_anomaly1_allocation_top1_composite_all_all_c20,block_2,0.2937954686852556,56
tail05_anomaly1_allocation_top1_composite_all_all_c20,block_3,-0.010046066737879191,59
tail05_anomaly1_breadth_equal_singleton_all_c20,block_1,-0.0248442351048102,26
tail05_anomaly1_breadth_equal_singleton_all_c20,block_2,0.29916288925054235,41
tail05_anomaly1_breadth_equal_singleton_all_c20,block_3,0.07203718344010453,30
tail05_anomaly1_breadth_top1_reclaim_singleton_all_c20,block_1,-0.0248442351048102,26
tail05_anomaly1_breadth_top1_reclaim_singleton_all_c20,block_2,0.29916288925054235,41
tail05_anomaly1_breadth_top1_reclaim_singleton_all_c20,block_3,0.07203718344010453,30
tail05_anomaly1_breadth_equal_clustered_all_c20,block_1,0.02008362619796838,17
tail05_anomaly1_breadth_equal_clustered_all_c20,block_2,-0.043730451969659745,15
tail05_anomaly1_breadth_equal_clustered_all_c20,block_3,-0.07868885873270762,29
tail05_anomaly1_breadth_top1_reclaim_clustered_all_c20,block_1,-0.05746139311466189,17
tail05_anomaly1_breadth_top1_reclaim_clustered_all_c20,block_2,-0.05136770471985794,15
tail05_anomaly1_breadth_top1_reclaim_clustered_all_c20,block_3,-0.08448672860510714,29
tail05_anomaly1_market_state_equal_all_trend_up_c20,block_1,-0.04911484329876058,20
tail05_anomaly1_market_state_equal_all_trend_up_c20,block_2,0.21160208351430793,51
tail05_anomaly1_market_state_equal_all_trend_up_c20,block_3,-0.10176919895084413,28
tail05_anomaly1_market_state_top1_reclaim_all_trend_up_c20,block_1,-0.06550769610357572,20
tail05_anomaly1_market_state_top1_reclaim_all_trend_up_c20,block_2,0.20396483076410976,51
tail05_anomaly1_market_state_top1_reclaim_all_trend_up_c20,block_3,-0.1487125214416236,28
tail05_anomaly1_market_state_equal_all_trend_down_c20,block_1,0.04435423439191874,23
tail05_anomaly1_market_state_equal_all_trend_down_c20,block_2,0.04383035376657464,5
tail05_anomaly1_market_state_equal_all_trend_down_c20,block_3,0.09511752365824101,31
tail05_anomaly1_market_state_top1_reclaim_all_trend_down_c20,block_1,-0.01679793211589638,23
tail05_anomaly1_market_state_top1_reclaim_all_trend_down_c20,block_2,0.04383035376657464,5
tail05_anomaly1_market_state_top1_reclaim_all_trend_down_c20,block_3,0.13626297627662104,31
tail05_anomaly1_market_state_equal_all_vol_high_c20,block_1,0.047796803513003916,27
tail05_anomaly1_market_state_equal_all_vol_high_c20,block_2,0.14839175587160153,21
tail05_anomaly1_market_state_equal_all_vol_high_c20,block_3,0.10511543166904233,35
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c20,block_1,0.021897498713531815,27
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c20,block_2,0.17915264705266745,21
tail05_anomaly1_market_state_top1_reclaim_all_vol_high_c20,block_3,0.11301135348283227,35
tail05_anomaly1_market_state_equal_all_vol_low_c20,block_1,-0.05255741241984578,16
tail05_anomaly1_market_state_equal_all_vol_low_c20,block_2,0.10704068140928102,35
tail05_anomaly1_market_state_equal_all_vol_low_c20,block_3,-0.11176710696164538,24
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c20,block_1,-0.10420312693300393,16
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c20,block_2,0.06864253747801694,35
tail05_anomaly1_market_state_top1_reclaim_all_vol_low_c20,block_3,-0.12546089864783488,24
tail10_anomaly1_allocation_equal_all_all_c5,block_1,0.1316235779855678,75
tail10_anomaly1_allocation_equal_all_all_c5,block_2,0.4721065789625138,77
tail10_anomaly1_allocation_equal_all_all_c5,block_3,0.1810607176652159,80
tail10_anomaly1_allocation_top1_reclaim_all_all_c5,block_1,0.10341911427685024,75
tail10_anomaly1_allocation_top1_reclaim_all_all_c5,block_2,0.5939466607177857,77
tail10_anomaly1_allocation_top1_reclaim_all_all_c5,block_3,0.23292137333643004,80
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c5,block_1,0.22794012367030536,75
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c5,block_2,0.507774551642113,77
tail10_anomaly1_allocation_top1_auction_anomaly_all_all_c5,block_3,0.1837481667326103,80
tail10_anomaly1_allocation_top1_composite_all_all_c5,block_1,0.008822905337115161,75
tail10_anomaly1_allocation_top1_composite_all_all_c5,block_2,0.45782059225911587,77
tail10_anomaly1_allocation_top1_composite_all_all_c5,block_3,0.3147434951539936,80
tail10_anomaly1_breadth_equal_singleton_all_c5,block_1,0.19235540300944554,36
tail10_anomaly1_breadth_equal_singleton_all_c5,block_2,0.3541488559800279,40
tail10_anomaly1_breadth_equal_singleton_all_c5,block_3,0.08361131233974195,24
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c5,block_1,0.19235540300944554,36
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c5,block_2,0.3541488559800279,40
tail10_anomaly1_breadth_top1_reclaim_singleton_all_c5,block_3,0.08361131233974195,24
tail10_anomaly1_breadth_equal_clustered_all_c5,block_1,-0.06073182502387772,39
tail10_anomaly1_breadth_equal_clustered_all_c5,block_2,0.11795772298248594,37
tail10_anomaly1_breadth_equal_clustered_all_c5,block_3,0.09744940532547394,56
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c5,block_1,-0.08893628873259529,39
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c5,block_2,0.2397978047377578,37
tail10_anomaly1_breadth_top1_reclaim_clustered_all_c5,block_3,0.1493100609966881,56
tail10_anomaly1_market_state_equal_all_trend_up_c5,block_1,-0.06795812476274574,42
tail10_anomaly1_market_state_equal_all_trend_up_c5,block_2,0.41806503011634316,70
tail10_anomaly1_market_state_equal_all_trend_up_c5,block_3,-0.07519388179461176,41
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c5,block_1,-0.07905406996949693,42
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c5,block_2,0.521140598125997,70
tail10_anomaly1_market_state_top1_reclaim_all_trend_up_c5,block_3,-0.1381018711109655,41
tail10_anomaly1_market_state_equal_all_trend_down_c5,block_1,0.19958170274831352,33
tail10_anomaly1_market_state_equal_all_trend_down_c5,block_2,0.05404154884617063,7
tail10_anomaly1_market_state_equal_all_trend_down_c5,block_3,0.25625459945982765,39
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c5,block_1,0.18247318424634718,33
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c5,block_2,0.07280606259178868,7
tail10_anomaly1_market_state_top1_reclaim_all_trend_down_c5,block_3,0.37102324444739554,39
tail10_anomaly1_market_state_equal_all_vol_high_c5,block_1,0.24957270020443179,46
tail10_anomaly1_market_state_equal_all_vol_high_c5,block_2,0.2516328605933957,26
tail10_anomaly1_market_state_equal_all_vol_high_c5,block_3,0.27124671289995994,50
