id,created_at,symbol,headline,detector_label,origin,manual_valid,manual_note
39569674,2024-07-01 09:30:10+00:00,CHTR,"Goldman Sachs Initiates Coverage On Charter Communications with Sell Rating, Announces Price Target of $250",detected,catalog_news,,
39590443,2024-07-02 09:25:58+00:00,TEAM,"Piper Sandler Upgrades Atlassian to Overweight, Raises Price Target to $225",detected,catalog_news,,
39616512,2024-07-03 12:45:50+00:00,CHTR,"Citigroup Downgrades Charter Communications to Sell, Lowers Price Target to $255",detected,catalog_news,,
39666426,2024-07-08 13:16:03+00:00,CSX,B of A Securities Downgrades CSX to Neutral,detected,catalog_news,,
39713120,2024-07-10 15:49:35+00:00,SMCI,"Nomura Downgrades Super Micro Computer to Neutral, Announces $930 Price Target",detected,catalog_news,,
39731498,2024-07-11 14:23:11+00:00,ASML,"Susquehanna Maintains Positive on ASML Holding, Raises Price Target to $1300",detected,catalog_news,,
39735831,2024-07-11 17:22:13+00:00,TEAM,"Capital One Upgrades Atlassian to Overweight, Announces $211 Price Target",detected,catalog_news,,
39746231,2024-07-12 10:49:14+00:00,BKNG,"Benchmark Upgrades Booking Holdings to Buy, Announces $4700 Price Target",detected,catalog_news,,
39748498,2024-07-12 12:48:14+00:00,TSLA,"UBS Downgrades Tesla to Sell, Raises Price Target to $197",detected,catalog_news,,
39787779,2024-07-16 09:38:36+00:00,DLTR,"Piper Sandler Downgrades Dollar Tree to Neutral, Lowers Price Target to $112",detected,catalog_news,,
39854797,2024-07-19 09:03:48+00:00,CTAS,"Baird Downgrades Cintas to Neutral, Raises Price Target to $775",detected,catalog_news,,
39878204,2024-07-22 09:53:26+00:00,CRWD,Guggenheim Downgrades CrowdStrike Holdings to Neutral,detected,catalog_news,,
39901166,2024-07-23 10:15:59+00:00,CRWD,"HSBC Downgrades CrowdStrike Holdings to Hold, Lowers Price Target to $302",detected,catalog_news,,
39965147,2024-07-25 16:49:27+00:00,ROP,"RBC Capital Maintains Outperform on Roper Techs, Lowers Price Target to $674",detected,catalog_news,,
39993135,2024-07-26 19:46:19+00:00,DASH,"Redburn Atlantic Initiates Coverage On DoorDash with Buy Rating, Announces Price Target of $170",detected,catalog_news,,
40032276,2024-07-30 10:31:07+00:00,ASML,Barclays Upgrades ASML Holding to Overweight,detected,catalog_news,,
40125883,2024-08-02 10:29:36+00:00,INTC,"Deutsche Bank Maintains Hold on Intel, Lowers Price Target to $27",detected,catalog_news,,
40229030,2024-08-07 17:37:17+00:00,GFS,"Deutsche Bank Maintains Buy on GLOBALFOUNDRIES, Lowers Price Target to $55",detected,catalog_news,,
40251293,2024-08-08 12:30:24+00:00,CEG,"Barclays Initiates Coverage On Constellation Energy with Overweight Rating, Announces Price Target of $211",detected,catalog_news,,
40307463,2024-08-12 09:28:21+00:00,KHC,"Goldman Sachs Initiates Coverage On Kraft Heinz with Sell Rating, Announces Price Target of $34",detected,catalog_news,,
40307669,2024-08-12 09:31:02+00:00,MDLZ,"Goldman Sachs Initiates Coverage On Mondelez International with Buy Rating, Announces Price Target of $80",detected,catalog_news,,
40327231,2024-08-12 22:40:42+00:00,CTAS,"Wells Fargo Initiates Coverage On Cintas with Underweight Rating, Announces Price Target of $735",detected,catalog_news,,
40342250,2024-08-13 15:08:47+00:00,SBUX,"Piper Sandler Upgrades Starbucks to Overweight, Raises Price Target to $103",detected,catalog_news,,
40421256,2024-08-16 16:35:38+00:00,CRWD,"BMO Capital Maintains Outperform on CrowdStrike Holdings, Lowers Price Target to $290",detected,catalog_news,,
40563371,2024-08-26 20:40:57+00:00,PDD,Macquarie Downgrades PDD Holdings to Neutral,detected,catalog_news,,
40597618,2024-08-28 11:29:58+00:00,MRNA,"HSBC Upgrades Moderna to Hold, Announces $82 Price Target",detected,catalog_news,,
40712633,2024-09-04 15:30:05+00:00,ABNB,"Truist Securities Maintains Hold on Airbnb, Lowers Price Target to $124",detected,catalog_news,,
40731017,2024-09-05 13:24:58+00:00,ABNB,"Cantor Fitzgerald Initiates Coverage On Airbnb with Underweight Rating, Announces Price Target of $94",detected,catalog_news,,
40732922,2024-09-05 14:35:05+00:00,META,"Cantor Fitzgerald Initiates Coverage On Meta Platforms with Overweight Rating, Announces Price Target of $660",detected,catalog_news,,
40788182,2024-09-10 10:06:40+00:00,COST,"Redburn Atlantic Downgrades Costco Wholesale to Neutral, Raises Price Target to $890",detected,catalog_news,,
40837036,2024-09-12 15:27:04+00:00,LRCX,"UBS Maintains Buy on Lam Research, Lowers Price Target to $1150",detected,catalog_news,,
40924761,2024-09-18 17:07:42+00:00,MAR,"Goldman Sachs Initiates Coverage On Marriott Intl with Buy Rating, Announces Price Target of $267",detected,catalog_news,,
40941459,2024-09-19 14:55:35+00:00,TMUS,"JP Morgan Maintains Overweight on T-Mobile US, Raises Price Target to $230",detected,catalog_news,,
40949763,2024-09-19 22:32:26+00:00,EXC,"Jefferies Initiates Coverage On Exelon with Buy Rating, Announces Price Target of $46",detected,catalog_news,,
40957003,2024-09-20 12:53:29+00:00,AMZN,"Evercore ISI Group Maintains Outperform on Amazon.com, Raises Price Target to $240",detected,catalog_news,,
40980121,2024-09-23 12:52:12+00:00,KDP,"Citigroup Upgrades Keurig Dr Pepper to Buy, Raises Price Target to $43",detected,catalog_news,,
41003465,2024-09-24 13:08:39+00:00,SBUX,"Jefferies Downgrades Starbucks to Underperform, Lowers Price Target to $76",detected,catalog_news,,
41021812,2024-09-25 11:35:31+00:00,CDNS,"Oppenheimer Initiates Coverage On Cadence Design Sys with Underperform Rating, Announces Price Target of $225",detected,catalog_news,,
41050254,2024-09-26 15:15:48+00:00,MU,"Morgan Stanley Maintains Equal-Weight on Micron Technology, Raises Price Target to $114",detected,catalog_news,,
41113368,2024-10-01 10:58:22+00:00,META,"Pivotal Research Initiates Coverage On Meta Platforms with Buy Rating, Announces Price Target of $780",detected,catalog_news,,
41116782,2024-10-01 12:51:48+00:00,DDOG,"DA Davidson Upgrades Datadog to Buy, Raises Price Target to $140",detected,catalog_news,,
41189806,2024-10-04 17:21:10+00:00,PEP,"RBC Capital Maintains Sector Perform on PepsiCo, Lowers Price Target to $176",detected,catalog_news,,
41211030,2024-10-07 15:56:18+00:00,NFLX,"TD Cowen Maintains Buy on Netflix, Raises Price Target to $820",detected,catalog_news,,
41235988,2024-10-08 17:34:28+00:00,DDOG,"Exane BNP Paribas Initiates Coverage On Datadog with Outperform Rating, Announces Price Target of $150",detected,catalog_news,,
41380817,2024-10-17 13:15:08+00:00,CEG,"JP Morgan Initiates Coverage On Constellation Energy with Overweight Rating, Announces Price Target of $342",detected,catalog_news,,
41381950,2024-10-17 13:53:20+00:00,BIIB,"BMO Capital Maintains Outperform on Biogen, Lowers Price Target to $230",detected,catalog_news,,
41388179,2024-10-17 17:40:40+00:00,PYPL,"Wells Fargo Maintains Equal-Weight on PayPal Holdings, Raises Price Target to $75",detected,catalog_news,,
41402131,2024-10-18 13:26:31+00:00,TMUS,"Scotiabank Downgrades T-Mobile US to Sector Perform, Raises Price Target to $236",detected,catalog_news,,
41402258,2024-10-18 13:33:02+00:00,DDOG,"UBS Upgrades Datadog to Buy, Raises Price Target to $150",detected,catalog_news,,
41424309,2024-10-21 11:10:28+00:00,GILD,"Leerink Partners Upgrades Gilead Sciences to Outperform, Raises Price Target to $96",detected,catalog_news,,
