top_n,total_return,maximum_drawdown,trade_sessions
1,1.8073213443677298,0.2139733835269581,9
2,1.60257887695301,0.18505431794438068,18
3,1.4396953468062745,0.17908336183490312,23
4,1.3858921070277148,0.16243849061494217,30
5,1.2386698038196784,0.16952384747940785,28
6,1.285140617749754,0.16740546555053945,34
7,1.2944268226824238,0.17193964689900298,31
8,1.2312766244873892,0.16632210316153742,35
9,1.1837867105988722,0.16540435705198636,38
10,1.0773646050007626,0.1737220209294935,34
11,1.1220045777730427,0.15413073850778197,42
12,1.0573461389254797,0.1581167085924749,45
13,0.9394717720113017,0.16654732561030625,40
14,0.8931487297406313,0.16266492648941194,44
15,0.8556273203730567,0.15658003480150035,42
16,0.8037126443698168,0.15552747033776215,44
17,0.7656565463071972,0.15599284050612172,48
18,0.7120207770515257,0.156413418056169,45
19,0.7163440409587603,0.14612939111239132,48
20,0.6612711222831444,0.1463303089062634,48
